table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_hierarchy_depth,field_total,field_biological_aspects,field_social_aspects,field_other_psychological_sciences
6409,r001,All agencies surveyed,All agencies surveyed,,,,1,1002707.5,12748.5,11185.6,978773.4
6409,r002,All agencies surveyed -> Departments,All agencies surveyed,Departments,,,2,,,,
6409,r003,All agencies surveyed -> Departments -> Department of Defense,All agencies surveyed,Departments,Department of Defense,,3,7022.3,2290.9,2291.1,2440.4
6409,r004,All agencies surveyed -> Departments -> Department of Defense -> Department of the Air Force,All agencies surveyed,Departments,Department of Defense,Department of the Air Force,4,704.3,0.0,0.0,704.3
6409,r005,All agencies surveyed -> Departments -> Department of Defense -> Department of the Navy,All agencies surveyed,Departments,Department of Defense,Department of the Navy,4,1547.8,0.0,0.0,1547.8
6409,r006,All agencies surveyed -> Departments -> Department of Defense -> Other defense agencies,All agencies surveyed,Departments,Department of Defense,Other defense agencies,4,4770.2,2290.9,2291.1,188.3
6409,r007,All agencies surveyed -> Departments -> Department of Health and Human Services,All agencies surveyed,Departments,Department of Health and Human Services,,3,959095.2,0.0,0.0,959095.2
6409,r008,All agencies surveyed -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies surveyed,Departments,Department of Health and Human Services,National Institutes of Health,4,959095.2,0.0,0.0,959095.2
6409,r009,All agencies surveyed -> Other agencies,All agencies surveyed,Other agencies,,,2,,,,
6409,r010,All agencies surveyed -> Other agencies -> National Science Foundation,All agencies surveyed,Other agencies,National Science Foundation,,3,36590.0,10457.6,8894.5,17237.8
