table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_2003,field_2010,field_2013,field_2015,field_2017,field_2019,field_2021
7784,r001,Employed scientists and engineers,Employed scientists and engineers,,,,,1,4588000,5374000,5766000,6407000,6769000,7466000,7894000
7784,r002,Employed scientists and engineers -> S&E fields,Employed scientists and engineers,S&E fields,,,,2,3319000,3971000,4350000,4854000,5085000,5709000,6059000
7784,r003,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",,,3,415000,539000,587000,624000,633000,705000,768000
7784,r004,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,47000,71000,61000,60000,57000,59000,73000
7784,r005,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,,4,316000,410000,464000,495000,522000,565000,610000
7784,r006,"Employed scientists and engineers -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",Employed scientists and engineers,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,,4,53000,58000,61000,69000,53000,80000,85000
7784,r007,Employed scientists and engineers -> S&E fields -> Computer and mathematical sciences,Employed scientists and engineers,S&E fields,Computer and mathematical sciences,,,3,751000,1023000,1195000,1350000,1437000,1670000,1795000
7784,r008,Employed scientists and engineers -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,Employed scientists and engineers,S&E fields,Computer and mathematical sciences,Computer and information sciences,,4,575000,831000,997000,1153000,1257000,1427000,1556000
7784,r009,Employed scientists and engineers -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,Employed scientists and engineers,S&E fields,Computer and mathematical sciences,Mathematics and statistics,,4,176000,192000,197000,197000,180000,243000,239000
7784,r010,Employed scientists and engineers -> S&E fields -> Physical and related sciences,Employed scientists and engineers,S&E fields,Physical and related sciences,,,3,330000,354000,359000,386000,366000,422000,461000
7784,r011,"Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",Employed scientists and engineers,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",,4,147000,154000,158000,173000,156000,179000,189000
7784,r012,"Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",Employed scientists and engineers,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",,4,86000,92000,96000,100000,93000,108000,120000
7784,r013,Employed scientists and engineers -> S&E fields -> Physical and related sciences -> Physics and astronomy,Employed scientists and engineers,S&E fields,Physical and related sciences,Physics and astronomy,,4,87000,100000,100000,109000,109000,131000,146000
