table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
12682,r001,All HHE institutions,All HHE institutions,,1,-,"['11,481,185', '']","['5,378,161', '']","['1,158,039', '']","['3,315,267', '']","['616,999', '']","['536,524', '']","['476,195', '']"
12682,r002,"All HHE institutions -> Texas A&M U., College Station and Health Science Center",All HHE institutions,"Texas A&M U., College Station and Health Science Center",2,1,"['1,277,814', '']","['546,481', '']","['251,300', '']","['353,916', '']","['37,390', '']","['53,710', '']","['35,017', '']"
12682,r003,All HHE institutions -> U. Texas M. D. Anderson Cancer Center,All HHE institutions,U. Texas M. D. Anderson Cancer Center,2,2,"['1,255,190', '']","['259,285', '']","['300,907', '']","['256,545', '']","['248,261', '']","['38,163', '']","['152,029', '']"
12682,r004,"All HHE institutions -> U. Texas, Austin",All HHE institutions,"U. Texas, Austin",2,3,"['1,035,838', '']","['621,223', '']","['37,601', '']","['235,987', '']","['79,753', '']","['52,764', '']","['8,510', '']"
12682,r005,All HHE institutions -> U. Arizona,All HHE institutions,U. Arizona,2,4,"['955,424', '']","['434,700', '']","['37,173', '']","['304,671', '']","['25,328', '']","['31,154', '']","['122,398', '']"
12682,r006,"All HHE institutions -> U. California, Irvine",All HHE institutions,"U. California, Irvine",2,5,"['609,614', '']","['335,393', '']","['19,360', '']","['132,261', '']","['46,182', '']","['33,514', '']","['42,904', '']"
12682,r007,"All HHE institutions -> U. Illinois, Chicago",All HHE institutions,"U. Illinois, Chicago",2,6,"['492,936', '']","['274,424', '']","['9,293', '']","['158,846', '']","['9,469', '']","['30,905', '']","['9,999', '']"
12682,r008,"All HHE institutions -> U. Texas Health Science Center, Houston",All HHE institutions,"U. Texas Health Science Center, Houston",2,7,"['374,105', '']","['197,759', '']","['48,815', '']","['66,008', '']","['17,466', '']","['34,341', '']","['9,716', '']"
12682,r009,All HHE institutions -> U. New Mexico,All HHE institutions,U. New Mexico,2,8,"['316,026', '']","['205,351', '']","['7,072', '']","['79,298', '']","['5,469', '']","['16,855', '']","['1,981', '']"
12682,r010,All HHE institutions -> Florida International U.,All HHE institutions,Florida International U.,2,9,"['306,434', '']","['156,381', '']","['21,887', '']","['115,737', '']","['3,019', '']","['7,971', '']","['1,439', '']"
