table_id,row_id,time_period,2002_level_1,2002_level_2,2002_hierarchy_depth,value
12411,r001_1,Biological Sciences (BIO),2002,Male,2,57
12411,r001_2,Biological Sciences (BIO),2002,Female,2,43
12411,r001_3,Biological Sciences (BIO),2012,Male,2,48
12411,r001_4,Biological Sciences (BIO),2012,Female,2,52
12411,r001_5,Biological Sciences (BIO),2022,Male,2,46
12411,r001_6,Biological Sciences (BIO),2022,Female,2,54
12411,r002_1,Computer and Information Science and Engineering (CISE),2002,Male,2,81
12411,r002_2,Computer and Information Science and Engineering (CISE),2002,Female,2,19
12411,r002_3,Computer and Information Science and Engineering (CISE),2012,Male,2,81
12411,r002_4,Computer and Information Science and Engineering (CISE),2012,Female,2,19
12411,r002_5,Computer and Information Science and Engineering (CISE),2022,Male,2,78
12411,r002_6,Computer and Information Science and Engineering (CISE),2022,Female,2,22
12411,r003_1,STEM Education (EDU),2002,Male,2,34
12411,r003_2,STEM Education (EDU),2002,Female,2,66
12411,r003_3,STEM Education (EDU),2012,Male,2,31
12411,r003_4,STEM Education (EDU),2012,Female,2,69
12411,r003_5,STEM Education (EDU),2022,Male,2,28
12411,r003_6,STEM Education (EDU),2022,Female,2,72
12411,r004_1,Engineering (ENG),2002,Male,2,82
12411,r004_2,Engineering (ENG),2002,Female,2,18
12411,r004_3,Engineering (ENG),2012,Male,2,78
12411,r004_4,Engineering (ENG),2012,Female,2,22
12411,r004_5,Engineering (ENG),2022,Male,2,73
12411,r004_6,Engineering (ENG),2022,Female,2,27
12411,r005_1,Geosciences (GEO),2002,Male,2,69
12411,r005_2,Geosciences (GEO),2002,Female,2,32
12411,r005_3,Geosciences (GEO),2012,Male,2,57
12411,r005_4,Geosciences (GEO),2012,Female,2,43
12411,r005_5,Geosciences (GEO),2022,Male,2,53
12411,r005_6,Geosciences (GEO),2022,Female,2,47
12411,r006_1,Mathematical and Physical Sciences (MPS),2002,Male,2,73
12411,r006_2,Mathematical and Physical Sciences (MPS),2002,Female,2,27
12411,r006_3,Mathematical and Physical Sciences (MPS),2012,Male,2,71
12411,r006_4,Mathematical and Physical Sciences (MPS),2012,Female,2,29
12411,r006_5,Mathematical and Physical Sciences (MPS),2022,Male,2,68
12411,r006_6,Mathematical and Physical Sciences (MPS),2022,Female,2,32
12411,r007_1,"Social, Behavioral and Economic Sciences (SBE)",2002,Male,2,45
12411,r007_2,"Social, Behavioral and Economic Sciences (SBE)",2002,Female,2,55
12411,r007_3,"Social, Behavioral and Economic Sciences (SBE)",2012,Male,2,42
12411,r007_4,"Social, Behavioral and Economic Sciences (SBE)",2012,Female,2,58
12411,r007_5,"Social, Behavioral and Economic Sciences (SBE)",2022,Male,2,39
12411,r007_6,"Social, Behavioral and Economic Sciences (SBE)",2022,Female,2,61
