table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_clinical_trials,field_federal_all_r_d_expenditures,field_federal_clinical_trials,field_nonfederal_all_r_d_expenditures,field_nonfederal_clinical_trials
3186,r001,Alabama,Alabama,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r002,Alabama -> Public,Alabama,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r003,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['607,863', '']","['49,300', '']","['398,403', '']","['13,772', '']","['209,460', '']","['35,528', '']"
3186,r004,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['52,540', '']","['410', '']","['19,947', '']","['66', '']","['32,593', '']","['344', '']"
3186,r005,Arizona,Arizona,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r006,Arizona -> Public,Arizona,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r007,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['58,914', '']","['964', '']","['35,980', '']","['720', '']","['22,934', '']","['244', '']"
3186,r008,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['734,270', '']","['9,519', '']","['327,025', '']","['821', '']","['407,245', '']","['8,698', '']"
3186,r009,Arkansas,Arkansas,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r010,Arkansas -> Public,Arkansas,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r011,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['153,135', '']","['1,642', '']","['63,498', '']","['0', '']","['89,637', '']","['1,642', '']"
3186,r012,California,California,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r013,California -> Public,California,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r014,"California -> Public -> California Polytechnic State U., San Luis Obispo",California,Public,"California Polytechnic State U., San Luis Obispo",3,"['30,923', '']","['1,186', '']","['9,720', '']","['1,173', '']","['21,203', '']","['13', '']"
3186,r015,"California -> Public -> California State U., Sacramento",California,Public,"California State U., Sacramento",3,"['23,544', '']","['2', '']","['5,801', '']","['0', '']","['17,743', '']","['2', '']"
3186,r016,"California -> Public -> California State U., San Marcos",California,Public,"California State U., San Marcos",3,"['10,595', '']","['89', '']","['9,134', '']","['89', '']","['1,461', '']","['0', '']"
3186,r017,California -> Public -> San Diego State U.,California,Public,San Diego State U.,3,"['92,964', '']","['4', '']","['39,515', '']","['4', '']","['53,449', '']","['0', '']"
3186,r018,California -> Public -> San Francisco State U.,California,Public,San Francisco State U.,3,"['31,888', '']","['73', '']","['15,675', '']","['73', '']","['16,213', '']","['0', '']"
3186,r019,"California -> Public -> U. California, Berkeley",California,Public,"U. California, Berkeley",3,"['802,931', '']","['257', '']","['347,601', '']","['182', '']","['455,330', '']","['75', '']"
3186,r020,"California -> Public -> U. California, Davis",California,Public,"U. California, Davis",3,"['804,282', '']","['11,987', '']","['374,707', '']","['1,843', '']","['429,575', '']","['10,144', '']"
3186,r021,"California -> Public -> U. California, Irvine",California,Public,"U. California, Irvine",3,"['448,967', '']","['13,828', '']","['217,094', '']","['2,790', '']","['231,873', '']","['11,038', '']"
3186,r022,"California -> Public -> U. California, Los Angeles",California,Public,"U. California, Los Angeles",3,"['1,306,376', '']","['62,275', '']","['600,714', '']","['25,538', '']","['705,662', '']","['36,737', '']"
3186,r023,"California -> Public -> U. California, Riverside",California,Public,"U. California, Riverside",3,"['177,655', '']","['802', '']","['81,151', '']","['0', '']","['96,504', '']","['802', '']"
3186,r024,"California -> Public -> U. California, San Diego",California,Public,"U. California, San Diego",3,"['1,353,763', '']","['3,804', '']","['698,925', '']","['477', '']","['654,838', '']","['3,327', '']"
3186,r025,"California -> Public -> U. California, San Francisco",California,Public,"U. California, San Francisco",3,"['1,595,098', '']","['49,918', '']","['671,047', '']","['20,143', '']","['924,051', '']","['29,775', '']"
3186,r026,California -> Private,California,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r027,California -> Private -> Azusa Pacific U.,California,Private,Azusa Pacific U.,3,"['5,598', '']","['1', '']","['137', '']","['1', '']","['5,461', '']","['0', '']"
3186,r028,California -> Private -> Stanford U.,California,Private,Stanford U.,3,"['1,204,116', '']","['125,414', '']","['738,957', '']","['45,065', '']","['465,159', '']","['80,349', '']"
3186,r029,California -> Private -> Touro U.,California,Private,Touro U.,3,"['3,543', '']","['205', '']","['1,540', '']","['205', '']","['2,003', '']","['0', '']"
3186,r030,California -> Private -> U. Southern California,California,Private,U. Southern California,3,"['909,683', '']","['168,336', '']","['543,607', '']","['125,072', '']","['366,076', '']","['43,264', '']"
3186,r031,California -> Private -> Western U. of Health Sciences,California,Private,Western U. of Health Sciences,3,"['4,951', '']","['156', '']","['3,035', '']","['5', '']","['1,916', '']","['151', '']"
3186,r032,Colorado,Colorado,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r033,Colorado -> Public,Colorado,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r034,"Colorado -> Public -> Colorado State U., Pueblo",Colorado,Public,"Colorado State U., Pueblo",3,"['3,107', '']","['64', '']","['1,282', '']","['0', '']","['1,825', '']","['64', '']"
3186,r035,Colorado -> Public -> U. Colorado Denver and Anschutz Medical Campus,Colorado,Public,U. Colorado Denver and Anschutz Medical Campus,3,"['542,732', '']","['47,863', '']","['353,021', '']","['4,030', '']","['189,711', '']","['43,833', '']"
3186,r036,Connecticut,Connecticut,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r037,Connecticut -> Public,Connecticut,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r038,Connecticut -> Public -> U. Connecticut,Connecticut,Public,U. Connecticut,3,"['285,764', '']","['5,864', '']","['159,220', '']","['4,840', '']","['126,544', '']","['1,024', '']"
3186,r039,Connecticut -> Private,Connecticut,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r040,Connecticut -> Private -> Yale U.,Connecticut,Private,Yale U.,3,"['1,072,309', '']","['41,582', '']","['576,776', '']","['0', '']","['495,533', '']","['41,582', '']"
3186,r041,Delaware,Delaware,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r042,Delaware -> Public,Delaware,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r043,Delaware -> Public -> U. Delaware,Delaware,Public,U. Delaware,3,"['206,270', '']","['1,533', '']","['133,020', '']","['1,533', '']","['73,250', '']","['0', '']"
3186,r044,District of Columbia,District of Columbia,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r045,District of Columbia -> Private,District of Columbia,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r046,District of Columbia -> Private -> George Washington U.,District of Columbia,Private,George Washington U.,3,"['269,799', '']","['13,509', '']","['155,697', '']","['11,702', '']","['114,102', '']","['1,807', '']"
3186,r047,District of Columbia -> Private -> Georgetown U.,District of Columbia,Private,Georgetown U.,3,"['240,960', '']","['12,107', '']","['94,050', '']","['16', '']","['146,910', '']","['12,091', '']"
3186,r048,District of Columbia -> Private -> Howard U.,District of Columbia,Private,Howard U.,3,"['44,163', '']","['529', '']","['29,978', '']","['27', '']","['14,185', '']","['502', '']"
3186,r049,Florida,Florida,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r050,Florida -> Public,Florida,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r051,Florida -> Public -> Florida Atlantic U.,Florida,Public,Florida Atlantic U.,3,"['51,085', '']","['182', '']","['21,667', '']","['76', '']","['29,418', '']","['106', '']"
3186,r052,Florida -> Public -> Florida International U.,Florida,Public,Florida International U.,3,"['225,864', '']","['7,535', '']","['96,912', '']","['6,614', '']","['128,952', '']","['921', '']"
3186,r053,Florida -> Public -> Florida State U.,Florida,Public,Florida State U.,3,"['329,205', '']","['8,490', '']","['149,784', '']","['8,237', '']","['179,421', '']","['253', '']"
3186,r054,Florida -> Public -> U. Central Florida,Florida,Public,U. Central Florida,3,"['225,085', '']","['2,111', '']","['99,310', '']","['2,067', '']","['125,775', '']","['44', '']"
3186,r055,Florida -> Public -> U. Florida,Florida,Public,U. Florida,3,"['928,639', '']","['41,189', '']","['387,906', '']","['11,034', '']","['540,733', '']","['30,155', '']"
3186,r056,"Florida -> Public -> U. South Florida, Tampa",Florida,Public,"U. South Florida, Tampa",3,"['391,325', '']","['11,679', '']","['181,882', '']","['0', '']","['209,443', '']","['11,679', '']"
3186,r057,Florida -> Public -> U. West Florida,Florida,Public,U. West Florida,3,"['41,977', '']","['104', '']","['11,506', '']","['0', '']","['30,471', '']","['104', '']"
3186,r058,Florida -> Private,Florida,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r059,Florida -> Private -> Nova Southeastern U.,Florida,Private,Nova Southeastern U.,3,"['24,567', '']","['71', '']","['8,965', '']","['0', '']","['15,602', '']","['71', '']"
3186,r060,Florida -> Private -> U. Miami,Florida,Private,U. Miami,3,"['360,716', '']","['29,000', '']","['212,023', '']","['3,618', '']","['148,693', '']","['25,382', '']"
3186,r061,Georgia,Georgia,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r062,Georgia -> Public,Georgia,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r063,Georgia -> Public -> Augusta U.,Georgia,Public,Augusta U.,3,"['96,502', '']","['4,940', '']","['47,031', '']","['43', '']","['49,471', '']","['4,897', '']"
3186,r064,Georgia -> Public -> U. Georgia,Georgia,Public,U. Georgia,3,"['477,536', '']","['688', '']","['159,948', '']","['566', '']","['317,588', '']","['122', '']"
3186,r065,Georgia -> Private,Georgia,Private,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r066,Georgia -> Private -> Emory U.,Georgia,Private,Emory U.,3,"['794,928', '']","['52,859', '']","['424,461', '']","['8,523', '']","['370,467', '']","['44,336', '']"
3186,r067,Georgia -> Private -> Mercer U.,Georgia,Private,Mercer U.,3,"['44,128', '']","['791', '']","['27,035', '']","['361', '']","['17,093', '']","['430', '']"
3186,r068,Georgia -> Private -> Morehouse School of Medicine,Georgia,Private,Morehouse School of Medicine,3,"['31,289', '']","['7', '']","['22,461', '']","['7', '']","['8,828', '']","['0', '']"
3186,r069,Hawaii,Hawaii,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r070,Hawaii -> Public,Hawaii,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r071,"Hawaii -> Public -> U. Hawaii, Manoa",Hawaii,Public,"U. Hawaii, Manoa",3,"['280,416', '']","['387', '']","['167,816', '']","['21', '']","['112,600', '']","['366', '']"
3186,r072,Illinois,Illinois,,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
3186,r073,Illinois -> Public,Illinois,Public,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
