table_id,row_id,state,rank,total,health_care,science_and_technology,other
8863,r001,Massachusetts,1,"['5,309,694', '  ']","['4,060,518', '  ']","['1,198,098', '  ']","['51,078', '  ']"
8863,r002,New York,2,"['3,735,463', '  ']","['2,479,994', '  ']","['837,998', '  ']","['417,470', '  ']"
8863,r003,California,3,"['3,707,325', '  ']","['1,989,716', 'i ']","['1,530,115', '  ']","['187,494', '  ']"
8863,r004,Maryland,4,"['1,623,681', '  ']","['82,283', '  ']","['1,523,479', '  ']","['17,919', '  ']"
8863,r005,District of Columbia,5,"['1,573,699', '  ']","['11,417', '  ']","['668,152', '  ']","['894,130', '  ']"
8863,r006,Washington,6,"['1,573,301', '  ']","['346,729', '  ']","['1,177,790', '  ']","['48,782', 'r']"
8863,r007,Minnesota,7,"['1,327,081', '  ']","['1,282,748', '  ']","['39,526', '  ']","['4,808', '  ']"
8863,r008,Ohio,8,"['1,236,340', '  ']","['1,191,926', '  ']","['11,988', '  ']","['32,426', '  ']"
8863,r009,Texas,9,"['1,065,224', '  ']","['370,477', '  ']","['692,481', '  ']","['2,266', '  ']"
8863,r010,Illinois,10,"['1,000,642', '  ']","['489,010', '  ']","['314,590', '  ']","['197,042', '  ']"
