table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_psychology_and_social_sciences_fields,field_psychology,field_anthropology,field_economics,field_political_science_and_government,field_sociology,field_other_social_sciences
2860,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,9071,3936,445,1247,707,633,2103
2860,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,,,
2860,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,40.5,28.4,34.8,65.6,61.2,36.2,43.7
2860,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,59.5,71.6,65.2,34.4,38.8,63.8,56.3
2860,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2860,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Citizenship (%),,,2,,,,,,,
2860,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),U.S. citizen or permanent resident,,3,74.1,85.1,80.7,39.4,71.3,80.7,71.8
2860,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Temporary visa holder,,3,21.1,8.6,14.8,56.8,24.5,16.6,25.0
2860,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship (%),Unknown,,3,4.8,6.3,4.5,3.8,4.2,2.7,3.2
2860,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,,,
2860,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,31.6,30.6,29.0,40.4,35.9,28.4,28.4
2860,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,41.5,38.1,45.4,37.5,39.6,47.6,48.1
2860,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,8.6,9.8,10.3,5.9,8.5,10.3,7.2
2860,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,4.7,4.2,5.6,2.8,4.8,6.2,6.1
2860,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,13.6,17.3,9.7,13.3,11.2,7.6,10.2
2860,r016,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,51.4,64.1,42.9,56.1,61.0,44.1,25.7
2860,r017,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,82.9,80.4,82.9,78.1,83.7,91.0,87.6
2860,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,32.4,31.3,34.3,31.3,32.6,33.3,35.3
2860,r019,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,,,
2860,r020,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From bachelor's,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From bachelor's,,3,9.4,8.5,11.3,8.5,9.8,10.4,11.6
2860,r021,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,8.0,7.0,9.4,7.8,8.3,8.8,9.8
2860,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,6.0,5.9,7.1,5.8,6.2,6.8,6.0
2860,r023,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,3672,1118,155,818,433,229,919
2860,r024,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),,3,,,,,,,
2860,r025,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship (%),U.S. citizen or permanent resident,4,68.4,85.3,79.4,39.9,70.7,78.2,67.7
