table_id,row_id,time_to_degree_and_demographic_characteristic_full_path,time_to_degree_and_demographic_characteristic_level_1,time_to_degree_and_demographic_characteristic_level_2,time_to_degree_and_demographic_characteristic_level_3,time_to_degree_and_demographic_characteristic_level_4,time_to_degree_and_demographic_characteristic_level_5,time_to_degree_and_demographic_characteristic_hierarchy_depth,field_all_fields_median,field_all_fields_number,field_life_sciencesa_median,field_life_sciencesa_number,field_physical_sciences_and_earth_sciences_median,field_physical_sciences_and_earth_sciences_number,field_mathematics_and_computer_sciences_median,field_mathematics_and_computer_sciences_number,field_psychology_and_social_sciences_median,field_psychology_and_social_sciences_number,field_engineering_median,field_engineering_number,field_education_median,field_education_number,field_humanities_and_arts_median,field_humanities_and_arts_number,field_otherb_median,field_otherb_number
975,r001,Years since bachelor's,Years since bachelor's,,,,,1,,,,,,,,,,,,,,,,,,
975,r002,Years since bachelor's -> All doctorate recipients<sup>c</sup>,Years since bachelor's,All doctorate recipients<sup>c</sup>,,,,2,8.8,51595,8.3,11988,6.9,5821,7.9,3652,9.3,8457,7.3,9333,15.0,4550,11.0,4945,11.4,2849
975,r003,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Sex,Years since bachelor's,All doctorate recipients<sup>c</sup>,Sex,,,3,,,,,,,,,,,,,,,,,,
975,r004,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Sex -> Male,Years since bachelor's,All doctorate recipients<sup>c</sup>,Sex,Male,,4,8.3,27706,8.0,5370,7.0,3896,7.8,2742,9.3,3468,7.3,7059,14.6,1452,11.0,2428,11.3,1291
975,r005,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Sex -> Female,Years since bachelor's,All doctorate recipients<sup>c</sup>,Sex,Female,,4,9.3,23885,8.4,6616,6.8,1924,8.0,910,9.3,4989,7.0,2273,15.0,3098,11.0,2517,11.6,1558
975,r006,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Citizenship status,Years since bachelor's,All doctorate recipients<sup>c</sup>,Citizenship status,,,3,,,,,,,,,,,,,,,,,,
975,r007,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Citizenship status -> U.S. citizen or permanent resident,Years since bachelor's,All doctorate recipients<sup>c</sup>,Citizenship status,U.S. citizen or permanent resident,,4,9.0,34991,8.1,8643,6.6,3672,7.8,1703,9.3,6704,7.0,4228,15.3,3966,11.0,4198,12.3,1877
975,r008,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Citizenship status -> Temporary visa holder,Years since bachelor's,All doctorate recipients<sup>c</sup>,Citizenship status,Temporary visa holder,,4,8.3,15805,8.4,3213,7.5,2088,7.9,1891,9.5,1619,7.6,4923,12.2,519,11.2,659,10.1,893
975,r009,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents),Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,3,,,,,,,,,,,,,,,,,,
975,r010,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,4,9.1,2487,8.0,599,7.0,212,8.1,78,9.3,560,7.0,284,14.0,323,11.3,298,13.0,133
975,r011,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,
975,r012,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,5,12.1,103,9.0,24,6.8,6,,,12.4,24,7.8,10,16.0,20,,,,
975,r013,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,5,8.8,3397,8.5,980,7.0,349,8.5,266,10.0,514,7.3,712,14.1,222,11.0,176,11.3,178
975,r014,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,5,11.6,2350,10.0,554,7.3,92,11.5,47,11.3,523,8.2,167,15.0,581,11.3,148,14.4,238
975,r015,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,5,8.9,24586,8.0,5981,6.5,2813,7.4,1168,9.3,4695,6.6,2780,15.7,2629,11.0,3310,12.1,1210
975,r016,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,5,8.4,1010,8.0,281,6.8,112,7.1,50,8.8,205,6.5,114,14.3,82,11.0,115,12.0,51
975,r017,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,5,9.9,410,8.7,90,7.3,45,,,11.6,61,8.0,53,18.4,37,,,,
975,r018,Years since bachelor's -> All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,Years since bachelor's,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,4,9.3,648,8.6,134,7.3,43,8.3,59,9.3,122,8.3,108,16.1,72,11.7,70,11.3,40
975,r019,Years since entering graduate school,Years since entering graduate school,,,,,1,,,,,,,,,,,,,,,,,,
