table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_biotechnology_r_d_total_companiesb_number_,field_biotechnology_r_d_total_amount,field_biotechnology_r_d_paid_for_by_the_company_companiesb_number_,field_biotechnology_r_d_paid_for_by_the_company_amount,field_biotechnology_r_d_paid_for_by_others_companiesb_number_,field_biotechnology_r_d_paid_for_by_others_amount
8811,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['300', '&nbsp;']","['2,694', '&nbsp;']","['50', 'i']","['226', '&nbsp;']","['50', 'i']","['126', '&nbsp;']","['10', '&nbsp;']","['100', '&nbsp;']"
8811,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['150', '&nbsp;']","['1,234', '&nbsp;']","['20', 'i']","['124 - 199', '&nbsp;']","['20', 'i']","['125', '&nbsp;']","['10', '&nbsp;']","['0 - 73', 'i']"
8811,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['130', '&nbsp;']","['1,060 - 1,066', '&nbsp;']","['50', 'i']","['154 - 252', 'i']","['50', 'i']","['155', 'i']","['10', '&nbsp;']","['0 - 97', '&nbsp;']"
8811,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,230', '&nbsp;']","['91,776', '&nbsp;']","['970', '&nbsp;']","['70,192', 'i']","['920', '&nbsp;']","['63,723', '&nbsp;']","['230', '&nbsp;']","['6,469', '&nbsp;']"
8811,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['370', '&nbsp;']","['2,665', '&nbsp;']","['110', 'i']","['132', '&nbsp;']","['110', 'i']","['93', '&nbsp;']","['10', '&nbsp;']","['39', '&nbsp;']"
8811,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['400', '&nbsp;']","['1,643 - 1,649', '&nbsp;']","['40', 'i']","['117 - 157', '&nbsp;']","['40', 'i']","['118', '&nbsp;']","['10', '&nbsp;']","['0 - 39', '&nbsp;']"
8811,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1,040', '&nbsp;']","['2,634', '&nbsp;']","['70', 'i']","['174', 'i']","['70', 'i']","['174', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['240', '&nbsp;']","['1,717', 'i']","['10', '&nbsp;']","['10', 'i']","['10', '&nbsp;']","['9', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']"
8811,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['270', '&nbsp;']","['815', '&nbsp;']","['10', '&nbsp;']","['2', 'i']","['10', '&nbsp;']","['2', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,270', '&nbsp;']","['3,396', '&nbsp;']","['70', 'i']","['31', '&nbsp;']","['70', 'i']","['31', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['2,120', '&nbsp;']","['16,223', '&nbsp;']","['30', 'i']","['136', '&nbsp;']","['30', 'i']","['122', '&nbsp;']","['10', '&nbsp;']","['14', 'i']"
8811,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['160', '&nbsp;']","['1,769 - 1,811', '&nbsp;']","['10', 'i']","['35', '&nbsp;']","['10', 'i']","['35', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['60', '&nbsp;']","['4,807', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['90', '&nbsp;']","['1,645', '&nbsp;']","['10', 'i']","['61', 'i']","['10', 'i']","['61', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,830', '&nbsp;']","['7,959 - 8,001', '&nbsp;']","['20', '&nbsp;']","['40', '&nbsp;']","['20', '&nbsp;']","['26', '&nbsp;']","['10', '&nbsp;']","['14', 'i']"
8811,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,220', '&nbsp;']","['99,535', '&nbsp;']","['150', 'i']","['1,792', 'i']","['140', 'i']","['1,424', 'i']","['30', 'i']","['368', '&nbsp;']"
8811,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['400', '&nbsp;']","['12,103', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['570', '&nbsp;']","['43,181', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['1,060', '&nbsp;']","['18,505', '&nbsp;']","['140', 'i']","['1,649 - 1,787', 'i']","['140', 'i']","['1,281 - 1,419', 'i']","['30', 'i']","['367', '&nbsp;']"
8811,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['190', '&nbsp;']","['2,858', '&nbsp;']","['60', 'i']","['1,275', 'i']","['50', 'i']","['1,166', 'i']","['10', '&nbsp;']","['108', '&nbsp;']"
8811,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['130', '&nbsp;']","['10,586', '&nbsp;']","['10', 'i']","['375', '&nbsp;']","['10', 'i']","['115 - 253', '&nbsp;']","['10', '&nbsp;']","['121 - 260', '&nbsp;']"
8811,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['740', '&nbsp;']","['5,061', '&nbsp;']","['90', 'i']","['0 - 138', 'i']","['80', 'i']","['0 - 138', 'i']","['20', 'i']","['0 - 138', '&nbsp;']"
8811,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['210', '&nbsp;']","['25,747', '&nbsp;']","['10', '&nbsp;']","['0 - 138', '&nbsp;']","['10', '&nbsp;']","['0 - 138', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']"
8811,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['680', '&nbsp;']","['4,998', '&nbsp;']","['10', '&nbsp;']","['11', '&nbsp;']","['10', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['980', '&nbsp;']","['48,796', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['490', '&nbsp;']","['23,121', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['340', '&nbsp;']","['22,914', 'i']","['10', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['310', '&nbsp;']","['21,291', 'i']","['10', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['40', '&nbsp;']","['1,623', '&nbsp;']","['10', 'i']","['*', 'i']","['10', 'i']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['10', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['140', '&nbsp;']","['2,750', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['240', '&nbsp;']","['496', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,430', '&nbsp;']","['18,791 - 18,809', '&nbsp;']","['320', 'i']","['2,393', 'i']","['310', 'i']","['2,325', 'i']","['30', 'i']","['68', '&nbsp;']"
8811,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['840', '&nbsp;']","['16,116', '&nbsp;']","['310', 'i']","['2,273', 'i']","['300', 'i']","['2,205', '&nbsp;']","['30', 'i']","['68', '&nbsp;']"
8811,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['600', '&nbsp;']","['2,674 - 2,692', '&nbsp;']","['20', '&nbsp;']","['120', 'i']","['20', '&nbsp;']","['120', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['14,460', '&nbsp;']","['229,174', '&nbsp;']","['910', 'i']","['11,904', 'i']","['720', 'i']","['3,131', '&nbsp;']","['350', 'i']","['8,773', '&nbsp;']"
8811,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['300', '&nbsp;']","['1,165', '&nbsp;']","['10', '&nbsp;']","['2 - 23', '&nbsp;']","['10', '&nbsp;']","['0 - 19', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']"
8811,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['50', '&nbsp;']","['264', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,160', '&nbsp;']","['1,058', '&nbsp;']","['30', 'i']","['41', '&nbsp;']","['30', 'i']","['41', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['90', '&nbsp;']","['3,840 - 19,390', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['60', '&nbsp;']","['4,957', 'i']","['10', '&nbsp;']","['*', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,810', '&nbsp;']","['129,463', '&nbsp;']","['30', '&nbsp;']","['85', '&nbsp;']","['30', '&nbsp;']","['79', '&nbsp;']","['10', 'i']","['6', '&nbsp;']"
8811,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,680', '&nbsp;']","['35,025', '&nbsp;']","['20', '&nbsp;']","['80', '&nbsp;']","['20', '&nbsp;']","['74', '&nbsp;']","['10', 'i']","['6', '&nbsp;']"
8811,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['30', '&nbsp;']","['60', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,650', '&nbsp;']","['34,965', '&nbsp;']","['20', '&nbsp;']","['80', '&nbsp;']","['20', '&nbsp;']","['74', '&nbsp;']","['10', 'i']","['6', '&nbsp;']"
8811,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['140', '&nbsp;']","['3,425 - 3,437', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,660', '&nbsp;']","['41,551', '&nbsp;']","['10', '&nbsp;']","['4', '&nbsp;']","['10', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['350', '&nbsp;']","['49,449 - 49,463', '&nbsp;']","['10', 'i']","['*', 'i']","['10', 'i']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['220', '&nbsp;']","['12,296', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['60', '&nbsp;']","['3,249', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['20', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['40', '&nbsp;']","['3,242', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,980', '&nbsp;']","['54,367', '&nbsp;']","['790', 'i']","['10,820', 'i']","['600', 'i']","['2,085', '&nbsp;']","['340', 'i']","['8,735', '&nbsp;']"
8811,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,390', '&nbsp;']","['4,214', '&nbsp;']","['60', 'i']","['199', 'i']","['50', 'i']","['78', '&nbsp;']","['30', 'i']","['121', 'i']"
8811,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['2,780', '&nbsp;']","['17,935', '&nbsp;']","['30', '&nbsp;']","['79', '&nbsp;']","['30', '&nbsp;']","['76', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']"
8811,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,710', '&nbsp;']","['25,600', '&nbsp;']","['670', 'i']","['10,429', 'i']","['510', 'i']","['1,861', '&nbsp;']","['300', 'i']","['8,568', '&nbsp;']"
8811,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['110', 'i']","['179', 'i']","['10', 'i']","['12', 'i']","['10', 'i']","['12', 'i']","['10', 'i']","['*', 'i']"
8811,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['350', '&nbsp;']","['6,191', '&nbsp;']","['330', 'i']","['4,448', '&nbsp;']","['250', 'i']","['1,101', '&nbsp;']","['170', 'i']","['3,347', '&nbsp;']"
8811,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['1,250', '&nbsp;']","['18,539', 'i']","['340', 'i']","['5,966', 'i']","['260', 'i']","['747', 'i']","['140', 'i']","['5,220', 'i']"
8811,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['20', '&nbsp;']","['691', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['1,110', '&nbsp;']","['6,618', '&nbsp;']","['40', 'i']","['114', 'i']","['30', 'i']","['70', 'i']","['20', '&nbsp;']","['44', '&nbsp;']"
8811,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['620', '&nbsp;']","['1,477', '&nbsp;']","['70', 'i']","['937', '&nbsp;']","['60', 'i']","['909', '&nbsp;']","['10', '&nbsp;']","['28', 'i']"
8811,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['1,160', '&nbsp;']","['1,491 - 17,041', '&nbsp;']","['10', '&nbsp;']","['0 - 19', '&nbsp;']","['10', '&nbsp;']","['0 - 19', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
8811,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['30,360', '&nbsp;']","['537,619', '&nbsp;']","['2,910', 'i']","['88,423', 'i']","['2,630', 'i']","['72,459', '&nbsp;']","['660', 'i']","['15,964', '&nbsp;']"
8811,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
8811,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['5,110', '&nbsp;']","['5,047', '&nbsp;']","['720', 'i']","['1,416', '&nbsp;']","['650', 'i']","['1,187', '&nbsp;']","['190', 'i']","['229', 'i']"
