table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
10734,r001,Institutions,Institutions,,,,1,98,14.2,89,12.9
10734,r002,Schools,Schools,,,,1,98,12.6,89,11.5
10734,r003,Units,Units,,,,1,180,0.8,176,0.8
10734,r004,All individuals,All individuals,,,,1,1203,100.0,897,100.0
10734,r005,All individuals -> Male,All individuals,Male,,,2,853,70.9,679,75.7
10734,r006,All individuals -> Female,All individuals,Female,,,2,350,29.1,218,24.3
10734,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,448,37.2,na,na
10734,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,25,2.1,na,na
10734,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
10734,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,2,0.2,na,na
10734,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,138,11.5,na,na
10734,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,19,1.6,na,na
10734,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,0,0.0,na,na
10734,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,220,18.3,na,na
10734,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,8,0.7,na,na
10734,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,36,3.0,na,na
10734,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,755,62.8,na,na
10734,r018,Primary source of support,Primary source of support,,,,1,,,,
10734,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,589,49.0,na,na
10734,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,552,45.9,na,na
10734,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,19,1.6,na,na
10734,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,43,3.6,na,na
10734,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
10734,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,71,5.9,na,na
10734,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,916,76.1,na,na
10734,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,9,0.7,na,na
10734,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,207,17.2,na,na
10734,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
10734,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,1060,88.1,735,81.9
10734,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,16,1.3,15,1.7
10734,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,6,0.5,3,0.3
10734,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,121,10.1,144,16.1
10734,r033,Degree origin,Degree origin,,,,1,,,,
10734,r034,Degree origin -> United States,Degree origin,United States,,,2,543,45.1,na,na
10734,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,423,35.2,na,na
10734,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,237,19.7,na,na
