table_id,row_id,_b_mechanism_of_support_and_sex_b_full_path,_b_mechanism_of_support_and_sex_b_level_1,_b_mechanism_of_support_and_sex_b_level_2,_b_mechanism_of_support_and_sex_b_level_3,_b_mechanism_of_support_and_sex_b_hierarchy_depth,field_all_sources,field_federal_dod,field_federal_doe,field_federal_hhs_nih,field_federal_hhs_other,field_federal_nasa,field_federal_nsf,field_federal_usda,field_federal_other,field_domestic,field_foreign,field_institutional,field_self_support
8271,r001,"Doctoral students, imputation rate (%)","Doctoral students, imputation rate (%)",,,1,,,,,,,,,,,,,
8271,r002,"Doctoral students, imputation rate (%) -> All full-time doctoral students","Doctoral students, imputation rate (%)",All full-time doctoral students,,2,1.5,5.4,4.0,5.3,6.3,6.4,7.4,5.5,5.5,6.9,5.6,7.8,10.0
8271,r003,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Fellowships","Doctoral students, imputation rate (%)",All full-time doctoral students,Fellowships,3,8.0,4.4,3.0,4.8,0.0,8.0,9.1,0.0,4.9,6.8,8.5,8.4,na
8271,r004,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Research assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Research assistantships,3,7.8,5.5,4.4,5.1,6.7,6.6,7.5,5.9,5.9,6.9,2.9,9.5,na
8271,r005,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Teaching assistantships","Doctoral students, imputation rate (%)",All full-time doctoral students,Teaching assistantships,3,10.2,na,11.1,na,10.0,11.8,6.8,7.7,3.9,8.3,4.5,10.5,na
8271,r006,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Traineeships","Doctoral students, imputation rate (%)",All full-time doctoral students,Traineeships,3,4.3,0.0,0.0,6.1,6.6,11.9,4.4,0.0,0.5,0.5,5.3,2.8,na
8271,r007,"Doctoral students, imputation rate (%) -> All full-time doctoral students -> Other types of support","Doctoral students, imputation rate (%)",All full-time doctoral students,Other types of support,3,10.9,7.1,4.3,7.4,0.0,0.0,9.1,5.3,15.2,14.1,13.5,12.4,10.0
8271,r008,"Doctoral students, imputation rate (%) -> Male","Doctoral students, imputation rate (%)",Male,,2,3.4,5.4,3.8,5.7,4.7,7.2,8.1,5.1,6.1,8.2,6.1,9.0,11.1
8271,r009,"Doctoral students, imputation rate (%) -> Female","Doctoral students, imputation rate (%)",Female,,2,3.2,5.9,6.1,5.5,7.9,6.4,7.7,6.0,5.2,6.3,5.5,8.9,8.6
8271,r010,"Doctoral students, number imputed<sup>a</sup>","Doctoral students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
8271,r011,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,,2,3932,358,219,1167,140,122,1454,107,425,970,145,11606,2306
8271,r012,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Fellowships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Fellowships,3,3320,19,4,112,0,20,346,0,83,136,30,2542,na
8271,r013,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Research assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Research assistantships,3,8119,315,229,775,120,104,1081,99,284,715,40,3970,na
8271,r014,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Teaching assistantships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Teaching assistantships,3,6322,na,5,na,3,2,49,4,8,36,15,6334,na
8271,r015,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Traineeships","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Traineeships,3,413,0,0,257,17,8,17,0,1,2,2,110,na
8271,r016,"Doctoral students, number imputed<sup>a</sup> -> All full-time doctoral students -> Other types of support","Doctoral students, number imputed<sup>a</sup>",All full-time doctoral students,Other types of support,3,4380,33,3,30,0,0,31,6,117,131,64,1653,2306
8271,r017,"Doctoral students, number imputed<sup>a</sup> -> Male","Doctoral students, number imputed<sup>a</sup>",Male,,2,4856,266,156,583,51,89,989,49,258,672,100,7257,1272
8271,r018,"Doctoral students, number imputed<sup>a</sup> -> Female","Doctoral students, number imputed<sup>a</sup>",Female,,2,3652,101,85,648,89,44,585,60,179,371,52,6087,1001
8271,r019,"Master's students, imputation rate (%)","Master's students, imputation rate (%)",,,1,,,,,,,,,,,,,
8271,r020,"Master's students, imputation rate (%) -> All full-time master's students","Master's students, imputation rate (%)",All full-time master's students,,2,1.2,4.0,3.2,9.7,8.4,3.8,9.9,6.9,8.3,10.4,15.6,11.1,10.5
8271,r021,"Master's students, imputation rate (%) -> All full-time master's students -> Fellowships","Master's students, imputation rate (%)",All full-time master's students,Fellowships,3,9.6,15.1,0.0,11.3,69.2,0.0,12.8,0.0,2.0,5.8,4.1,10.3,na
8271,r022,"Master's students, imputation rate (%) -> All full-time master's students -> Research assistantships","Master's students, imputation rate (%)",All full-time master's students,Research assistantships,3,9.8,8.2,3.0,11.0,4.8,4.3,11.0,7.3,6.0,9.9,9.2,11.2,na
8271,r023,"Master's students, imputation rate (%) -> All full-time master's students -> Teaching assistantships","Master's students, imputation rate (%)",All full-time master's students,Teaching assistantships,3,12.3,na,0.0,na,0.0,20.0,4.6,6.3,26.5,18.1,0.0,12.5,na
8271,r024,"Master's students, imputation rate (%) -> All full-time master's students -> Traineeships","Master's students, imputation rate (%)",All full-time master's students,Traineeships,3,6.4,28.6,0.0,6.4,13.6,0.0,0.0,12.5,5.2,1.4,6.3,6.2,na
8271,r025,"Master's students, imputation rate (%) -> All full-time master's students -> Other types of support","Master's students, imputation rate (%)",All full-time master's students,Other types of support,3,10.4,1.6,19.0,5.0,3.5,12.5,7.8,4.1,11.3,12.9,21.1,12.3,10.5
8271,r026,"Master's students, imputation rate (%) -> Male","Master's students, imputation rate (%)",Male,,2,2.2,3.9,4.1,8.6,4.9,5.3,11.1,5.9,7.7,11.2,15.5,11.3,11.1
8271,r027,"Master's students, imputation rate (%) -> Female","Master's students, imputation rate (%)",Female,,2,2.8,5.2,1.8,10.6,10.0,4.9,9.4,7.7,8.9,10.6,15.9,11.7,12.0
8271,r028,"Master's students, number imputed<sup>a</sup>","Master's students, number imputed<sup>a</sup>",,,1,,,,,,,,,,,,,
8271,r029,"Master's students, number imputed<sup>a</sup> -> All full-time master's students","Master's students, number imputed<sup>a</sup>",All full-time master's students,,2,3539,117,18,99,55,11,199,88,513,509,156,7046,21360
8271,r030,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Fellowships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Fellowships,3,855,13,0,7,18,0,30,0,24,27,3,692,na
8271,r031,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Research assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Research assistantships,3,2080,71,15,80,18,11,152,82,95,227,18,1325,na
8271,r032,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Teaching assistantships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Teaching assistantships,3,2732,na,0,na,0,1,8,2,39,40,0,2687,na
8271,r033,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Traineeships","Master's students, number imputed<sup>a</sup>",All full-time master's students,Traineeships,3,128,6,0,6,14,0,0,1,5,2,1,93,na
8271,r034,"Master's students, number imputed<sup>a</sup> -> All full-time master's students -> Other types of support","Master's students, number imputed<sup>a</sup>",All full-time master's students,Other types of support,3,24266,32,4,7,5,2,16,4,355,230,137,2695,21360
8271,r035,"Master's students, number imputed<sup>a</sup> -> Male","Master's students, number imputed<sup>a</sup>",Male,,2,2930,88,16,35,10,10,125,31,199,283,93,3374,10547
8271,r036,"Master's students, number imputed<sup>a</sup> -> Female","Master's students, number imputed<sup>a</sup>",Female,,2,4289,35,3,65,45,5,83,58,318,252,64,3916,12975
