table_id,row_id,time_period,column_level_1,column_level_2,column_level_3,column_hierarchy_depth,value
7943,r001,All institutions -> 2010,All R&D expenditures,,,1,61286610
7943,r002,All institutions -> 2010,Source of funds,Federal government,,2,37477582
7943,r003,All institutions -> 2010,Source of funds,State and local government,,2,3887106
7943,r004,All institutions -> 2010,Source of funds,Institution funds,Total,3,11942532
7943,r005,All institutions -> 2010,Source of funds,Institution funds,Institutionally financed research,3,6198189
7943,r006,All institutions -> 2010,Source of funds,Institution funds,Cost sharing,3,1083275
7943,r007,All institutions -> 2010,Source of funds,Institution funds,Unrecovered indirect costs,3,4661068
7943,r008,All institutions -> 2010,Source of funds,Business,,2,3201904
7943,r009,All institutions -> 2010,Source of funds,Nonprofit organizations,,2,3729655
7943,r010,All institutions -> 2010,Source of funds,All other sources,,2,1047831
7943,r011,All institutions -> 2011,All R&D expenditures,,,1,65274393
7943,r012,All institutions -> 2011,Source of funds,Federal government,,2,40768251
7943,r013,All institutions -> 2011,Source of funds,State and local government,,2,3851323
7943,r014,All institutions -> 2011,Source of funds,Institution funds,Total,3,12580320
7943,r015,All institutions -> 2011,Source of funds,Institution funds,Institutionally financed research,3,6816187
7943,r016,All institutions -> 2011,Source of funds,Institution funds,Cost sharing,3,1153646
7943,r017,All institutions -> 2011,Source of funds,Institution funds,Unrecovered indirect costs,3,4610487
7943,r018,All institutions -> 2011,Source of funds,Business,,2,3182671
7943,r019,All institutions -> 2011,Source of funds,Nonprofit organizations,,2,3853950
7943,r020,All institutions -> 2011,Source of funds,All other sources,,2,1037878
7943,r021,All institutions -> 2012,All R&D expenditures,,,1,65872505
7943,r022,All institutions -> 2012,Source of funds,Federal government,,2,40216862
7943,r023,All institutions -> 2012,Source of funds,State and local government,,2,3743834
7943,r024,All institutions -> 2012,Source of funds,Institution funds,Total,3,13625176
7943,r025,All institutions -> 2012,Source of funds,Institution funds,Institutionally financed research,3,7723845
7943,r026,All institutions -> 2012,Source of funds,Institution funds,Cost sharing,3,1289013
7943,r027,All institutions -> 2012,Source of funds,Institution funds,Unrecovered indirect costs,3,4612318
7943,r028,All institutions -> 2012,Source of funds,Business,,2,3279179
7943,r029,All institutions -> 2012,Source of funds,Nonprofit organizations,,2,4037021
7943,r030,All institutions -> 2012,Source of funds,All other sources,,2,970433
7943,r031,All institutions -> 2013,All R&D expenditures,,,1,67144666
7943,r032,All institutions -> 2013,Source of funds,Federal government,,2,39510280
7943,r033,All institutions -> 2013,Source of funds,State and local government,,2,3705597
7943,r034,All institutions -> 2013,Source of funds,Institution funds,Total,3,14973909
7943,r035,All institutions -> 2013,Source of funds,Institution funds,Institutionally financed research,3,8906778
7943,r036,All institutions -> 2013,Source of funds,Institution funds,Cost sharing,3,1360580
7943,r037,All institutions -> 2013,Source of funds,Institution funds,Unrecovered indirect costs,3,4706551
7943,r038,All institutions -> 2013,Source of funds,Business,,2,3514750
7943,r039,All institutions -> 2013,Source of funds,Nonprofit organizations,,2,3902646
7943,r040,All institutions -> 2013,Source of funds,All other sources,,2,1537484
7943,r041,All institutions -> 2014,All R&D expenditures,,,1,67351146
7943,r042,All institutions -> 2014,Source of funds,Federal government,,2,38031837
7943,r043,All institutions -> 2014,Source of funds,State and local government,,2,3915607
7943,r044,All institutions -> 2014,Source of funds,Institution funds,Total,3,15781083
