table_id,row_id,perception_full_path,perception_level_1,perception_level_2,perception_hierarchy_depth,field_1983_n_1_615_,field_1985_n_1_986_,field_1988_n_2_041_,field_1990_n_2_005_,field_1992_n_1_995_,field_1995_n_2_006_,field_1997_n_2_000_,field_1999_n_1_882_,field_2001_n_1_574_,field_2012_n_1_152_,field_2016_n_1_390_,field_2018_n_1_175_
6673,r001,Scientists work for the good of humanity,Scientists work for the good of humanity,,1,,,,,,,,,,,,
6673,r002,Scientists work for the good of humanity -> Strongly agree,Scientists work for the good of humanity,Strongly agree,2,na,na,na,na,na,na,na,na,1.0,1.7,1.5,1.7
6673,r003,Scientists work for the good of humanity -> Agree,Scientists work for the good of humanity,Agree,2,na,na,na,na,na,na,na,na,1.3,1.9,1.5,1.9
6673,r004,Scientists work for the good of humanity -> Disagree,Scientists work for the good of humanity,Disagree,2,na,na,na,na,na,na,na,na,0.9,0.8,0.8,0.9
6673,r005,Scientists work for the good of humanity -> Strongly disagree,Scientists work for the good of humanity,Strongly disagree,2,na,na,na,na,na,na,na,na,0.3,0.4,0.4,0.3
6673,r006,Scientists work for the good of humanity -> Don't know,Scientists work for the good of humanity,Don't know,2,na,na,na,na,na,na,na,na,0.6,0.9,0.5,0.5
6673,r007,Scientists work for the good of humanity -> Mean,Scientists work for the good of humanity,Mean,2,na,na,na,na,na,na,na,na,0.02,0.02,0.02,0.02
6673,r008,Scientists help to solve problems,Scientists help to solve problems,,1,,,,,,,,,,,,
6673,r009,Scientists help to solve problems -> Strongly agree,Scientists help to solve problems,Strongly agree,2,na,na,na,na,na,na,na,na,1.1,1.4,1.7,1.6
6673,r010,Scientists help to solve problems -> Agree,Scientists help to solve problems,Agree,2,na,na,na,na,na,na,na,na,1.2,1.7,1.8,1.5
6673,r011,Scientists help to solve problems -> Disagree,Scientists help to solve problems,Disagree,2,na,na,na,na,na,na,na,na,0.5,0.4,0.6,0.7
6673,r012,Scientists help to solve problems -> Strongly disagree,Scientists help to solve problems,Strongly disagree,2,na,na,na,na,na,na,na,na,0.05,0.4,0.2,0.05
6673,r013,Scientists help to solve problems -> Don't know,Scientists help to solve problems,Don't know,2,na,na,na,na,na,na,na,na,0.4,0.8,0.4,0.5
6673,r014,Scientists help to solve problems -> Mean,Scientists help to solve problems,Mean,2,na,na,na,na,na,na,na,na,0.01,0.02,0.02,0.02
6673,r015,Scientists want to make life better for the average person,Scientists want to make life better for the average person,,1,,,,,,,,,,,,
6673,r016,Scientists want to make life better for the average person -> Strongly agree,Scientists want to make life better for the average person,Strongly agree,2,na,0.5,0.6,0.6,0.8,0.7,1.0,0.8,0.9,1.4,1.7,1.5
6673,r017,Scientists want to make life better for the average person -> Agree,Scientists want to make life better for the average person,Agree,2,na,1.1,1.2,1.2,1.3,1.3,1.4,1.2,1.2,1.8,1.5,1.5
6673,r018,Scientists want to make life better for the average person -> Disagree,Scientists want to make life better for the average person,Disagree,2,na,1.0,1.0,1.0,1.1,1.1,1.0,1.0,0.8,1.0,0.9,1.0
6673,r019,Scientists want to make life better for the average person -> Strongly disagree,Scientists want to make life better for the average person,Strongly disagree,2,na,0.2,0.2,0.3,0.3,0.3,0.6,0.3,0.3,0.5,0.05,0.3
6673,r020,Scientists want to make life better for the average person -> Don't know,Scientists want to make life better for the average person,Don't know,2,na,0.5,0.4,0.5,0.4,0.5,0.5,0.4,0.4,1.0,0.4,0.5
6673,r021,Scientists want to make life better for the average person -> Mean,Scientists want to make life better for the average person,Mean,2,na,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02
6673,r022,Scientists are odd and peculiar,Scientists are odd and peculiar,,1,,,,,,,,,,,,
6673,r023,Scientists are odd and peculiar -> Strongly agree,Scientists are odd and peculiar,Strongly agree,2,0.3,na,na,na,na,na,na,na,0.5,0.6,0.9,0.9
6673,r024,Scientists are odd and peculiar -> Agree,Scientists are odd and peculiar,Agree,2,1.4,na,na,na,na,na,na,na,1.3,2.1,1.4,1.9
6673,r025,Scientists are odd and peculiar -> Disagree,Scientists are odd and peculiar,Disagree,2,1.5,na,na,na,na,na,na,na,1.5,1.9,1.5,1.8
6673,r026,Scientists are odd and peculiar -> Strongly disagree,Scientists are odd and peculiar,Strongly disagree,2,0.6,na,na,na,na,na,na,na,0.8,0.9,0.8,0.9
6673,r027,Scientists are odd and peculiar -> Don't know,Scientists are odd and peculiar,Don't know,2,0.6,na,na,na,na,na,na,na,0.6,1.2,0.7,0.7
6673,r028,Scientists are odd and peculiar -> Mean,Scientists are odd and peculiar,Mean,2,0.02,na,na,na,na,na,na,na,0.02,0.03,0.02,0.03
