table_id,row_id,primary_source_of_support_ethnicity_race_and_sex_full_path,primary_source_of_support_ethnicity_race_and_sex_level_1,primary_source_of_support_ethnicity_race_and_sex_level_2,primary_source_of_support_ethnicity_race_and_sex_level_3,primary_source_of_support_ethnicity_race_and_sex_level_4,primary_source_of_support_ethnicity_race_and_sex_level_5,primary_source_of_support_ethnicity_race_and_sex_level_6,primary_source_of_support_ethnicity_race_and_sex_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering
1220,r001,All recipients (number)<sup>a</sup>,All recipients (number)<sup>a</sup>,,,,,,1,115134,94784,3560,30523,4140,3243,4589,14051,15972,18706,20350
1220,r002,All recipients (number)<sup>a</sup> -> All sources,All recipients (number)<sup>a</sup>,All sources,,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r003,All recipients (number)<sup>a</sup> -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,All sources,Personal or family funds,,,,3,12.3,14.0,11.7,5.7,14.0,5.6,5.5,3.1,31.7,22.7,6.2
1220,r004,All recipients (number)<sup>a</sup> -> All sources -> Teaching assistantship,All recipients (number)<sup>a</sup>,All sources,Teaching assistantship,,,,3,16.9,19.0,10.6,11.1,8.7,15.5,53.4,20.6,19.5,28.2,5.7
1220,r005,"All recipients (number)<sup>a</sup> -> All sources -> Research assistantship, traineeship, or internship",All recipients (number)<sup>a</sup>,All sources,"Research assistantship, traineeship, or internship",,,,3,29.6,27.0,39.0,28.0,41.3,39.3,13.0,45.9,19.2,12.6,43.0
1220,r006,"All recipients (number)<sup>a</sup> -> All sources -> Fellowship, scholarship, or grant<sup>b</sup>",All recipients (number)<sup>a</sup>,All sources,"Fellowship, scholarship, or grant<sup>b</sup>",,,,3,31.5,32.0,25.4,48.6,22.2,32.6,19.5,23.8,17.6,27.5,31.6
1220,r007,All recipients (number)<sup>a</sup> -> All sources -> Other<sup>c</sup>,All recipients (number)<sup>a</sup>,All sources,Other<sup>c</sup>,,,,3,9.6,9.0,13.3,6.7,13.7,6.9,8.7,6.6,12.0,9.1,13.6
1220,r008,All recipients (number)<sup>a</sup> -> Hispanic or Latino<sup>d</sup> (number),All recipients (number)<sup>a</sup>,Hispanic or Latino<sup>d</sup> (number),,,,,2,7721,6451,230,2249,185,175,211,761,1306,1334,1270
1220,r009,All recipients (number)<sup>a</sup> -> Hispanic or Latino<sup>d</sup> (number) -> All sources,All recipients (number)<sup>a</sup>,Hispanic or Latino<sup>d</sup> (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1220,r010,All recipients (number)<sup>a</sup> -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Personal or family funds,All recipients (number)<sup>a</sup>,Hispanic or Latino<sup>d</sup> (number),All sources,Personal or family funds,,,4,13.8,15.0,11.7,6.8,18.4,6.9,6.2,2.4,35.5,20.3,6.0
