table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_1998_uspto_patents,field_1998_patent_families,field_1999_uspto_patents,field_1999_patent_families,field_2000_uspto_patents,field_2000_patent_families,field_2001_uspto_patents,field_2001_patent_families,field_2002_uspto_patents,field_2002_patent_families,field_2003_uspto_patents,field_2003_patent_families,field_2004_uspto_patents,field_2004_patent_families,field_2005_uspto_patents,field_2005_patent_families,field_2006_uspto_patents,field_2006_patent_families,field_2007_uspto_patents,field_2007_patent_families,field_2008_uspto_patents,field_2008_patent_families,field_2009_uspto_patents,field_2009_patent_families,field_2010_uspto_patents,field_2010_patent_families,field_2011_uspto_patents,field_2011_patent_families,field_2012_uspto_patents,field_2012_patent_families,field_2013_uspto_patents,field_2013_patent_families,field_2014_uspto_patents,field_2014_patent_families,field_2015_uspto_patents,field_2015_patent_families,field_2016_uspto_patents,field_2016_patent_families,field_2017_uspto_patents,field_2017_patent_families,field_2018_uspto_patents,field_2018_patent_families
1911,r001,World,World,,,,1,5653,4760,5694,4892,5411,4003,5717,3458,6210,3299,5239,3609,4330,4594,3750,4518,4655,6046,4488,6103,4343,5794,4680,5344,5734,5811,5613,7316,6460,9445,7092,9784,7055,10304,6791,11831,5951,12218,5928,10886,5488,10956
1911,r002,World -> North America,World,North America,,,2,2740,1249,2826,1147,2618,904,2677,828,2973,772,2557,602,2077,478,1875,369,2329,479,2142,375,2096,397,2244,353,2735,408,2569,360,3000,328,3306,373,3300,411,3165,355,2860,302,2917,234,2649,191
1911,r003,World -> North America -> Canada,World,North America,Canada,,3,72,35,87,38,75,30,75,21,89,22,76,22,71,15,49,11,81,13,76,25,84,25,100,30,105,28,109,24,102,14,109,14,112,15,101,18,95,20,78,12,74,8
1911,r004,World -> North America -> Mexico,World,North America,Mexico,,3,3,3,2,2,1,0,1,0,4,2,2,1,0,0,0,0,0,0,4,2,1,1,2,0,2,0,2,0,1,0,3,1,6,0,7,1,5,12,7,13,6,10
1911,r005,World -> North America -> Puerto Rico,World,North America,Puerto Rico,,3,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0
1911,r006,World -> North America -> United States,World,North America,United States,,3,2665,1210,2734,1106,2542,874,2600,806,2881,748,2478,578,2005,462,1826,358,2246,466,2061,348,2010,371,2142,323,2627,380,2456,336,2895,314,3193,359,3182,395,3057,336,2759,269,2831,209,2567,173
1911,r007,World -> North America -> All others,World,North America,All others,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,r008,World -> Central and South America,World,Central and South America,,,2,6,2,6,5,9,4,6,3,11,4,8,1,5,3,4,3,11,1,3,3,9,6,10,11,8,12,12,9,16,14,20,16,25,12,22,21,17,30,13,31,16,42
1911,r009,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,1,0,1,0,3,0,0,1,3,0,1,0,0,1,0,0,3,0,1,1,2,1,2,0,1,1,2,0,2,0,3,1,3,0,2,0,2,0,1,0,0,0
1911,r010,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,2,0,1,1,4,3,2,1,6,3,4,0,4,1,2,2,4,1,1,1,4,4,7,10,7,10,9,9,9,11,14,13,16,10,16,19,11,29,8,29,12,40
1911,r011,World -> Central and South America -> All others,World,Central and South America,All others,,3,3,2,4,3,2,1,4,1,2,1,3,0,1,0,2,0,4,0,1,1,2,2,2,1,0,1,2,0,4,2,3,2,7,1,4,1,4,1,4,2,3,2
1911,r012,World -> Europe,World,Europe,,,2,1943,1379,1906,1332,1864,1246,1985,1040,2090,1093,1735,1180,1429,1350,1185,1147,1479,1303,1512,1237,1466,1307,1488,1176,1864,1163,1789,1251,1997,1662,2222,1417,2131,1276,1934,1269,1608,1086,1480,1178,1412,1171
1911,r013,World -> Europe -> EU,World,Europe,EU,,3,1824,997,1751,953,1732,910,1843,800,1945,761,1620,786,1305,908,1103,798,1361,945,1417,873,1344,878,1355,756,1689,768,1606,834,1815,1164,1996,1031,1951,861,1765,803,1426,781,1297,718,1264,747
1911,r014,World -> Europe -> EU -> Austria,World,Europe,EU,Austria,4,13,13,18,9,15,6,17,13,19,11,12,12,20,10,10,7,7,11,15,7,13,7,12,5,23,4,10,4,22,5,24,6,29,5,27,3,20,4,13,1,12,3
1911,r015,World -> Europe -> EU -> Belgium,World,Europe,EU,Belgium,4,40,8,26,13,34,7,44,9,48,6,32,7,34,9,35,8,43,14,37,10,37,8,54,9,49,5,69,4,62,7,89,6,91,4,87,4,68,3,59,11,53,11
1911,r016,World -> Europe -> EU -> Denmark,World,Europe,EU,Denmark,4,44,3,52,2,40,4,50,5,47,3,51,4,37,1,32,1,31,2,30,3,25,8,33,3,57,3,55,3,52,0,50,3,30,0,36,1,31,1,25,1,32,0
1911,r017,World -> Europe -> EU -> Finland,World,Europe,EU,Finland,4,7,10,12,15,9,11,12,14,20,6,10,14,13,3,11,7,7,5,8,7,7,5,9,7,11,6,10,3,9,4,11,5,13,5,13,7,8,8,7,8,13,7
1911,r018,World -> Europe -> EU -> France,World,Europe,EU,France,4,405,344,414,302,387,307,430,332,469,337,367,336,247,360,222,338,259,502,297,378,277,395,253,362,310,378,344,413,328,652,410,521,361,420,342,456,282,383,245,271,242,288
1911,r019,World -> Europe -> EU -> Germany,World,Europe,EU,Germany,4,731,223,651,180,681,183,710,151,770,141,622,142,543,156,405,150,536,168,509,115,467,92,483,68,595,62,490,71,648,67,745,84,779,52,647,65,487,55,440,70,414,95
1911,r020,World -> Europe -> EU -> Hungary,World,Europe,EU,Hungary,4,11,10,7,13,11,11,16,4,11,5,18,14,10,10,11,8,12,9,12,12,20,11,8,10,19,32,16,20,13,8,13,8,14,2,19,8,12,9,15,9,7,9
1911,r021,World -> Europe -> EU -> Ireland,World,Europe,EU,Ireland,4,2,4,3,2,1,1,5,0,5,0,5,1,3,2,2,0,2,0,2,0,1,1,3,2,5,2,4,1,4,1,8,1,6,0,4,0,7,1,9,1,6,0
