table_id,row_id,_b_sex_and_financial_resource_b_full_path,_b_sex_and_financial_resource_b_level_1,_b_sex_and_financial_resource_b_level_2,_b_sex_and_financial_resource_b_level_3,_b_sex_and_financial_resource_b_hierarchy_depth,field_all_fields_number_,field_all_fields_percent_,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7552,r001,Male doctorate recipients reporting source of support,Male doctorate recipients reporting source of support,,,1,24923,100.0,84.0,2.1,14.4,5.9,25.3,2.1,2.8,5.0,2.7,11.8,3.3,8.5,16.0,2.5,3.7,5.6,1.2,2.9
7552,r002,Male doctorate recipients reporting source of support -> Fellowship or scholarship,Male doctorate recipients reporting source of support,Fellowship or scholarship,,2,15889,100.0,82.8,2.2,16.0,5.0,23.0,2.3,2.6,4.8,2.6,11.1,3.0,10.2,17.2,2.6,2.7,7.4,1.6,2.9
7552,r003,Male doctorate recipients reporting source of support -> Dissertation grant,Male doctorate recipients reporting source of support,Dissertation grant,,2,3566,100.0,71.7,2.1,12.8,2.4,12.6,2.2,3.1,3.0,2.1,6.0,5.1,20.3,28.3,2.6,3.3,15.1,2.7,4.6
7552,r004,Male doctorate recipients reporting source of support -> Assistantship,Male doctorate recipients reporting source of support,Assistantship,,2,,,,,,,,,,,,,,,,,,,,
7552,r005,Male doctorate recipients reporting source of support -> Teaching,Male doctorate recipients reporting source of support,Teaching,,2,17402,100.0,84.8,1.4,11.1,6.3,23.8,2.3,2.1,6.8,2.9,14.6,3.5,9.9,15.2,2.4,1.9,6.7,1.6,2.7
7552,r006,Male doctorate recipients reporting source of support -> Research,Male doctorate recipients reporting source of support,Research,,2,17716,100.0,90.5,2.4,13.3,7.0,30.3,2.6,2.2,4.4,3.0,15.0,2.7,7.5,9.5,2.1,1.8,3.0,0.5,2.2
7552,r007,Male doctorate recipients reporting source of support -> Other,Male doctorate recipients reporting source of support,Other,,2,1746,100.0,71.8,2.7,8.5,4.7,17.5,1.7,3.6,3.9,2.7,5.0,9.9,11.6,28.2,2.2,8.0,11.6,2.7,3.8
7552,r008,Male doctorate recipients reporting source of support -> Traineeship,Male doctorate recipients reporting source of support,Traineeship,,2,818,100.0,96.1,1.3,51.0,,13.1,1.1,6.6,2.7,,6.5,6.2,5.0,3.9,,0.6,1.7,,0.6
7552,r009,Male doctorate recipients reporting source of support -> Internship or clinical residency,Male doctorate recipients reporting source of support,Internship or clinical residency,,2,3023,100.0,94.6,0.8,3.8,18.8,38.7,2.0,2.0,5.7,5.0,4.8,10.1,3.0,5.4,1.0,1.0,1.7,0.3,1.5
7552,r010,Male doctorate recipients reporting source of support -> Loan (any source),Male doctorate recipients reporting source of support,Loan (any source),,2,4602,100.0,69.0,1.8,12.3,2.7,13.8,1.6,4.7,2.5,2.4,5.2,9.0,13.1,31.0,2.9,9.5,10.5,2.8,5.4
7552,r011,Male doctorate recipients reporting source of support -> Personal sources,Male doctorate recipients reporting source of support,Personal sources,,2,,,,,,,,,,,,,,,,,,,,
7552,r012,Male doctorate recipients reporting source of support -> Personal sources -> Savings,Male doctorate recipients reporting source of support,Personal sources,Savings,3,11714,100.0,79.1,2.3,13.3,5.1,22.5,1.9,3.4,4.1,2.7,8.6,4.8,10.4,20.9,3.1,5.3,7.2,1.6,3.6
7552,r013,Male doctorate recipients reporting source of support -> Personal sources -> Other earnings during graduate school,Male doctorate recipients reporting source of support,Personal sources,Other earnings during graduate school,3,6153,100.0,68.6,2.4,10.8,3.8,14.5,1.7,4.2,3.6,2.6,5.6,6.3,13.1,31.4,2.6,8.8,12.3,3.1,4.7
7552,r014,"Male doctorate recipients reporting source of support -> Spouse's, partner's, or family's earnings or savings",Male doctorate recipients reporting source of support,"Spouse's, partner's, or family's earnings or savings",,2,8370,100.0,79.8,2.1,14.0,5.1,23.0,1.8,2.9,4.5,2.7,9.1,4.4,10.1,20.2,2.8,4.3,7.7,1.7,3.7
7552,r015,Male doctorate recipients reporting source of support -> Employer reimbursement or assistance,Male doctorate recipients reporting source of support,Employer reimbursement or assistance,,2,2281,100.0,73.1,2.3,10.5,6.4,21.8,1.7,4.7,3.1,2.3,7.9,3.4,8.9,26.9,3.1,11.7,6.5,0.6,5.0
7552,r016,Male doctorate recipients reporting source of support -> Foreign (non-U.S.) support,Male doctorate recipients reporting source of support,Foreign (non-U.S.) support,,2,1720,100.0,83.0,3.5,10.6,6.7,31.2,1.9,3.5,4.1,2.9,6.0,1.5,10.9,17.0,2.3,3.1,6.2,1.0,4.5
7552,r017,Male doctorate recipients reporting source of support -> Other ,Male doctorate recipients reporting source of support,Other ,,2,227,100.0,71.8,1.3,11.0,2.6,18.1,1.8,3.5,4.4,2.2,5.3,5.3,16.3,28.2,4.4,8.8,9.3,0.4,5.3
7552,r018,Female doctorate recipients reporting source of support,Female doctorate recipients reporting source of support,,,1,21172,100.0,74.8,2.6,18.6,2.2,10.4,2.0,7.3,2.3,2.2,6.7,10.3,10.2,25.2,2.4,10.5,6.0,1.7,4.6
7552,r019,Female doctorate recipients reporting source of support -> Fellowship or scholarship,Female doctorate recipients reporting source of support,Fellowship or scholarship,,2,14464,100.0,75.8,2.8,20.2,1.8,10.1,2.3,6.5,2.2,2.3,6.7,9.3,11.6,24.2,2.3,7.6,7.5,2.3,4.5
7552,r020,Female doctorate recipients reporting source of support -> Dissertation grant,Female doctorate recipients reporting source of support,Dissertation grant,,2,4548,100.0,68.5,2.3,13.6,1.1,4.4,1.5,7.7,0.9,2.2,3.1,11.3,20.4,31.5,1.6,7.6,12.8,3.3,6.2
7552,r021,Female doctorate recipients reporting source of support -> Assistantship,Female doctorate recipients reporting source of support,Assistantship,,2,,,,,,,,,,,,,,,,,,,,
7552,r022,Female doctorate recipients reporting source of support -> Teaching,Female doctorate recipients reporting source of support,Teaching,,2,13901,100.0,76.2,2.3,15.4,2.6,10.5,2.4,4.7,3.1,2.4,9.1,10.9,12.6,23.8,2.3,6.4,8.0,2.3,4.8
