table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
3144,r001,All institutions,All institutions,,1,-,"['5,053,576', '']","['144,088', '']","['74,941', '']","['3,283,542', '']","['13,950', '']","['158,714', '']","['14,723', '']","['53,735', '']","['42,475', '']","['1,113,463', '']","['153,945', '']"
3144,r002,All institutions -> Duke U.,All institutions,Duke U.,2,1,"['236,292', '']","['76', '']","['354', '']","['228,478', '']","['190', '']","['194', '']","['10', '']","['481', '']","['0', '']","['4,293', '']","['2,216', '']"
3144,r003,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,2,"['196,810', '']","['25,879', '']","['3,106', '']","['15,154', '']","['1,413', '']","['18,226', '']","['0', '']","['4,623', '']","['11,887', '']","['77,204', '']","['39,318', '']"
3144,r004,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,3,"['158,554', '']","['685', '']","['16', '']","['153,761', '']","['0', '']","['920', '']","['58', '']","['251', '']","['0', '']","['2,528', '']","['335', '']"
3144,r005,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,4,"['157,885', '']","['4,756', '']","['145', '']","['98,789', '']","['4', '']","['478', '']","['0', '']","['313', '']","['6,835', '']","['44,867', '']","['1,698', '']"
3144,r006,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,5,"['156,237', '']","['0', '']","['0', '']","['154,300', '']","['112', '']","['1,797', '']","['28', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3144,r007,All institutions -> Stanford U.,All institutions,Stanford U.,2,6,"['136,065', '']","['9,307', '']","['1,081', '']","['91,278', '']","['0', '']","['4,838', '']","['526', '']","['591', '']","['0', '']","['28,122', '']","['322', '']"
3144,r008,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,7,"['110,306', '']","['0', '']","['0', '']","['41', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['110,265', '']","['0', '']"
3144,r009,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,8,"['105,805', '']","['1,532', '']","['159', '']","['96,645', '']","['127', '']","['488', '']","['0', '']","['260', '']","['320', '']","['6,132', '']","['142', '']"
3144,r010,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,9,"['103,463', '']","['0', '']","['0', '']","['97,857', '']","['0', '']","['5,606', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3144,r011,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,10,"['98,997', '']","['586', '']","['2', '']","['56,471', '']","['178', '']","['1,656', '']","['198', '']","['1,358', '']","['0', '']","['37,507', '']","['1,041', '']"
3144,r012,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,11,"['96,311', '']","['164', '']","['0', '']","['93,835', '']","['0', '']","['338', '']","['0', '']","['0', '']","['0', '']","['310', '']","['1,664', '']"
3144,r013,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,12,"['86,865', '']","['730', '']","['4,876', '']","['66,223', '']","['0', '']","['1,725', '']","['1,031', '']","['118', '']","['319', '']","['11,843', '']","['0', '']"
3144,r014,All institutions -> Wichita State U.,All institutions,Wichita State U.,2,13,"['82,008', '']","['0', '']","['0', '']","['120', '']","['0', '']","['2', '']","['0', '']","['0', '']","['0', '']","['74,551', '']","['7,335', '']"
3144,r015,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,14,"['78,227', '']","['711', '']","['653', '']","['71,055', '']","['0', '']","['547', '']","['139', '']","['0', '']","['0', '']","['4,364', '']","['758', '']"
3144,r016,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,15,"['76,217', '']","['1,269', '']","['514', '']","['60,451', '']","['107', '']","['2,108', '']","['148', '']","['183', '']","['892', '']","['8,154', '']","['2,391', '']"
3144,r017,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,16,"['75,638', '']","['1,971', '']","['10,472', '']","['7,958', '']","['647', '']","['3,993', '']","['44', '']","['527', '']","['0', '']","['37,227', '']","['12,799', '']"
3144,r018,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,17,"['75,009', '']","['749', '']","['304', '']","['14,603', '']","['420', '']","['6,124', '']","['499', '']","['4,086', '']","['7,655', '']","['37,169', '']","['3,400', '']"
3144,r019,All institutions -> Yale U.,All institutions,Yale U.,2,18,"['74,583', '']","['10', '']","['0', '']","['71,241', '']","['0', '']","['890', '']","['0', '']","['5', '']","['0', '']","['1,174', '']","['1,263', '']"
3144,r020,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,19,"['69,816', '']","['0', '']","['0', '']","['69,816', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
3144,r021,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,20,"['66,782', '']","['5,415', '']","['269', '']","['4,941', '']","['2', '']","['1,531', '']","['60', '']","['161', '']","['0', '']","['52,863', '']","['1,540', '']"
3144,r022,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,21,"['60,971', '']","['0', '']","['2', '']","['57,510', '']","['0', '']","['308', '']","['3', '']","['578', '']","['0', '']","['1,777', '']","['793', '']"
