table_id,row_id,_b_survey_population_and_source_of_funds_b_full_path,_b_survey_population_and_source_of_funds_b_level_1,_b_survey_population_and_source_of_funds_b_level_2,_b_survey_population_and_source_of_funds_b_level_3,_b_survey_population_and_source_of_funds_b_level_4,_b_survey_population_and_source_of_funds_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
5375,r001,Standard form institutions,Standard form institutions,,,,1,,,
5375,r002,Standard form institutions -> All sources,Standard form institutions,All sources,,,2,86296178,120807,0.1
5375,r003,Standard form institutions -> All sources -> Federal government,Standard form institutions,All sources,Federal government,,3,46143829,64135,0.1
5375,r004,Standard form institutions -> All sources -> State and local government,Standard form institutions,All sources,State and local government,,3,4596633,5169,0.1
5375,r005,Standard form institutions -> All sources -> Institution funds,Standard form institutions,All sources,Institution funds,,3,21946790,41054,0.2
5375,r006,Standard form institutions -> All sources -> Institution funds -> Institutionally financed research,Standard form institutions,All sources,Institution funds,Institutionally financed research,4,14570011,26540,0.2
5375,r007,Standard form institutions -> All sources -> Institution funds -> Cost sharing,Standard form institutions,All sources,Institution funds,Cost sharing,4,1633683,4287,0.3
5375,r008,Standard form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Standard form institutions,All sources,Institution funds,Unrecovered indirect costs,4,5743096,10227,0.2
5375,r009,Standard form institutions -> All sources -> Business,Standard form institutions,All sources,Business,,3,5184925,3428,0.1
5375,r010,Standard form institutions -> All sources -> Nonprofit organizations,Standard form institutions,All sources,Nonprofit organizations,,3,5745238,3866,0.1
5375,r011,Standard form institutions -> All sources -> All other sources,Standard form institutions,All sources,All other sources,,3,2678763,3155,0.1
5375,r012,Short form institutions,Short form institutions,,,,1,,,
5375,r013,Short form institutions -> All sources,Short form institutions,All sources,,,2,138876,6652,4.8
5375,r014,Short form institutions -> All sources -> Federal government,Short form institutions,All sources,Federal government,,3,76425,3454,4.5
5375,r015,Short form institutions -> All sources -> State and local government,Short form institutions,All sources,State and local government,,3,8674,198,2.3
5375,r016,Short form institutions -> All sources -> Institution funds,Short form institutions,All sources,Institution funds,,3,32945,2227,6.8
5375,r017,Short form institutions -> All sources -> Institution funds -> Institutionally financed research,Short form institutions,All sources,Institution funds,Institutionally financed research,4,27247,2045,7.5
5375,r018,Short form institutions -> All sources -> Institution funds -> Cost sharing,Short form institutions,All sources,Institution funds,Cost sharing,4,2267,64,2.8
5375,r019,Short form institutions -> All sources -> Institution funds -> Unrecovered indirect costs,Short form institutions,All sources,Institution funds,Unrecovered indirect costs,4,3431,118,3.4
5375,r020,Short form institutions -> All sources -> Business,Short form institutions,All sources,Business,,3,4259,174,4.1
5375,r021,Short form institutions -> All sources -> Nonprofit organizations,Short form institutions,All sources,Nonprofit organizations,,3,13247,716,5.4
5375,r022,Short form institutions -> All sources -> All other sources,Short form institutions,All sources,All other sources,,3,3326,178,5.4
