table_id,row_id,_b_citizenship_ethnicity_race_and_field_b_full_path,_b_citizenship_ethnicity_race_and_field_b_level_1,_b_citizenship_ethnicity_race_and_field_b_level_2,_b_citizenship_ethnicity_race_and_field_b_level_3,_b_citizenship_ethnicity_race_and_field_b_level_4,_b_citizenship_ethnicity_race_and_field_b_level_5,_b_citizenship_ethnicity_race_and_field_b_level_6,_b_citizenship_ethnicity_race_and_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
3496,r001,All surveyed fields,All surveyed fields,,,,,,1,690117,47.1,408228,49.6,281889,43.5,66247,40.9,30349,40.8
3496,r002,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,,,,,2,456504,52.2,287370,54.2,169134,48.8,29452,47.1,na,na
3496,r003,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,,3,54467,55.8,36777,58.2,17690,50.9,1924,49.9,na,na
3496,r004,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,,3,,,,,,,,,,
3496,r005,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,,4,2077,60.0,1327,59.9,750,60.1,69,59.4,na,na
3496,r006,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,,4,48844,47.9,31301,47.9,17543,47.9,5891,44.4,na,na
3496,r007,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,,4,38048,61.3,27598,61.6,10450,60.5,1088,60.2,na,na
3496,r008,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,4,744,53.8,542,53.1,202,55.4,52,50.0,na,na
3496,r009,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,,4,272545,50.8,163836,53.0,108709,47.4,16972,47.1,na,na
3496,r010,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,,4,15613,54.4,9593,56.1,6020,51.7,519,53.2,na,na
3496,r011,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,,3,24166,52.1,16396,55.1,7770,45.9,2937,44.9,na,na
3496,r012,All surveyed fields -> Temporary visa holders,All surveyed fields,Temporary visa holders,,,,,2,233613,37.2,120858,38.7,112755,35.6,36795,35.9,na,na
3496,r013,All surveyed fields -> Science,All surveyed fields,Science,,,,,2,453691,50.0,259795,51.7,193896,47.7,38503,40.1,18819,40.2
3496,r014,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,,,,3,312368,53.4,185378,55.0,126990,51.2,17344,45.5,na,na
3496,r015,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,4,38193,58.0,24330,60.4,13863,53.7,1123,48.7,na,na
3496,r016,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,4,,,,,,,,,,
3496,r017,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,5,1526,59.8,902,59.2,624,60.6,40,55.0,na,na
3496,r018,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,5,31482,49.6,19529,48.4,11953,51.6,3029,43.5,na,na
3496,r019,All surveyed fields -> Science -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,Science,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,5,26450,61.6,18996,61.5,7454,61.8,537,59.8,na,na
