table_id,row_id,state_government_agency_full_path,state_government_agency_level_1,state_government_agency_level_2,state_government_agency_hierarchy_depth,field_total,field_agriculture,field_energy,field_environment_and_natural_resources,field_health,field_transportation,field_other
9912,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,2643991,127264,327116,540876,1100992,290871,256873
9912,r002,United States<sup>a</sup> -> Cancer Prevention and Research Institute (Texas),United States<sup>a</sup>,Cancer Prevention and Research Institute (Texas),2,208262,0,0,0,208262,0,0
9912,r003,"United States<sup>a</sup> -> Mental Health, Office of (New York)",United States<sup>a</sup>,"Mental Health, Office of (New York)",2,170676,0,0,0,170676,0,0
9912,r004,United States<sup>a</sup> -> Energy Commission (California),United States<sup>a</sup>,Energy Commission (California),2,130400,0,130400,0,0,0,0
9912,r005,United States<sup>a</sup> -> Institute for Regenerative Medicine (California),United States<sup>a</sup>,Institute for Regenerative Medicine (California),2,122808,0,0,0,122808,0,0
9912,r006,"United States<sup>a</sup> -> Economic Development, Department of (New York)",United States<sup>a</sup>,"Economic Development, Department of (New York)",2,103874,0,3150,0,8096,0,92628
9912,r007,"United States<sup>a</sup> -> Health, Department of (Florida)",United States<sup>a</sup>,"Health, Department of (Florida)",2,91361,0,0,0,91361,0,0
9912,r008,United States<sup>a</sup> -> Roswell Park Comprehensive Cancer Center (New York),United States<sup>a</sup>,Roswell Park Comprehensive Cancer Center (New York),2,71563,0,0,0,71563,0,0
9912,r009,"United States<sup>a</sup> -> Commerce, Department of (Alabama)",United States<sup>a</sup>,"Commerce, Department of (Alabama)",2,63420,0,0,62000,1420,0,0
9912,r010,"United States<sup>a</sup> -> Public Utilities Commission, Executive Division (California)",United States<sup>a</sup>,"Public Utilities Commission, Executive Division (California)",2,61375,0,61375,0,0,0,0
9912,r011,"United States<sup>a</sup> -> Health, Department of (New York)",United States<sup>a</sup>,"Health, Department of (New York)",2,58241,301,0,1808,56132,0,0
9912,r012,"United States<sup>a</sup> -> Development, Department of (Ohio)",United States<sup>a</sup>,"Development, Department of (Ohio)",2,57980,0,9316,43975,0,0,4689
9912,r013,United States<sup>a</sup> -> Energy Research and Development Authority (New York),United States<sup>a</sup>,Energy Research and Development Authority (New York),2,56621,0,52923,330,0,3367,0
9912,r014,United States<sup>a</sup> -> Fish and Wildlife Conservation Commission (Florida),United States<sup>a</sup>,Fish and Wildlife Conservation Commission (Florida),2,55428,0,0,55428,0,0,0
9912,r015,"United States<sup>a</sup> -> Health, Department of (Pennsylvania)",United States<sup>a</sup>,"Health, Department of (Pennsylvania)",2,46484,0,0,0,46484,0,0
9912,r016,"United States<sup>a</sup> -> Health, Department of (New Jersey)",United States<sup>a</sup>,"Health, Department of (New Jersey)",2,45344,0,0,0,45344,0,0
9912,r017,"United States<sup>a</sup> -> Transportation, Department of (California)",United States<sup>a</sup>,"Transportation, Department of (California)",2,39260,0,0,0,0,39260,0
9912,r018,United States<sup>a</sup> -> Innovation Inc. (Connecticut),United States<sup>a</sup>,Innovation Inc. (Connecticut),2,28919,0,2920,0,13988,0,12011
9912,r019,"United States<sup>a</sup> -> Natural Resources, Department of (South Carolina)",United States<sup>a</sup>,"Natural Resources, Department of (South Carolina)",2,26581,0,0,26581,0,0,0
9912,r020,"United States<sup>a</sup> -> Education, Department of (Tennessee)",United States<sup>a</sup>,"Education, Department of (Tennessee)",2,26245,0,0,0,0,0,26245
9912,r021,"United States<sup>a</sup> -> Transportation, Department of (Texas)",United States<sup>a</sup>,"Transportation, Department of (Texas)",2,24982,0,0,0,0,24982,0
9912,r022,United States<sup>a</sup> -> All other agencies,United States<sup>a</sup>,All other agencies,2,1154166,126962,67033,350753,264858,223262,121300
