table_id,row_id,primary_industry_code_pitchbook_,industry_classification
10581,r001,Accessories,Consumer goods and services
10581,r002,"Accounting, audit and tax services (B2B)",Commercial services
10581,r003,"Accounting, audit and tax services (B2C)",Consumer goods and services
10581,r004,Aerospace and defense,Transportation and defense
10581,r005,Agricultural chemicals,Agriculture and food
10581,r006,Air,Transportation and defense
10581,r007,Alternative energy equipment,Energy
10581,r008,Aluminum mining,Industrial products
10581,r009,Animal husbandry,Agriculture and food
10581,r010,Animal textiles,Agriculture and food
10581,r011,Application software,Software
10581,r012,Application specific semiconductors,IT hardware
10581,r013,Aquaculture,Agriculture and food
10581,r014,Asset management,Commercial services
10581,r015,Automation/workflow software,Software
10581,r016,Automotive,Transportation and defense
10581,r017,Automotive insurance,Financial services
10581,r018,Beverages,Agriculture and food
10581,r019,Biotechnology,Biomedical
10581,r020,BPO/outsource services,Commercial services
10581,r021,"Broadcasting, radio and television",Information
10581,r022,Brokerage,Financial services
10581,r023,Building products,Industrial products
10581,r024,Buildings and property,Commercial services
10581,r025,Business equipment and supplies,Commercial services
10581,r026,Business/productivity software,Software
10581,r027,Cable service providers,Information
10581,r028,Casinos and gaming,Consumer goods and services
10581,r029,Catalog retail,Consumer goods and services
10581,r030,Clinics/outpatient services,Healthcare
10581,r031,Clothing,Consumer goods and services
10581,r032,Coal and consumable fuels equipment,Energy
10581,r033,Coal mining,Energy
10581,r034,Commercial/professional insurance,Financial services
10581,r035,Commodity chemicals,Industrial products
10581,r036,Communication software,Software
10581,r037,"Computers, parts and peripherals",IT hardware
10581,r038,Conglomerates,Other
10581,r039,Connectivity products,IT hardware
10581,r040,Construction and engineering,Commercial services
10581,r041,Consulting services (B2B),Commercial services
10581,r042,Consumer finance,Financial services
10581,r043,Cruise lines,Consumer goods and services
10581,r044,Cultivation,Agriculture and food
10581,r045,Database software,Software
10581,r046,Decision/risk analysis,Software
10581,r047,Department stores,Consumer goods and services
10581,r048,Diagnostic equipment,Biomedical
10581,r049,Discovery tools (healthcare),Biomedical
10581,r050,Distributors (healthcare),Healthcare
10581,r051,Distributors/wholesale,Commercial services
10581,r052,Distributors/wholesale (B2C),Consumer goods and services
10581,r053,Drug delivery,Biomedical
10581,r054,Drug discovery,Biomedical
10581,r055,Education and training services (B2B),Commercial services
10581,r056,Educational and training services (B2C),Consumer goods and services
10581,r057,Educational software,Software
10581,r058,Elder and disabled care,Healthcare
10581,r059,Electric utilities,Energy
10581,r060,Electrical equipment,Industrial products
10581,r061,Electronic components,IT hardware
10581,r062,Electronic equipment and instruments,IT hardware
10581,r063,Electronics (B2C),Consumer goods and services
10581,r064,Energy exploration,Energy
10581,r065,Energy infrastructure,Energy
10581,r066,Energy marketing,Energy
10581,r067,Energy production,Energy
10581,r068,Energy refining,Energy
10581,r069,Energy storage,Energy
10581,r070,Energy traders and brokers,Energy
10581,r071,Energy transportation,Energy
10581,r072,Enterprise systems (healthcare),Software
10581,r073,Entertainment software,Software
10581,r074,Environmental services (B2B),Commercial services
10581,r075,Fiberoptic equipment,IT hardware
10581,r076,Financial software,Software
10581,r077,Food products,Agriculture and food
10581,r078,Footwear,Consumer goods and services
10581,r079,Forestry development/harvesting,Agriculture and food
10581,r080,Forestry processing,Agriculture and food
10581,r081,Gas utilities,Energy
10581,r082,General merchandise stores,Consumer goods and services
10581,r083,General purpose semiconductors,IT hardware
10581,r084,Gold mining,Industrial products
10581,r085,Government,Other
10581,r086,Holding companies,Other
10581,r087,Home furnishings,Consumer goods and services
10581,r088,Horticulture,Agriculture and food
10581,r089,Hospitals/inpatient services,Healthcare
10581,r090,Hotels and resorts,Consumer goods and services
10581,r091,Household appliances,Consumer goods and services
10581,r092,Household products,Consumer goods and services
10581,r093,Human capital services,Commercial services
10581,r094,Industrial chemicals,Industrial products
10581,r095,Industrial supplies and parts,Industrial products
10581,r096,Information services (B2C),Information
10581,r097,Infrastructure,Transportation and defense
10581,r098,Insurance brokers,Financial services
10581,r099,International banks,Financial services
10581,r100,Internet retail,Consumer goods and services
10581,r101,Internet service providers,Information
10581,r102,Internet software,Software
10581,r103,Investment banks,Financial services
10581,r104,Iron and steel mining,Industrial products
10581,r105,IT consulting and outsourcing,Commercial services
10581,r106,Laboratory services (healthcare),Healthcare
10581,r107,Legal services (B2B),Commercial services
10581,r108,Legal services (B2C),Consumer goods and services
10581,r109,Leisure facilities,Consumer goods and services
10581,r110,Life and health insurance,Financial services
10581,r111,Logistics,Commercial services
10581,r112,Luxury goods,Consumer goods and services
10581,r113,Machinery (B2B),Industrial products
10581,r114,Managed care,Healthcare
10581,r115,Marine,Transportation and defense
10581,r116,Media and information services (B2B),Information
10581,r117,Medical records systems,Healthcare
10581,r118,Medical supplies,Healthcare
10581,r119,Metal containers and packaging,Industrial products
10581,r120,Mineral textiles,Industrial products
10581,r121,Monitoring equipment,Healthcare
10581,r122,"Movies, music and entertainment",Information
10581,r123,Multi-line chemicals,Industrial products
10581,r124,Multi-line insurance,Financial services
10581,r125,Multi-line mining,Industrial products
10581,r126,Multimedia and design software,Software
10581,r127,Multi-utilities,Energy
10581,r128,National banks,Financial services
10581,r129,Network management software,Software
10581,r130,Office electronics,IT hardware
10581,r131,Office services (B2B),Commercial services
10581,r132,Oil and gas equipment,Energy
10581,r133,Operating systems software,Software
10581,r134,Other agriculture,Agriculture and food
10581,r135,Other apparel,Consumer goods and services
10581,r136,Other business products and services,Commercial services
10581,r137,Other capital markets/institutions,Financial services
10581,r138,Other chemicals and gases,Industrial products
10581,r139,Other commercial banks,Financial services
10581,r140,Other commercial products,Industrial products
10581,r141,Other commercial services,Commercial services
10581,r142,Other communications and networking,Information
10581,r143,Other consumer durables,Consumer goods and services
10581,r144,Other consumer non-durables,Consumer goods and services
10581,r145,Other consumer products and services,Consumer goods and services
10581,r146,Other containers and packaging,Industrial products
10581,r147,Other devices and supplies,Healthcare
10581,r148,Other energy,Energy
10581,r149,Other energy services,Energy
10581,r150,Other equipment,Industrial products
10581,r151,Other financial services,Financial services
10581,r152,Other forestry,Agriculture and food
10581,r153,Other hardware,IT hardware
10581,r154,Other healthcare,Healthcare
10581,r155,Other healthcare services,Healthcare
10581,r156,Other healthcare technology systems,Healthcare
10581,r157,Other information technology,Commercial services
10581,r158,Other insurance,Financial services
10581,r159,Other IT services,Commercial services
10581,r160,Other materials,Industrial products
10581,r161,Other media,Information
10581,r162,"Other metals, minerals and mining",Industrial products
10581,r163,Other pharmaceuticals and biotechnology,Biomedical
10581,r164,"Other restaurants, hotels and leisure",Consumer goods and services
10581,r165,Other retail,Consumer goods and services
10581,r166,Other semiconductors,IT hardware
10581,r167,Other services (B2C non-financial),Commercial services
10581,r168,Other software,Software
10581,r169,Other textiles,Industrial products
10581,r170,Other transportation,Transportation and defense
10581,r171,Other utilities,Energy
10581,r172,Outcome management (healthcare),Healthcare
10581,r173,Paper containers and packaging,Industrial products
10581,r174,Paper/soft products,Consumer goods and services
10581,r175,Personal products,Consumer goods and services
10581,r176,Pharmaceuticals,Biomedical
10581,r177,Plant textiles,Industrial products
10581,r178,Plastic containers and packaging,Industrial products
10581,r179,Practice management (healthcare),Healthcare
10581,r180,Precious metals and minerals mining,Industrial products
10581,r181,Printing services (B2B),Commercial services
10581,r182,Private equity,Financial services
10581,r183,Production (semiconductors),IT hardware
10581,r184,Property and casualty insurance,Financial services
10581,r185,Publishing,Information
10581,r186,Rail,Transportation and defense
10581,r187,Raw materials (non-wood),Industrial products
10581,r188,Real estate investment trusts (REITs),Financial services
10581,r189,Real estate services (B2C),Consumer goods and services
10581,r190,Recreational goods,Consumer goods and services
10581,r191,Regional banks,Financial services
10581,r192,Re-insurance,Financial services
10581,r193,Restaurants and bars,Consumer goods and services
10581,r194,Road,Transportation and defense
10581,r195,Security services (B2B),Commercial services
10581,r196,Social content,Information
10581,r197,Social/platform software,Software
10581,r198,Software development applications,Software
10581,r199,Special purpose acquisition company (SPAC),Other
10581,r200,Specialized finance,Financial services
10581,r201,Specialty chemicals,Industrial products
10581,r202,Specialty retail,Consumer goods and services
10581,r203,Storage (IT),IT hardware
10581,r204,Surgical devices,Biomedical
10581,r205,Synthetic textiles,Industrial products
10581,r206,Systems and information management,Commercial services
10581,r207,Telecommunications service providers,Information
10581,r208,Therapeutic devices,Healthcare
10581,r209,Thrifts and mortgage finance,Financial services
10581,r210,Vertical market software,Software
10581,r211,Water utilities,Other
10581,r212,Wireless communications equipment,Information
10581,r213,Wireless service providers,Information
10581,r214,Wood containers and packaging,Industrial products
10581,r215,Wood/hard products,Industrial products
