table_id,row_id,time_period,_b_graduate_students_b_level_1,_b_graduate_students_b_level_2,_b_graduate_students_b_level_3,_b_graduate_students_b_hierarchy_depth,value
3490,r001,1977,Graduate students,Total,,2,68757
3490,r002,1977,Graduate students,Male,Number,3,65051
3490,r003,1977,Graduate students,Male,Percent,3,94.6
3490,r004,1977,Graduate students,Female,Number,3,3706
3490,r005,1977,Graduate students,Female,Percent,3,5.4
3490,r006,1977,Postdoctoral appointees,Total,,2,na
3490,r007,1977,Postdoctoral appointees,Male,Number,3,na
3490,r008,1977,Postdoctoral appointees,Male,Percent,3,na
3490,r009,1977,Postdoctoral appointees,Female,Number,3,na
3490,r010,1977,Postdoctoral appointees,Female,Percent,3,na
3490,r011,1977,Doctorate-holding nonfaculty researchers,Total,,2,na
3490,r012,1977,Doctorate-holding nonfaculty researchers,Male,Number,3,na
3490,r013,1977,Doctorate-holding nonfaculty researchers,Male,Percent,3,na
3490,r014,1977,Doctorate-holding nonfaculty researchers,Female,Number,3,na
3490,r015,1977,Doctorate-holding nonfaculty researchers,Female,Percent,3,na
3490,r016,1978,Graduate students,Total,,2,67787
3490,r017,1978,Graduate students,Male,Number,3,NA
3490,r018,1978,Graduate students,Male,Percent,3,NA
3490,r019,1978,Graduate students,Female,Number,3,NA
3490,r020,1978,Graduate students,Female,Percent,3,NA
3490,r021,1978,Postdoctoral appointees,Total,,2,na
3490,r022,1978,Postdoctoral appointees,Male,Number,3,na
3490,r023,1978,Postdoctoral appointees,Male,Percent,3,na
3490,r024,1978,Postdoctoral appointees,Female,Number,3,na
3490,r025,1978,Postdoctoral appointees,Female,Percent,3,na
3490,r026,1978,Doctorate-holding nonfaculty researchers,Total,,2,na
3490,r027,1978,Doctorate-holding nonfaculty researchers,Male,Number,3,na
3490,r028,1978,Doctorate-holding nonfaculty researchers,Male,Percent,3,na
3490,r029,1978,Doctorate-holding nonfaculty researchers,Female,Number,3,na
3490,r030,1978,Doctorate-holding nonfaculty researchers,Female,Percent,3,na
3490,r031,1979,Graduate students,Total,,2,71808
3490,r032,1979,Graduate students,Male,Number,3,65921
3490,r033,1979,Graduate students,Male,Percent,3,91.8
