table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_research_and_development_any_r_d_number,field_research_and_development_any_r_d_se,field_research_and_development_basic_research_number,field_research_and_development_basic_research_se,field_research_and_development_applied_research_number,field_research_and_development_applied_research_se,field_research_and_development_experimental_development_number,field_research_and_development_experimental_development_se,field_computer_applications_number,field_computer_applications_se,field_design_number,field_design_se,field_management_sales_or_administrationa_number,field_management_sales_or_administrationa_se,field_professional_services_number,field_professional_services_se,field_teaching_number,field_teaching_se,field_otherb_number,field_otherb_se
9261,r001,All fields,All fields,,,,,1,872100,2425,333250,2225,92050,1500,174150,2025,67050,1250,44800,1150,24850,900,171700,2175,98900,1575,159750,1825,38850,1150
9261,r002,All fields -> Science,All fields,Science,,,,2,647300,2000,235500,2025,80150,1425,122500,1650,32850,875,28700,975,10050,600,126000,1825,86800,1450,130750,1725,29500,975
9261,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,,3,226850,1275,101250,1575,38900,1000,50300,1325,12100,550,4600,350,2300,300,48300,1150,25400,875,33400,925,11600,575
9261,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,,4,16600,350,7700,350,1250,150,5100,325,1350,150,250,75,150,50,4100,275,750,125,2850,250,800,100
9261,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Agricultural sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Agricultural sciences,5,900,75,400,75,0.05,0.05,300,75,50,25,50,25,,,200,50,50,25,150,50,50,25
9261,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Animal sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Animal sciences,5,4650,200,1750,150,300,75,1050,125,400,100,50,50,,,1250,150,200,75,1050,200,250,75
9261,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Food sciences and technology",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Food sciences and technology,5,3300,200,1650,150,200,75,1000,150,450,100,,,S,S,850,125,150,75,450,150,150,50
9261,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Plant sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Plant sciences,5,5800,250,2900,225,500,100,2000,225,400,100,100,50,S,S,1450,200,250,75,850,175,200,50
9261,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences -> Soil sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,Soil sciences,5,2000,150,1000,150,250,100,700,125,50,25,50,25,50,25,350,75,50,25,300,75,150,50
9261,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,,4,29550,600,14500,625,6450,450,5850,475,2150,275,900,175,400,125,6450,425,2500,325,3350,300,1500,250
9261,r011,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biochemistry",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biochemistry,5,24350,550,11750,600,5250,425,4750,425,1800,275,600,175,150,75,5350,375,2150,325,3000,300,1350,250
9261,r012,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics -> Biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,Biophysics,5,5200,200,2750,200,1250,150,1100,175,400,100,300,75,200,125,1050,150,350,75,350,75,150,50
9261,r013,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",,4,32300,450,14350,525,6800,450,5700,475,1850,225,400,125,200,75,6600,525,4900,400,4300,425,1500,250
9261,r014,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,,4,24750,425,11400,475,4100,350,5550,400,1750,275,50,50,50,50,5800,425,3400,300,2550,250,1500,225
9261,r015,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Immunology,5,9150,225,4500,325,1550,225,2200,225,750,200,,,,,1950,250,1450,200,650,150,550,125
9261,r016,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology -> Microbiological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,Microbiological sciences,5,15650,350,6900,400,2550,300,3350,350,950,175,50,50,50,25,3800,300,1950,250,1900,225,950,200
9261,r017,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,,4,9000,225,3100,150,350,75,2500,125,300,50,300,75,200,75,2200,150,500,100,2000,175,700,125
9261,r018,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Fish, fisheries, wildlife, and wildlands science and management",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Fish, fisheries, wildlife, and wildlands science and management",5,2000,125,900,100,150,75,700,75,50,25,50,25,,,550,75,100,50,350,50,100,25
9261,r019,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Forestry",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,Forestry,5,2550,150,950,100,50,25,750,100,100,25,150,50,50,25,600,100,200,75,500,75,150,50
9261,r020,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation -> Natural resource conservation, research, management, and policy",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,"Natural resource conservation, research, management, and policy",5,4400,175,1300,125,150,50,1050,100,150,50,100,50,100,75,1050,125,200,75,1150,150,400,125
9261,r021,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,,4,6850,250,2450,225,800,150,1500,175,200,75,150,50,,,1700,200,500,125,1650,175,350,75
9261,r022,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,,4,107800,850,47750,950,19150,650,24050,775,4550,325,2550,275,1250,250,21450,625,12850,575,16650,575,5300,375
9261,r023,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Biomathematics, bioinformatics, and computational biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Biomathematics, bioinformatics, and computational biology",5,6200,150,3800,200,550,75,2700,175,550,150,750,75,100,50,750,100,200,50,400,75,150,50
9261,r024,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Botany and plant biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Botany and plant biology,5,6150,250,2250,200,850,125,1150,150,200,75,100,50,,,1350,150,400,100,1350,150,600,150
9261,r025,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Epidemiology, ecology, and population biology",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,"Epidemiology, ecology, and population biology",5,16950,350,7900,400,1950,225,5700,400,200,75,250,75,250,125,2700,250,850,200,4000,275,1000,200
9261,r026,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Genetics",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Genetics,5,8750,225,4200,225,2050,200,1700,175,450,100,200,75,S,S,2150,200,850,175,1000,125,300,75
9261,r027,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Neurobiology and neuroscience",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Neurobiology and neuroscience,5,18850,300,8600,450,5000,375,3150,300,450,100,700,175,250,100,3550,350,3100,325,1900,225,800,150
9261,r028,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences -> Nutrition sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,Nutrition sciences,5,4100,150,1450,150,350,75,950,125,150,50,50,25,,,900,125,500,100,1000,125,150,50
