table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8334,r001,Institutions,Institutions,,,,1,139,19.9,118,16.9
8334,r002,Schools,Schools,,,,1,140,17.8,118,15.0
8334,r003,Units,Units,,,,1,256,1.2,235,1.1
8334,r004,All individuals,All individuals,,,,1,1797,100.0,2308,100.0
8334,r005,All individuals -> Male,All individuals,Male,,,2,1050,58.4,1570,68.0
8334,r006,All individuals -> Female,All individuals,Female,,,2,747,41.6,738,32.0
8334,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,960,53.4,na,na
8334,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,61,3.4,na,na
8334,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
8334,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,4,0.2,na,na
8334,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,122,6.8,na,na
8334,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,17,0.9,na,na
8334,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,1,0.1,na,na
8334,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,604,33.6,na,na
8334,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,45,2.5,na,na
8334,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,106,5.9,na,na
8334,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,837,46.6,na,na
8334,r018,Primary source of support,Primary source of support,,,,1,,,,
8334,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,906,50.4,na,na
8334,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,676,37.6,na,na
8334,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,64,3.6,na,na
8334,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,151,8.4,na,na
8334,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
8334,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,211,11.7,na,na
8334,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,1213,67.5,na,na
8334,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,20,1.1,na,na
8334,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,353,19.6,na,na
8334,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
8334,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,1496,83.2,1756,76.1
8334,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,12,0.7,46,2.0
8334,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,6,0.3,2,0.1
8334,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,283,15.7,504,21.8
8334,r033,Degree origin,Degree origin,,,,1,,,,
8334,r034,Degree origin -> United States,Degree origin,United States,,,2,855,47.6,na,na
8334,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,368,20.5,na,na
8334,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,574,31.9,na,na
