table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_all_companies_companies_number_,field_all_companies_amount,field_1_4_employees_companies_number_,field_1_4_employees_amount,field_5_9_employees_companies_number_,field_5_9_employees_amount
7400,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['14,878', '&nbsp;']","['5,218,911', '&nbsp;']","['9,384', '&nbsp;']","['2,350,322', '&nbsp;']","['5,495', '&nbsp;']","['2,868,589', '&nbsp;']"
7400,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7400,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['11,300', '&nbsp;']","['3,868,043', '&nbsp;']","['6,969', '&nbsp;']","['1,716,776', '&nbsp;']","['4,330', '&nbsp;']","['2,151,267', '&nbsp;']"
7400,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['2,964', '&nbsp;']","['940,127', '&nbsp;']","['2,123', '&nbsp;']","['483,687', '&nbsp;']","['842', '&nbsp;']","['456,440', '&nbsp;']"
7400,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['127', '&nbsp;']","['30,314', '&nbsp;']","['60', '&nbsp;']","['15,880', '&nbsp;']","['68', '&nbsp;']","['14,434', '&nbsp;']"
7400,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['56', 'r']","['10,908', 'r']","['53', 'r']","['10,666', 'r']","['2', 'r']","['241', 'r']"
7400,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['6', '&nbsp;']","['525', '&nbsp;']","['6', '&nbsp;']","['525', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
7400,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7400,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['320', '&nbsp;']","['103,734', '&nbsp;']","['212', '&nbsp;']","['37,063', '&nbsp;']","['107', '&nbsp;']","['66,671', '&nbsp;']"
7400,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['75', '&nbsp;']","['18,652', '&nbsp;']","['61', '&nbsp;']","['13,057', '&nbsp;']","['14', 'r']","['5,595', 'r']"
7400,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['14,188', '&nbsp;']","['4,794,027', '&nbsp;']","['8,998', '&nbsp;']","['2,227,312', '&nbsp;']","['5,191', '&nbsp;']","['2,566,715', '&nbsp;']"
7400,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7400,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['3,471', '&nbsp;']","['1,086,776', '&nbsp;']","['2,410', '&nbsp;']","['545,453', '&nbsp;']","['1,061', '&nbsp;']","['541,324', '&nbsp;']"
7400,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['493', '&nbsp;']","['144,402', '&nbsp;']","['320', '&nbsp;']","['63,298', '&nbsp;']","['174', '&nbsp;']","['81,105', '&nbsp;']"
7400,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['376', '&nbsp;']","['128,580', '&nbsp;']","['269', '&nbsp;']","['94,303', '&nbsp;']","['106', '&nbsp;']","['34,277', '&nbsp;']"
7400,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['10,739', '&nbsp;']","['3,701,057', '&nbsp;']","['6,594', '&nbsp;']","['1,637,676', '&nbsp;']","['4,146', '&nbsp;']","['2,063,381', '&nbsp;']"
7400,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['296', '&nbsp;']","['302,497', '&nbsp;']","['112', '&nbsp;']","['72,890', '&nbsp;']","['185', '&nbsp;']","['229,608', '&nbsp;']"
