table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_product_or_business_process_innovation_number_yes,field_product_or_business_process_innovation_number_no,field_product_or_business_process_innovation_percent_yes,field_product_or_business_process_innovation_percent_no
7417,r001,All companies,All companies,,,1,"['4,857,473', '&nbsp;']","['1,230,217', '&nbsp;']","['3,627,256', '&nbsp;']","['25.3', '&nbsp;']","['74.7', '&nbsp;']"
7417,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7417,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,701,088', '&nbsp;']","['598,206', '&nbsp;']","['2,102,882', '&nbsp;']","['22.1', '&nbsp;']","['77.9', '&nbsp;']"
7417,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,725', '&nbsp;']","['259,822', '&nbsp;']","['686,903', '&nbsp;']","['27.4', '&nbsp;']","['72.6', '&nbsp;']"
7417,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7417,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['590,193', '&nbsp;']","['177,846', '&nbsp;']","['412,347', '&nbsp;']","['30.1', '&nbsp;']","['69.9', '&nbsp;']"
7417,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['401,365', '&nbsp;']","['123,549', '&nbsp;']","['277,816', '&nbsp;']","['30.8', '&nbsp;']","['69.2', '&nbsp;']"
7417,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7417,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['118,677', '&nbsp;']","['38,021', '&nbsp;']","['80,656', '&nbsp;']","['32.0', '&nbsp;']","['68.0', '&nbsp;']"
7417,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,454', '&nbsp;']","['20,339', '&nbsp;']","['44,115', '&nbsp;']","['31.6', '&nbsp;']","['68.4', '&nbsp;']"
7417,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7417,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['19,208', '&nbsp;']","['6,741', '&nbsp;']","['12,467', '&nbsp;']","['35.1', '&nbsp;']","['64.9', '&nbsp;']"
7417,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['8,130', '&nbsp;']","['2,645', '&nbsp;']","['5,485', '&nbsp;']","['32.5', '&nbsp;']","['67.5', '&nbsp;']"
7417,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,023', '&nbsp;']","['2,278', '&nbsp;']","['3,745', '&nbsp;']","['37.8', '&nbsp;']","['62.2', '&nbsp;']"
7417,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['775', '&nbsp;']","['349', '&nbsp;']","['426', '&nbsp;']","['45.0', '&nbsp;']","['55.0', '&nbsp;']"
7417,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['496', '&nbsp;']","['253', '&nbsp;']","['243', '&nbsp;']","['51.0', '&nbsp;']","['49.0', '&nbsp;']"
7417,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['335', '&nbsp;']","['167', '&nbsp;']","['168', '&nbsp;']","['49.9', '&nbsp;']","['50.1', '&nbsp;']"
