table_id,row_id,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_race_and_ethnicity_white,field_race_and_ethnicity_asian,field_race_and_ethnicity_black_or_african_american,field_race_and_ethnicity_hispanic_or_latinoa,field_race_and_ethnicity_american_indian_or_alaska_native,field_race_and_ethnicity_native_hawaiian_or_other_pacific_islander,field_race_and_ethnicity_multiple_race,field_disability_status_without_disability,field_disability_status_with_disability
3323,r001,SEH doctorate holders employed full time as ranked professors (number),SEH doctorate holders employed full time as ranked professors (number),,,,,1,245900,87700,158200,176050,45400,9600,11450,450,200,2750,223550,22350
3323,r002,SEH doctorate holders employed full time as ranked professors (number) -> With federal support (number)<br>,SEH doctorate holders employed full time as ranked professors (number),With federal support (number)<br>,,,,2,98850,32400,66450,70250,20750,2450,4100,150,100,1000,90400,8450
3323,r003,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent),SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),,,,2,40.2,36.9,42.0,39.9,45.7,25.5,35.7,35.7,49.1,36.9,40.4,37.7
3323,r004,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup>,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,,,3,42.2,39.0,43.7,41.7,48.4,25.6,38.0,36.3,58.3,37.0,42.5,39.2
3323,r005,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Science occupations,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Science occupations,,4,40.0,37.8,41.3,39.9,45.8,23.8,35.8,S,65.2,33.1,40.4,36.9
3323,r006,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Science occupations -> Biological/ agricultural/ other life scientist,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Science occupations,Biological/ agricultural/ other life scientist,5,60.0,57.1,61.7,58.6,70.1,44.6,53.4,,,54.5,59.8,62.1
3323,r007,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Science occupations -> Computer/ information scientist,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Science occupations,Computer/ information scientist,5,40.8,49.1,38.9,40.8,41.5,32.7,45.2,,,S,42.3,25.7
3323,r008,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,31.7,36.2,30.2,31.5,32.1,33.1,29.7,,,47.3,32.2,26.0
3323,r009,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Science occupations,Physical scientist,5,49.8,46.9,50.8,49.0,56.9,37.2,49.9,,,33.1,50.3,44.4
3323,r010,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Science occupations,Psychologist,5,31.5,29.3,34.3,32.8,29.4,16.7,28.6,,,27.1,31.1,35.2
3323,r011,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Science occupations,Social scientist,5,17.2,19.1,15.9,18.6,11.9,9.4,17.4,,,12.1,17.6,13.7
3323,r012,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E occupations<sup>b</sup> -> Engineering occupations,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E occupations<sup>b</sup>,Engineering occupations,,4,54.5,54.8,54.5,55.0,55.0,38.3,52.4,S,,72.7,54.9,51.4
3323,r013,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> S&E-related occupations<sup>c</sup>,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),S&E-related occupations<sup>c</sup>,,,3,42.1,37.5,47.0,42.7,42.5,30.9,40.6,59.1,,43.1,42.2,41.3
3323,r014,SEH doctorate holders employed full time as ranked professors (number) -> All occupations (percent) -> Non-S&E occupations<sup>d</sup>,SEH doctorate holders employed full time as ranked professors (number),All occupations (percent),Non-S&E occupations<sup>d</sup>,,,3,24.4,24.4,24.4,25.4,23.7,20.5,15.2,,,31.6,24.6,22.6
