table_id,row_id,time_period,isic_rev_4_level_1,isic_rev_4_level_2,isic_rev_4_hierarchy_depth,value
6313,r002_1,Total business enterprise,"ISIC, Rev.4",Section,2,A - U
6313,r002_2,Total business enterprise,"ISIC, Rev.4",Division,2,1 - 99
6313,r002_3,Total business enterprise,United States (2018),,1,441036
6313,r002_4,Total business enterprise,France (2017),,1,42895
6313,r002_5,Total business enterprise,Germany (2018),,1,97872
6313,r002_6,Total business enterprise,United Kingdom (2018),,1,36644
6313,r002_7,Total business enterprise,China (2018),,1,360369
6313,r002_8,Total business enterprise,Japan (2018),,1,137230
6313,r002_9,Total business enterprise,South Korea (2018),,1,79511
6313,r003_1,Manufacturing,"ISIC, Rev.4",Section,2,C
6313,r003_2,Manufacturing,"ISIC, Rev.4",Division,2,10 - 33
6313,r003_3,Manufacturing,United States (2018),,1,274075
6313,r003_4,Manufacturing,France (2017),,1,20869
6313,r003_5,Manufacturing,Germany (2018),,1,83583
6313,r003_6,Manufacturing,United Kingdom (2018),,1,14293
6313,r003_7,Manufacturing,China (2018),,1,326664
6313,r003_8,Manufacturing,Japan (2018),,1,118750
6313,r003_9,Manufacturing,South Korea (2018),,1,70643
6313,r004_2,Chemicals and chemical products,"ISIC, Rev.4",Division,2,20
6313,r004_3,Chemicals and chemical products,United States (2018),,1,9545
6313,r004_4,Chemicals and chemical products,France (2017),,1,1315
6313,r004_5,Chemicals and chemical products,Germany (2018),,1,5692
6313,r004_6,Chemicals and chemical products,United Kingdom (2018),,1,563
6313,r004_7,Chemicals and chemical products,China (2018),,1,23941
6313,r004_8,Chemicals and chemical products,Japan (2018),,1,8070
6313,r004_9,Chemicals and chemical products,South Korea (2018),,1,4109
6313,r005_2,"Pharmaceuticals, medicinal chemical and botanical products","ISIC, Rev.4",Division,2,21
6313,r005_3,"Pharmaceuticals, medicinal chemical and botanical products",United States (2018),,1,74592
6313,r005_4,"Pharmaceuticals, medicinal chemical and botanical products",France (2017),,1,1079
6313,r005_5,"Pharmaceuticals, medicinal chemical and botanical products",Germany (2018),,1,7094
6313,r005_6,"Pharmaceuticals, medicinal chemical and botanical products",United Kingdom (2018),,1,658
6313,r005_7,"Pharmaceuticals, medicinal chemical and botanical products",China (2018),,1,13741
6313,r005_8,"Pharmaceuticals, medicinal chemical and botanical products",Japan (2018),,1,13545
6313,r005_9,"Pharmaceuticals, medicinal chemical and botanical products",South Korea (2018),,1,1825
6313,r006_2,"Computer, electronic, and optical products","ISIC, Rev.4",Division,2,26
6313,r006_3,"Computer, electronic, and optical products",United States (2018),,1,83697
6313,r006_4,"Computer, electronic, and optical products",France (2017),,1,4886
6313,r006_5,"Computer, electronic, and optical products",Germany (2018),,1,11240
6313,r006_6,"Computer, electronic, and optical products",United Kingdom (2018),,1,1692
6313,r006_7,"Computer, electronic, and optical products",China (2018),,1,59214
6313,r006_8,"Computer, electronic, and optical products",Japan (2018),,1,26708
6313,r006_9,"Computer, electronic, and optical products",South Korea (2018),,1,41075
6313,r007_2,"Motor vehicles, trailers, and semi-trailers","ISIC, Rev.4",Division,2,29
6313,r007_3,"Motor vehicles, trailers, and semi-trailers",United States (2018),,1,25586
6313,r007_4,"Motor vehicles, trailers, and semi-trailers",France (2017),,1,3124
6313,r007_5,"Motor vehicles, trailers, and semi-trailers",Germany (2018),,1,36753
6313,r007_6,"Motor vehicles, trailers, and semi-trailers",United Kingdom (2018),,1,4475
6313,r007_7,"Motor vehicles, trailers, and semi-trailers",China (2018),,1,31040
6313,r007_8,"Motor vehicles, trailers, and semi-trailers",Japan (2018),,1,35775
6313,r007_9,"Motor vehicles, trailers, and semi-trailers",South Korea (2018),,1,9748
6313,r008_2,Other transport equipment,"ISIC, Rev.4",Division,2,30
6313,r008_3,Other transport equipment,United States (2018),,1,27044
6313,r008_4,Other transport equipment,France (2017),,1,3780
6313,r008_5,Other transport equipment,Germany (2018),,1,2753
6313,r008_6,Other transport equipment,United Kingdom (2018),,1,2543
6313,r008_7,Other transport equipment,China (2018),,1,9482
6313,r008_8,Other transport equipment,Japan (2018),,1,1219
6313,r008_9,Other transport equipment,South Korea (2018),,1,911
6313,r009_2,Air and spacecraft and related machinery,"ISIC, Rev.4",Division,2,303
6313,r009_3,Air and spacecraft and related machinery,United States (2018),,1,24291
6313,r009_4,Air and spacecraft and related machinery,France (2017),,1,3412
6313,r009_5,Air and spacecraft and related machinery,Germany (2018),,1,2317
6313,r009_6,Air and spacecraft and related machinery,United Kingdom (2018),,1,2301
6313,r009_7,Air and spacecraft and related machinery,China (2018),,1,NA
6313,r009_8,Air and spacecraft and related machinery,Japan (2018),,1,792
6313,r009_9,Air and spacecraft and related machinery,South Korea (2018),,1,414
6313,r010_1,Total services,"ISIC, Rev.4",Section,2,G - U
6313,r010_2,Total services,"ISIC, Rev.4",Division,2,45 - 99
6313,r010_3,Total services,United States (2018),,1,164122
6313,r010_4,Total services,France (2017),,1,20823
6313,r010_5,Total services,Germany (2018),,1,13700
6313,r010_6,Total services,United Kingdom (2018),,1,21571
6313,r010_7,Total services,China (2018),,1,NA
6313,r010_8,Total services,Japan (2018),,1,16448
6313,r010_9,Total services,South Korea (2018),,1,7202
6313,r011_1,Information and communication,"ISIC, Rev.4",Section,2,J
6313,r011_2,Information and communication,"ISIC, Rev.4",Division,2,58 - 63
6313,r011_3,Information and communication,United States (2018),,1,110272
6313,r011_4,Information and communication,France (2017),,1,5881
6313,r011_5,Information and communication,Germany (2018),,1,4891
6313,r011_6,Information and communication,United Kingdom (2018),,1,5684
6313,r011_7,Information and communication,China (2018),,1,NA
6313,r011_8,Information and communication,Japan (2018),,1,5795
6313,r011_9,Information and communication,South Korea (2018),,1,3552
6313,r012_2,Publishing activities,"ISIC, Rev.4",Division,2,58
6313,r012_3,Publishing activities,United States (2018),,1,32770
6313,r012_4,Publishing activities,France (2017),,1,1522
6313,r012_5,Publishing activities,Germany (2018),,1,NA
6313,r012_6,Publishing activities,United Kingdom (2018),,1,195
6313,r012_7,Publishing activities,China (2018),,1,NA
6313,r012_8,Publishing activities,Japan (2018),,1,15
6313,r012_9,Publishing activities,South Korea (2018),,1,2348
6313,r013_2,Software publishing,"ISIC, Rev.4",Division,2,582
6313,r013_3,Software publishing,United States (2018),,1,32639
6313,r013_4,Software publishing,France (2017),,1,1499
6313,r013_5,Software publishing,Germany (2018),,1,NA
6313,r013_6,Software publishing,United Kingdom (2018),,1,82
6313,r013_7,Software publishing,China (2018),,1,NA
6313,r013_8,Software publishing,Japan (2018),,1,NA
6313,r013_9,Software publishing,South Korea (2018),,1,2286
6313,r014_2,"Computer programming, consultancy, and related activities","ISIC, Rev.4",Division,2,62
6313,r014_3,"Computer programming, consultancy, and related activities",United States (2018),,1,15923
6313,r014_4,"Computer programming, consultancy, and related activities",France (2017),,1,2829
6313,r014_5,"Computer programming, consultancy, and related activities",Germany (2018),,1,4510
6313,r014_6,"Computer programming, consultancy, and related activities",United Kingdom (2018),,1,3206
6313,r014_7,"Computer programming, consultancy, and related activities",China (2018),,1,NA
6313,r014_8,"Computer programming, consultancy, and related activities",Japan (2018),,1,2855
6313,r014_9,"Computer programming, consultancy, and related activities",South Korea (2018),,1,476
6313,r015_1,"Professional, scientific, and technical activities","ISIC, Rev.4",Section,2,M
6313,r015_2,"Professional, scientific, and technical activities","ISIC, Rev.4",Division,2,69 - 75
6313,r015_3,"Professional, scientific, and technical activities",United States (2018),,1,28937
6313,r015_4,"Professional, scientific, and technical activities",France (2017),,1,11087
6313,r015_5,"Professional, scientific, and technical activities",Germany (2018),,1,7568
6313,r015_6,"Professional, scientific, and technical activities",United Kingdom (2018),,1,11832
6313,r015_7,"Professional, scientific, and technical activities",China (2018),,1,NA
6313,r015_8,"Professional, scientific, and technical activities",Japan (2018),,1,9069
