table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5460,r001,All institutions,All institutions,,1,-,"['58,387,551', '']","['61,988,017', '']","['62,198,981', '']","['63,354,376', '']","['63,766,242', '']","['64,935,600', '']","['67,634,588', '']","['70,846,712', '']","['74,384,893', '']","['78,669,198', '']","['81,260,563', '']"
5460,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,997,252', '']","['2,135,547', '']","['2,092,999', 'i']","['2,149,770', 'i']","['2,227,536', 'i']","['2,299,057', 'i']","['2,425,199', 'i']","['2,556,641', 'i']","['2,656,152', 'i']","['2,913,280', 'i']","['3,104,669', 'i']"
5460,r003,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,2,"['935,509', '']","['995,226', '']","['1,032,673', '']","['1,042,841', '']","['1,084,031', '']","['1,126,620', '']","['1,294,261', '']","['1,409,398', '']","['1,595,732', '']","['1,595,098', '']","['1,651,073', '']"
5460,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['1,128,686', '']","['1,212,990', '']","['1,247,680', '']","['1,304,074', '']","['1,279,603', '']","['1,300,340', '']","['1,357,228', '']","['1,434,535', '']","['1,493,353', '']","['1,571,320', '']","['1,572,931', '']"
5460,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['793,523', '']","['851,522', '']","['813,210', '']","['790,265', '']","['792,314', '']","['828,649', '']","['1,140,833', '']","['1,247,686', '']","['1,304,291', '']","['1,368,837', '']","['1,432,968', '']"
5460,r006,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,5,"['937,982', '']","['1,003,584', '']","['1,065,306', '']","['1,066,979', '']","['1,060,207', '']","['1,093,784', '']","['1,079,429', '']","['1,126,269', '']","['1,256,171', '']","['1,344,185', '']","['1,395,348', '']"
5460,r007,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,6,"['995,036', '']","['1,112,526', '']","['1,065,414', '']","['1,111,508', '']","['1,091,135', '']","['1,101,078', '']","['1,197,773', '']","['1,270,642', '']","['1,342,509', '']","['1,347,667', '']","['1,371,333', '']"
5460,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['899,677', '']","['942,450', '']","['969,682', '']","['934,135', '']","['920,183', '']","['992,009', '']","['1,002,013', '']","['1,037,780', '']","['1,242,619', '']","['1,249,535', '']","['1,338,707', '']"
5460,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['940,286', '']","['1,022,723', '']","['1,030,605', '']","['997,523', '']","['984,830', '']","['938,366', '']","['1,051,311', '']","['1,105,261', '']","['1,113,968', '']","['1,209,224', '']","['1,272,053', '']"
5460,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,"['980,514', '']","['1,018,241', '']","['1,004,759', '']","['987,393', '']","['1,031,404', '']","['1,029,193', '']","['1,044,046', '']","['1,113,921', '']","['1,153,947', '']","['1,212,928', '']","['1,180,209', '']"
5460,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,"['810,300', '']","['868,393', '']","['854,580', '']","['900,547', '']","['912,244', '']","['969,643', '']","['1,012,351', '']","['1,055,418', '']","['1,106,314', '']","['1,158,689', '']","['1,159,809', '']"
5460,r012,All institutions -> Cornell U.,All institutions,Cornell U.,2,11,"['747,199', '']","['779,809', '']","['799,794', '']","['841,224', '']","['874,727', '']","['946,419', '']","['956,184', '']","['963,166', '']","['1,033,740', '']","['1,103,810', '']","['1,147,119', '']"
5460,r013,All institutions -> Harvard U.,All institutions,Harvard U.,2,12,"['561,703', '']","['623,116', '']","['753,973', '']","['910,569', '']","['875,964', '']","['955,246', '']","['1,011,950', '']","['1,032,590', '']","['1,066,612', '']","['1,129,158', '']","['1,116,344', '']"
5460,r014,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,13,"['746,828', '']","['846,499', '']","['864,748', '']","['942,467', '']","['955,601', '']","['939,252', '']","['1,013,128', '']","['1,061,535', '']","['1,094,063', '']","['1,113,654', '']","['1,115,776', '']"
5460,r015,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,14,"['806,014', '']","['880,425', '']","['839,793', '']","['846,556', '']","['835,838', '']","['852,333', '']","['880,508', '']","['930,198', '']","['995,762', '']","['1,068,746', '']","['1,092,847', '']"
5460,r016,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,15,"['666,516', '']","['682,553', '']","['669,968', '']","['796,101', '']","['826,152', '']","['836,250', '']","['859,952', '']","['869,100', '']","['882,191', '']","['911,375', '']","['1,089,944', '']"
5460,r017,All institutions -> Yale U.,All institutions,Yale U.,2,16,"['621,125', '']","['654,259', '']","['654,824', '']","['787,609', '']","['764,002', '']","['792,953', '']","['865,970', '']","['930,569', '']","['972,856', '']","['1,056,640', '']","['1,079,696', '']"
5460,r018,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,17,"['599,529', '']","['663,279', '']","['685,814', '']","['718,096', '']","['794,980', '']","['833,406', '']","['852,095', '']","['888,029', '']","['929,710', '']","['969,496', '']","['1,051,297', '']"
5460,r019,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,18,"['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['na', '']","['1,047,276', '']","['1,047,911', '']"
5460,r020,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,19,"['611,226', '']","['650,588', '']","['683,894', '']","['726,377', '']","['720,248', '']","['757,116', '']","['780,118', '']","['785,603', '']","['859,009', '']","['931,076', '']","['1,017,808', '']"
5460,r021,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,20,"['764,916', '']","['824,489', '']","['806,832', '']","['834,181', '']","['850,880', '']","['844,016', '']","['872,514', '']","['881,286', '']","['915,798', '']","['970,212', '']","['999,314', '']"
5460,r022,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,21,"['770,888', '']","['841,173', '']","['847,809', '']","['845,847', '']","['844,766', '']","['826,010', '']","['793,710', '']","['848,733', '']","['908,771', '']","['965,696', '']","['981,906', '']"
5460,r023,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,22,"['762,041', '']","['776,945', '']","['783,894', '']","['825,011', '']","['785,705', '']","['774,384', '']","['809,985', '']","['826,683', '']","['885,661', '']","['924,031', '']","['970,457', '']"
5460,r024,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,23,"['646,222', '']","['693,714', '']","['770,367', '']","['833,884', '']","['815,008', '']","['858,917', '']","['880,111', '']","['878,964', '']","['893,508', '']","['940,079', '']","['926,053', '']"
5460,r025,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,24,"['719,574', '']","['794,023', '']","['720,082', '']","['743,321', '']","['752,836', '']","['745,238', '']","['751,293', '']","['804,699', '']","['818,428', '']","['876,402', '']","['914,199', '']"
5460,r026,All institutions -> U. Southern California,All institutions,U. Southern California,2,25,"['574,366', '']","['579,717', '']","['593,003', '']","['610,382', '']","['650,506', '']","['650,457', '']","['662,029', '']","['725,528', '']","['854,673', '']","['869,142', '']","['899,507', '']"
5460,r027,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,26,"['693,749', '']","['707,404', '']","['689,035', '']","['665,484', '']","['646,756', '']","['680,150', '']","['726,622', '']","['740,005', '']","['797,267', '']","['866,478', '']","['894,681', '']"
5460,r028,All institutions -> U. Florida,All institutions,U. Florida,2,27,"['636,607', '']","['686,048', '']","['649,988', '']","['642,502', '']","['652,341', '']","['699,750', '']","['741,945', '']","['766,469', '']","['831,362', '']","['880,771', '']","['889,677', '']"
5460,r029,All institutions -> New York U.,All institutions,New York U.,2,28,"['343,762', '']","['402,327', '']","['425,043', '']","['435,095', '']","['490,614', '']","['505,071', '']","['751,393', '']","['822,329', '']","['801,961', '']","['845,249', '']","['858,190', '']"
5460,r030,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,29,"['554,228', '']","['595,202', '']","['602,451', '']","['612,009', '']","['621,504', '']","['627,320', '']","['684,767', '']","['724,060', '']","['776,458', '']","['827,607', '']","['847,679', '']"
5460,r031,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,30,"['669,282', '']","['698,193', '']","['704,999', '']","['715,870', '']","['699,689', '']","['706,087', '']","['726,070', '']","['726,469', '']","['774,775', '']","['791,184', '']","['804,674', '']"
5460,r032,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,31,"['659,572', '']","['670,926', '']","['696,904', '']","['690,299', '']","['708,485', '']","['748,139', '']","['734,486', '']","['724,817', '']","['747,690', '']","['751,584', '']","['796,303', '']"
5460,r033,All institutions -> Emory U.,All institutions,Emory U.,2,32,"['498,309', '']","['479,678', 'i']","['474,537', '']","['493,734', '']","['551,556', 'i']","['574,472', '']","['597,971', '']","['646,146', '']","['693,172', '']","['773,843', '']","['780,693', '']"
5460,r034,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,33,"['478,345', '']","['534,806', '']","['533,878', '']","['548,086', '']","['659,418', '']","['619,866', '']","['612,351', '']","['681,286', '']","['702,128', '']","['730,378', '']","['774,717', '']"
5460,r035,All institutions -> Icahn School of Medicine at Mount Sinai,All institutions,Icahn School of Medicine at Mount Sinai,2,34,"['370,666', '']","['405,527', '']","['400,680', '']","['428,654', '']","['463,429', '']","['508,353', '']","['540,296', '']","['575,448', '']","['640,141', '']","['722,241', '']","['747,014', '']"
5460,r036,All institutions -> U. Arizona,All institutions,U. Arizona,2,35,"['577,958', '']","['597,988', '']","['615,434', '']","['616,487', '']","['575,864', '']","['592,874', '']","['592,412', '']","['609,965', '']","['672,038', '']","['715,290', '']","['743,233', '']"
5460,r037,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,36,"['531,412', '']","['558,377', '']","['549,312', '']","['572,959', '']","['526,173', '']","['551,654', '']","['565,708', '']","['598,597', '']","['617,567', '']","['619,929', '']","['726,915', '']"
