table_id,row_id,funding_category_and_agency_full_path,funding_category_and_agency_level_1,funding_category_and_agency_level_2,funding_category_and_agency_level_3,funding_category_and_agency_level_4,funding_category_and_agency_hierarchy_depth,field_budget_activity,field_2019_actual,field_2020_preliminary,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3356,r001,RDT&E total budget authority,RDT&E total budget authority,,,,1,--,95489,104718,106437,9.7,1.6
3356,r002,R&D budget authority within RDT&E accounts<sup>a</sup>,R&D budget authority within RDT&E accounts<sup>a</sup>,,,,1,--,61292,67264,66052,9.7,-1.8
3356,r003,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup>,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,,,2,--,96206,105396,106555,9.6,1.1
3356,r004,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,,3,1,2476,2603,2319,5.2,-10.9
3356,r005,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Defense agencies,4,,777,828,760,6.6,-8.2
3356,r006,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Department of the Air Force,4,,545,550,492,0.8,-10.5
3356,r007,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Space Force,4,,na,na,0,--,--
3356,r008,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Department of the Army,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Department of the Army,4,,491,574,463,16.9,-19.3
3356,r009,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Basic research -> Department of the Navy,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Basic research,Department of the Navy,4,,662,651,603,-1.7,-7.3
3356,r010,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,,3,2,5912,6071,5397,2.7,-11.1
3356,r011,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Defense agencies,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Defense agencies,4,,1874,1996,1980,6.5,-0.8
3356,r012,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Department of the Air Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Department of the Air Force,4,,1482,1656,1410,11.7,-14.9
3356,r013,R&D budget authority within RDT&E accounts<sup>a</sup> -> RDT&E total obligational authority<sup>b</sup> -> Applied research -> Space Force,R&D budget authority within RDT&E accounts<sup>a</sup>,RDT&E total obligational authority<sup>b</sup>,Applied research,Space Force,4,,na,na,131,--,--
