table_id,row_id,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_7,sex_occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race
1295,r001,Both sexes,Both sexes,,,,,,,1,,,,,,,,
1295,r002,Both sexes -> All occupations,Both sexes,All occupations,,,,,,2,80000,66000,67000,90000,60000,85000,80000,70000
1295,r003,Both sexes -> All occupations -> 29 and younger,Both sexes,All occupations,29 and younger,,,,,3,51000,48000,S,60000,45000,S,51000,52000
1295,r004,Both sexes -> All occupations -> 30&#8211;39,Both sexes,All occupations,30&#8211;39,,,,,3,75000,66000,66000,90000,55000,92000,73000,75000
1295,r005,Both sexes -> All occupations -> 40&#8211;49,Both sexes,All occupations,40&#8211;49,,,,,3,90000,81000,79000,101000,69000,88000,92000,93000
1295,r006,Both sexes -> All occupations -> 50&#8211;75,Both sexes,All occupations,50&#8211;75,,,,,3,91000,78000,70000,100000,72000,79000,93000,80000
1295,r007,Both sexes -> All occupations -> S&E occupations<sup>b</sup>,Both sexes,All occupations,S&E occupations<sup>b</sup>,,,,,3,90000,78000,79000,100000,76000,83000,90000,80000
1295,r008,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 29 and younger,Both sexes,All occupations,S&E occupations<sup>b</sup>,29 and younger,,,,4,64000,52000,S,71000,52000,,65000,57000
1295,r009,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 30&#8211;39,Both sexes,All occupations,S&E occupations<sup>b</sup>,30&#8211;39,,,,4,86000,75000,96000,95000,68000,115000,84000,85000
1295,r010,Both sexes -> All occupations -> S&E occupations<sup>b</sup> -> 40&#8211;49,Both sexes,All occupations,S&E occupations<sup>b</sup>,40&#8211;49,,,,4,100000,93000,S,110000,84000,83000,100000,97000
