table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_mathematics_teachers_female,field_mathematics_teachers_male,field_science_teachers_female,field_science_teachers_male,field_oecd_country_and_education_system
4111,r001,TALIS average<sup>a</sup>,TALIS average<sup>a</sup>,,1,66,34,68,32,na
4111,r002,TALIS average<sup>a</sup> -> Alberta (Canada),TALIS average<sup>a</sup>,Alberta (Canada),2,52,48,54,46,No
4111,r003,TALIS average<sup>a</sup> -> Australia,TALIS average<sup>a</sup>,Australia,2,53,47,62,38,Yes
4111,r004,TALIS average<sup>a</sup> -> Austria,TALIS average<sup>a</sup>,Austria,2,65,35,69,31,Yes
4111,r005,TALIS average<sup>a</sup> -> Belgium,TALIS average<sup>a</sup>,Belgium,2,72,28,63,37,Yes
4111,r006,TALIS average<sup>a</sup> -> Brazil,TALIS average<sup>a</sup>,Brazil,2,58,42,69,31,No
4111,r007,TALIS average<sup>a</sup> -> Bulgaria,TALIS average<sup>a</sup>,Bulgaria,2,90,10,88,12,No
4111,r008,TALIS average<sup>a</sup> -> Chile,TALIS average<sup>a</sup>,Chile,2,56,44,79,21,Yes
4111,r009,TALIS average<sup>a</sup> -> Chinese Taipei,TALIS average<sup>a</sup>,Chinese Taipei,2,49,51,46,54,No
4111,r010,TALIS average<sup>a</sup> -> Ciudad Aut&#243;noma de Buenos Aires (Argentina),TALIS average<sup>a</sup>,Ciudad Aut&#243;noma de Buenos Aires (Argentina),2,71,29,77,23,No
4111,r011,TALIS average<sup>a</sup> -> Colombia,TALIS average<sup>a</sup>,Colombia,2,45,55,56,44,Yes
4111,r012,TALIS average<sup>a</sup> -> Croatia,TALIS average<sup>a</sup>,Croatia,2,85,15,87,13,No
4111,r013,TALIS average<sup>a</sup> -> Cyprus,TALIS average<sup>a</sup>,Cyprus,2,76,24,69,31,No
4111,r014,TALIS average<sup>a</sup> -> Czechia,TALIS average<sup>a</sup>,Czechia,2,76,24,69,31,Yes
4111,r015,TALIS average<sup>a</sup> -> Denmark,TALIS average<sup>a</sup>,Denmark,2,42,58,41,59,Yes
4111,r016,TALIS average<sup>a</sup> -> England (United Kingdom),TALIS average<sup>a</sup>,England (United Kingdom),2,55,45,61,39,No
4111,r017,TALIS average<sup>a</sup> -> Estonia,TALIS average<sup>a</sup>,Estonia,2,90,10,79,21,Yes
4111,r018,TALIS average<sup>a</sup> -> Finland,TALIS average<sup>a</sup>,Finland,2,53,47,63,37,Yes
4111,r019,TALIS average<sup>a</sup> -> France,TALIS average<sup>a</sup>,France,2,51,49,65,35,Yes
4111,r020,TALIS average<sup>a</sup> -> Georgia,TALIS average<sup>a</sup>,Georgia,2,83,17,89,11,No
4111,r021,TALIS average<sup>a</sup> -> Hungary,TALIS average<sup>a</sup>,Hungary,2,81,19,75,25,Yes
4111,r022,TALIS average<sup>a</sup> -> Israel,TALIS average<sup>a</sup>,Israel,2,80,20,79,21,Yes
4111,r023,TALIS average<sup>a</sup> -> Italy,TALIS average<sup>a</sup>,Italy,2,83,17,81,19,Yes
4111,r024,TALIS average<sup>a</sup> -> Japan,TALIS average<sup>a</sup>,Japan,2,22,78,28,72,Yes
4111,r025,TALIS average<sup>a</sup> -> Kazakhstan,TALIS average<sup>a</sup>,Kazakhstan,2,84,16,83,17,No
4111,r026,TALIS average<sup>a</sup> -> Latvia,TALIS average<sup>a</sup>,Latvia,2,97,3,88,12,Yes
4111,r027,TALIS average<sup>a</sup> -> Lithuania,TALIS average<sup>a</sup>,Lithuania,2,93,7,82,18,Yes
4111,r028,TALIS average<sup>a</sup> -> Malta,TALIS average<sup>a</sup>,Malta,2,73,27,69,31,No
4111,r029,TALIS average<sup>a</sup> -> Mexico,TALIS average<sup>a</sup>,Mexico,2,48,52,56,44,Yes
4111,r030,TALIS average<sup>a</sup> -> Netherlands,TALIS average<sup>a</sup>,Netherlands,2,47,53,42,58,Yes
4111,r031,TALIS average<sup>a</sup> -> New Zealand,TALIS average<sup>a</sup>,New Zealand,2,56,44,61,39,Yes
4111,r032,TALIS average<sup>a</sup> -> Norway,TALIS average<sup>a</sup>,Norway,2,50,50,49,51,Yes
4111,r033,TALIS average<sup>a</sup> -> Portugal,TALIS average<sup>a</sup>,Portugal,2,79,21,77,23,Yes
4111,r034,TALIS average<sup>a</sup> -> Romania,TALIS average<sup>a</sup>,Romania,2,72,28,88,12,No
4111,r035,TALIS average<sup>a</sup> -> Russia,TALIS average<sup>a</sup>,Russia,2,94,6,89,11,No
4111,r036,TALIS average<sup>a</sup> -> Saudi Arabia,TALIS average<sup>a</sup>,Saudi Arabia,2,51,49,49,51,No
4111,r037,TALIS average<sup>a</sup> -> Shanghai (China),TALIS average<sup>a</sup>,Shanghai (China),2,70,30,68,32,No
4111,r038,TALIS average<sup>a</sup> -> Singapore,TALIS average<sup>a</sup>,Singapore,2,57,43,59,41,No
4111,r039,TALIS average<sup>a</sup> -> Slovakia,TALIS average<sup>a</sup>,Slovakia,2,86,14,85,15,Yes
4111,r040,TALIS average<sup>a</sup> -> Slovenia,TALIS average<sup>a</sup>,Slovenia,2,82,18,81,19,Yes
4111,r041,TALIS average<sup>a</sup> -> South Africa,TALIS average<sup>a</sup>,South Africa,2,57,43,69,31,No
4111,r042,TALIS average<sup>a</sup> -> South Korea,TALIS average<sup>a</sup>,South Korea,2,67,33,65,35,Yes
4111,r043,TALIS average<sup>a</sup> -> Spain,TALIS average<sup>a</sup>,Spain,2,53,47,61,39,Yes
4111,r044,TALIS average<sup>a</sup> -> Sweden,TALIS average<sup>a</sup>,Sweden,2,58,42,63,37,Yes
4111,r045,TALIS average<sup>a</sup> -> Turkey,TALIS average<sup>a</sup>,Turkey,2,54,46,57,43,Yes
4111,r046,TALIS average<sup>a</sup> -> United Arab Emirates,TALIS average<sup>a</sup>,United Arab Emirates,2,58,42,68,32,No
4111,r047,TALIS average<sup>a</sup> -> United States,TALIS average<sup>a</sup>,United States,2,67,33,56,44,Yes
4111,r048,TALIS average<sup>a</sup> -> Vietnam,TALIS average<sup>a</sup>,Vietnam,2,60,40,61,39,No
