table_id,row_id,_b_demographic_characteristic_b_full_path,_b_demographic_characteristic_b_level_1,_b_demographic_characteristic_b_level_2,_b_demographic_characteristic_b_level_3,_b_demographic_characteristic_b_level_4,_b_demographic_characteristic_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7558,r001,Doctorate recipients reporting master's degree,Doctorate recipients reporting master's degree,,,,1,75.1,70.1,78.3,45.0,77.6,76.6,69.9,80.3,72.4,78.9,52.7,91.0,90.0,94.3,88.9,96.8,93.3,94.0,94.8
7558,r002,Doctorate recipients reporting master's degree -> Sex,Doctorate recipients reporting master's degree,Sex,,,2,,,,,,,,,,,,,,,,,,,
7558,r003,Doctorate recipients reporting master's degree -> Sex -> Male,Doctorate recipients reporting master's degree,Sex,Male,,3,73.9,70.0,81.0,44.7,77.2,78.2,72.3,73.7,70.6,78.4,54.4,89.4,89.0,94.5,90.7,97.1,94.3,95.0,94.8
7558,r004,Doctorate recipients reporting master's degree -> Sex -> Female,Doctorate recipients reporting master's degree,Sex,Female,,3,76.4,70.4,75.6,45.3,78.9,71.8,67.0,83.3,77.1,79.8,49.1,91.6,91.1,94.1,86.7,96.7,92.2,93.2,94.8
7558,r005,Doctorate recipients reporting master's degree -> Citizenship status,Doctorate recipients reporting master's degree,Citizenship status,,,2,,,,,,,,,,,,,,,,,,,
7558,r006,Doctorate recipients reporting master's degree -> Citizenship status -> U.S. citizen or permanent resident,Doctorate recipients reporting master's degree,Citizenship status,U.S. citizen or permanent resident,,3,73.0,65.7,73.5,37.9,80.4,69.7,63.8,81.0,70.4,78.4,45.3,92.0,89.7,95.6,90.7,98.1,93.9,94.7,95.4
7558,r007,Doctorate recipients reporting master's degree -> Citizenship status -> Temporary visa holder,Doctorate recipients reporting master's degree,Citizenship status,Temporary visa holder,,3,80.3,78.2,87.7,65.6,77.3,82.1,83.5,81.3,75.4,81.4,63.9,90.7,93.5,94.4,89.1,97.8,95.6,94.3,96.7
7558,r008,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents),Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,,
7558,r009,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,71.7,64.5,75.6,33.2,90.3,67.9,53.2,84.6,66.7,72.7,41.1,90.3,92.9,94.3,,97.8,92.5,,92.3
7558,r010,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,,
7558,r011,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,90.2,85.2,,58.3,-,,,,-,,,100.0,100.0,100.0,,100.0,,,100.0
7558,r012,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,69.0,64.4,79.5,41.7,73.3,70.3,63.3,78.5,63.0,77.9,52.7,90.1,86.9,94.1,89.2,96.8,91.0,96.8,96.4
7558,r013,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,86.5,79.2,93.1,42.7,,78.7,,,,,,92.3,93.7,97.9,97.1,99.2,,,97.2
7558,r014,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,72.0,64.7,72.1,37.1,81.0,69.2,64.7,78.7,70.4,77.3,45.0,92.5,88.9,95.4,88.4,97.9,94.1,95.8,95.2
7558,r015,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,70.8,63.2,63.6,39.6,,,51.5,75.9,65.6,,41.7,91.9,87.5,95.6,,97.8,93.6,,94.7
7558,r016,Doctorate recipients reporting master's degree -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,Doctorate recipients reporting master's degree,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,79.5,74.3,,58.1,72.7,80.0,50.0,76.9,,,43.5,84.8,93.9,93.9,80.0,96.2,96.7,75.0,94.1
