table_id,row_id,_b_state_or_territory_control_and_institution_b_full_path,_b_state_or_territory_control_and_institution_b_level_1,_b_state_or_territory_control_and_institution_b_level_2,_b_state_or_territory_control_and_institution_b_level_3,_b_state_or_territory_control_and_institution_b_hierarchy_depth,field_all_fields,field_agricultural_sciences,field_biological_and_biomedical_sciences,field_computer_and_information_sciences,field_engineering,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_health_sciences,field_mathematics_and_statistics,field_natural_resources_and_conservation,field_physical_sciences,field_psychology,field_social_sciences,field_other
7861,r001,Alabama,Alabama,,,1,"['16,776', '']","['0', '']","['12,588', '']","['0', '']","['369', '']","['1,350', '']","['2,468', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r002,Alabama -> Public,Alabama,Public,,2,"['16,776', '']","['0', '']","['12,588', '']","['0', '']","['369', '']","['1,350', '']","['2,468', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r003,Alabama -> Public -> Alabama A&M U.,Alabama,Public,Alabama A&M U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r004,Alabama -> Public -> Alabama State U.,Alabama,Public,Alabama State U.,3,"['300', '']","['0', '']","['300', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r005,"Alabama -> Public -> Auburn U., Auburn",Alabama,Public,"Auburn U., Auburn",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r006,Alabama -> Public -> Troy U.,Alabama,Public,Troy U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r007,"Alabama -> Public -> U. Alabama, Birmingham",Alabama,Public,"U. Alabama, Birmingham",3,"['14,507', '']","['0', '']","['12,288', '']","['0', '']","['0', '']","['0', '']","['2,218', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r008,"Alabama -> Public -> U. Alabama, Huntsville",Alabama,Public,"U. Alabama, Huntsville",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r009,"Alabama -> Public -> U. Alabama, Tuscaloosa",Alabama,Public,"U. Alabama, Tuscaloosa",3,"['1,969', '']","['0', '']","['0', '']","['0', '']","['369', '']","['1,350', '']","['250', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r010,Alabama -> Public -> U. South Alabama,Alabama,Public,U. South Alabama,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r011,Alabama -> Private,Alabama,Private,,2,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r012,Alabama -> Private -> Tuskegee U.,Alabama,Private,Tuskegee U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r013,Alaska,Alaska,,,1,"['5,539', '']","['286', '']","['1,125', '']","['0', '']","['374', '']","['3,754', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r014,Alaska -> Public,Alaska,Public,,2,"['5,539', '']","['286', '']","['1,125', '']","['0', '']","['374', '']","['3,754', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r015,"Alaska -> Public -> U. Alaska, Anchorage",Alaska,Public,"U. Alaska, Anchorage",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r016,"Alaska -> Public -> U. Alaska, Fairbanks",Alaska,Public,"U. Alaska, Fairbanks",3,"['4,414', '']","['286', '']","['0', '']","['0', '']","['374', '']","['3,754', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r017,"Alaska -> Public -> U. Alaska, Southeast",Alaska,Public,"U. Alaska, Southeast",3,"['1,125', '']","['0', '']","['1,125', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r018,Alaska -> Public -> Private,Alaska,Public,Private,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r019,Alaska -> Public -> Alaska Pacific U.,Alaska,Public,Alaska Pacific U.,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r020,Arizona,Arizona,,,1,"['27,065', '']","['0', '']","['7,869', '']","['500', '']","['4,922', '']","['500', '']","['5,046', '']","['500', '']","['1,500', '']","['4,729', '']","['750', '']","['750', '']","['0', '']"
7861,r021,Arizona -> Public,Arizona,Public,,2,"['27,065', '']","['0', '']","['7,869', '']","['500', '']","['4,922', '']","['500', '']","['5,046', '']","['500', '']","['1,500', '']","['4,729', '']","['750', '']","['750', '']","['0', '']"
7861,r022,Arizona -> Public -> Arizona State U.,Arizona,Public,Arizona State U.,3,"['9,757', '']","['0', '']","['3,667', '']","['0', '']","['2,632', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3,459', '']","['0', '']","['0', '']","['0', '']"
7861,r023,Arizona -> Public -> Northern Arizona U.,Arizona,Public,Northern Arizona U.,3,"['2,455', '']","['0', '']","['2,185', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['270', '']","['0', '']","['0', '']","['0', '']"
7861,r024,Arizona -> Public -> U. Arizona,Arizona,Public,U. Arizona,3,"['14,853', '']","['0', '']","['2,018', '']","['500', '']","['2,290', '']","['500', '']","['5,046', '']","['500', '']","['1,500', '']","['1,000', '']","['750', '']","['750', '']","['0', '']"
7861,r025,Arkansas,Arkansas,,,1,"['625', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['625', '']"
7861,r026,Arkansas -> Public,Arkansas,Public,,2,"['625', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['625', '']"
7861,r027,"Arkansas -> Public -> Arkansas State U., Jonesboro",Arkansas,Public,"Arkansas State U., Jonesboro",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r028,Arkansas -> Public -> U. Arkansas for Medical Sciences,Arkansas,Public,U. Arkansas for Medical Sciences,3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r029,"Arkansas -> Public -> U. Arkansas, Fayetteville",Arkansas,Public,"U. Arkansas, Fayetteville",3,"['625', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['625', '']"
7861,r030,"Arkansas -> Public -> U. Arkansas, Little Rock",Arkansas,Public,"U. Arkansas, Little Rock",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
7861,r031,"Arkansas -> Public -> U. Arkansas, Pine Bluff",Arkansas,Public,"U. Arkansas, Pine Bluff",3,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
