table_id,row_id,sex_and_major_field_of_study_full_path,sex_and_major_field_of_study_level_1,sex_and_major_field_of_study_level_2,sex_and_major_field_of_study_level_3,sex_and_major_field_of_study_level_4,sex_and_major_field_of_study_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field__change_2008_17
953,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,48777,49552,48029,48911,50944,52704,53992,54901,54862,54664,12.1
953,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11086,11403,11319,11535,11964,12208,12484,12499,12554,12592,13.6
953,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1198,1283,1100,1206,1255,1324,1338,1434,1381,1606,34.1
953,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,7797,8025,8046,8152,8322,8355,8868,8788,8873,8477,8.7
953,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2091,2095,2173,2177,2387,2529,2278,2277,2300,2509,20.0
953,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,4946,5160,4995,5271,5419,5584,5911,5918,6252,6081,22.9
953,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2246,2391,2304,2432,2416,2484,2673,2668,2704,2697,20.1
953,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,865,877,862,852,941,989,1099,1057,1227,1165,34.7
953,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1835,1892,1829,1987,2062,2111,2139,2193,2321,2219,20.9
953,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3187,3163,3223,3273,3496,3660,3862,3818,3956,3843,20.6
953,r011,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1787,1610,1633,1667,1793,1843,1988,2003,2084,1987,11.2
953,r012,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Mathematics and statistics,,3,1400,1553,1590,1606,1703,1817,1874,1815,1872,1856,32.6
953,r013,All doctorate recipients<sup>a</sup> -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,,,2,7635,7945,7883,8221,8498,8580,8751,9078,9060,9079,18.9
953,r014,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Psychology,,3,3357,3472,3421,3576,3599,3592,3724,3776,3931,3960,18.0
953,r015,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Anthropology,,3,483,503,507,553,547,550,524,492,460,455,-5.8
953,r016,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Economics,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Economics,,3,1091,1118,1073,1121,1243,1183,1195,1255,1236,1237,13.4
953,r017,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Political science and government,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Political science and government,,3,628,682,728,685,724,803,777,859,745,752,19.7
953,r018,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Sociology,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Sociology,,3,601,662,639,657,633,636,679,742,615,689,14.6
953,r019,All doctorate recipients<sup>a</sup> -> Psychology and social sciences -> Other social sciences,All doctorate recipients<sup>a</sup>,Psychology and social sciences,Other social sciences,,3,1475,1508,1515,1629,1752,1816,1852,1954,2073,1986,34.6
953,r020,All doctorate recipients<sup>a</sup> -> Engineering,All doctorate recipients<sup>a</sup>,Engineering,,,2,7864,7642,7578,8032,8469,9000,9627,9876,9458,9843,25.2
953,r021,"All doctorate recipients<sup>a</sup> -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All doctorate recipients<sup>a</sup>,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,266,297,252,262,307,348,386,361,370,378,42.1
953,r022,All doctorate recipients<sup>a</sup> -> Engineering -> Bioengineering and biomedical engineering,All doctorate recipients<sup>a</sup>,Engineering,Bioengineering and biomedical engineering,,3,762,834,824,898,943,1039,1046,1126,1090,1041,36.6
953,r023,All doctorate recipients<sup>a</sup> -> Engineering -> Chemical engineering,All doctorate recipients<sup>a</sup>,Engineering,Chemical engineering,,3,873,807,822,823,840,824,973,1002,921,936,7.2
953,r024,All doctorate recipients<sup>a</sup> -> Engineering -> Civil engineering,All doctorate recipients<sup>a</sup>,Engineering,Civil engineering,,3,713,707,643,634,495,542,617,632,563,741,3.9
953,r025,"All doctorate recipients<sup>a</sup> -> Engineering -> Electrical, electronics, and communications engineering",All doctorate recipients<sup>a</sup>,Engineering,"Electrical, electronics, and communications engineering",,3,1888,1693,1778,1886,1938,1897,1953,1997,1822,1900,0.6
953,r026,All doctorate recipients<sup>a</sup> -> Engineering -> Industrial and manufacturing engineering,All doctorate recipients<sup>a</sup>,Engineering,Industrial and manufacturing engineering,,3,280,251,215,258,226,241,298,243,256,253,-9.6
953,r027,All doctorate recipients<sup>a</sup> -> Engineering -> Materials science engineering,All doctorate recipients<sup>a</sup>,Engineering,Materials science engineering,,3,636,625,670,662,743,815,832,871,984,958,50.6
953,r028,All doctorate recipients<sup>a</sup> -> Engineering -> Mechanical engineering,All doctorate recipients<sup>a</sup>,Engineering,Mechanical engineering,,3,1082,1095,983,1084,1220,1277,1331,1466,1296,1409,30.2
953,r029,All doctorate recipients<sup>a</sup> -> Engineering -> Other engineering,All doctorate recipients<sup>a</sup>,Engineering,Other engineering,,3,1364,1333,1391,1525,1757,2017,2191,2178,2156,2227,63.3
953,r030,All doctorate recipients<sup>a</sup> -> Education,All doctorate recipients<sup>a</sup>,Education,,,2,6561,6528,5287,4670,4803,4934,4789,5098,5146,4823,-26.5
953,r031,All doctorate recipients<sup>a</sup> -> Education -> Education administration,All doctorate recipients<sup>a</sup>,Education,Education administration,,3,2238,2146,1439,924,1057,965,893,920,823,1023,-54.3
953,r032,All doctorate recipients<sup>a</sup> -> Education -> Education research,All doctorate recipients<sup>a</sup>,Education,Education research,,3,2640,2663,2443,2438,2569,2703,2560,2772,2384,2405,-8.9
953,r033,All doctorate recipients<sup>a</sup> -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Education,Teacher education,,3,274,332,245,204,156,109,152,156,180,112,-59.1
953,r034,All doctorate recipients<sup>a</sup> -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Education,Teaching fields,,3,912,906,799,805,757,892,915,953,1166,908,-0.4
953,r035,All doctorate recipients<sup>a</sup> -> Education -> Other education,All doctorate recipients<sup>a</sup>,Education,Other education,,3,497,481,361,299,264,265,269,297,593,375,-24.5
953,r036,All doctorate recipients<sup>a</sup> -> Humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,,,2,4736,4904,5015,5226,5561,5715,5524,5594,5480,5290,11.7
953,r037,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Humanities and arts,Foreign languages and literature,,3,627,598,601,644,684,701,674,656,599,624,-0.5
953,r038,All doctorate recipients<sup>a</sup> -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Humanities and arts,History,,3,971,1045,1005,1065,1086,1148,1186,1146,1148,1066,9.8
953,r039,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Humanities and arts,Letters,,3,1420,1413,1516,1513,1638,1606,1551,1583,1531,1465,3.2
953,r040,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,Other humanities and arts,,3,1718,1848,1893,2004,2153,2260,2113,2209,2202,2135,24.3
953,r041,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup>,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,,,2,2762,2807,2729,2683,2734,3023,3044,3020,2956,3113,12.7
953,r042,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Business management and administration,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Business management and administration,,3,1421,1405,1366,1327,1404,1551,1584,1583,1509,1522,7.1
953,r043,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Communication,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Communication,,3,557,627,638,650,595,645,663,667,672,626,12.4
953,r044,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Non-S&E fields nec,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Non-S&E fields nec,,3,784,775,725,706,735,827,796,770,760,965,23.1
953,r045,All doctorate recipients<sup>a</sup> -> Other<sup>b</sup> -> Unknown field,All doctorate recipients<sup>a</sup>,Other<sup>b</sup>,Unknown field,,3,0,0,0,0,0,0,1,0,15,0,0.0
953,r046,All doctorate recipients<sup>a</sup> -> Male,All doctorate recipients<sup>a</sup>,Male,,,2,26272,26331,25525,26189,27362,28326,29011,29540,29591,29146,10.9
953,r047,All doctorate recipients<sup>a</sup> -> Male -> Life sciences,All doctorate recipients<sup>a</sup>,Male,Life sciences,,3,5223,5183,5101,5243,5335,5492,5514,5566,5634,5629,7.8
953,r048,All doctorate recipients<sup>a</sup> -> Male -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Male,Life sciences,Agricultural sciences and natural resources,4,700,722,609,652,698,702,691,746,756,809,15.6
953,r049,All doctorate recipients<sup>a</sup> -> Male -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Male,Life sciences,Biological and biomedical sciences,4,3861,3834,3823,3878,3891,3941,4088,4103,4159,4014,4.0
953,r050,All doctorate recipients<sup>a</sup> -> Male -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Male,Life sciences,Health sciences,4,662,627,669,713,746,849,735,717,719,806,21.8
953,r051,All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,,3,3505,3533,3379,3629,3684,3717,3969,3930,4286,4068,16.1
953,r052,All doctorate recipients<sup>a</sup> -> Male -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Male,Physical sciences and earth sciences,Chemistry,4,1479,1490,1440,1508,1521,1497,1642,1594,1713,1669,12.8
