table_id,row_id,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,sex_ethnicity_race_and_disability_status_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_not_working,field_chronic_illness_or_permanent_disability,field_did_not_need_or_want_to_work,field_family_responsibilities,field_laid_off,field_retireda,field_student,field_suitable_job_not_available,field_other
1294,r001,All groups,All groups,,,1,6243000,700000,1440000,1081000,295000,3686000,512000,574000,322000
1294,r002,All groups -> Female&#160;,All groups,Female&#160;,,2,3379000,404000,867000,913000,110000,1619000,288000,326000,176000
1294,r003,All groups -> Male&#160;,All groups,Male&#160;,,2,2864000,296000,572000,169000,185000,2067000,223000,248000,146000
1294,r004,All groups -> Hispanic or Latino<sup>b</sup>,All groups,Hispanic or Latino<sup>b</sup>,,2,426000,73000,72000,125000,32000,137000,63000,73000,20000
1294,r005,All groups -> Not Hispanic or Latino&#160;,All groups,Not Hispanic or Latino&#160;,,2,,,,,,,,,
1294,r006,All groups -> Not Hispanic or Latino&#160; -> American Indian or Alaska Native,All groups,Not Hispanic or Latino&#160;,American Indian or Alaska Native,3,21000,,S,S,,10000,,S,
1294,r007,All groups -> Not Hispanic or Latino&#160; -> Asian,All groups,Not Hispanic or Latino&#160;,Asian,3,762000,39000,170000,212000,48000,211000,140000,120000,89000
1294,r008,All groups -> Not Hispanic or Latino&#160; -> Black or African American,All groups,Not Hispanic or Latino&#160;,Black or African American,3,370000,89000,81000,40000,27000,203000,57000,51000,21000
1294,r009,All groups -> Not Hispanic or Latino&#160; -> Native Hawaiian or Other Pacific Islander,All groups,Not Hispanic or Latino&#160;,Native Hawaiian or Other Pacific Islander,3,9000,,3000,S,,3000,S,,
1294,r010,All groups -> Not Hispanic or Latino&#160; -> White,All groups,Not Hispanic or Latino&#160;,White,3,4574000,487000,1095000,673000,180000,3082000,237000,307000,186000
1294,r011,All groups -> Not Hispanic or Latino&#160; -> More than one race,All groups,Not Hispanic or Latino&#160;,More than one race,3,81000,11000,16000,23000,7000,40000,14000,13000,S
1294,r012,All groups -> Without disability&#160;,All groups,Without disability&#160;,,2,4796000,178000,1208000,920000,240000,2745000,468000,453000,278000
1294,r013,All groups -> With disability&#160;,All groups,With disability&#160;,,2,1447000,522000,232000,161000,55000,941000,44000,121000,44000
