table_id,row_id,student_characteristic_full_path,student_characteristic_level_1,student_characteristic_level_2,student_characteristic_level_3,student_characteristic_hierarchy_depth,field_2014,field_2018
1533,r001,All students in grade 8,All students in grade 8,,,1,150,152
1533,r002,All students in grade 8 -> Sex,All students in grade 8,Sex,,2,,
1533,r003,All students in grade 8 -> Sex -> Male,All students in grade 8,Sex,Male,3,149,150
1533,r004,All students in grade 8 -> Sex -> Female,All students in grade 8,Sex,Female,3,151,155
1533,r005,All students in grade 8 -> Race or ethnicity<sup>a</sup>,All students in grade 8,Race or ethnicity<sup>a</sup>,,2,,
1533,r006,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> White,All students in grade 8,Race or ethnicity<sup>a</sup>,White,3,160,163
1533,r007,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Black or African American,All students in grade 8,Race or ethnicity<sup>a</sup>,Black or African American,3,128,132
1533,r008,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Hispanic or Latino<sup>b</sup>,All students in grade 8,Race or ethnicity<sup>a</sup>,Hispanic or Latino<sup>b</sup>,3,138,139
1533,r009,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> Asian or Pacific Islander,All students in grade 8,Race or ethnicity<sup>a</sup>,Asian or Pacific Islander,3,159,169
1533,r010,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> American Indian or Alaska Native,All students in grade 8,Race or ethnicity<sup>a</sup>,American Indian or Alaska Native,3,146,133
1533,r011,All students in grade 8 -> Race or ethnicity<sup>a</sup> -> More than one race,All students in grade 8,Race or ethnicity<sup>a</sup>,More than one race,3,154,157
1533,r012,All students in grade 8 -> Socioeconomic status<sup>c</sup>,All students in grade 8,Socioeconomic status<sup>c</sup>,,2,,
1533,r013,All students in grade 8 -> Socioeconomic status<sup>c</sup> -> Eligible for free or reduced-price lunch,All students in grade 8,Socioeconomic status<sup>c</sup>,Eligible for free or reduced-price lunch,3,135,138
1533,r014,All students in grade 8 -> Socioeconomic status<sup>c</sup> -> Not eligible for free or reduced-price lunch,All students in grade 8,Socioeconomic status<sup>c</sup>,Not eligible for free or reduced-price lunch,3,163,164
