table_id,row_id,citizenship_ethnicity_race_and_sex_full_path,citizenship_ethnicity_race_and_sex_level_1,citizenship_ethnicity_race_and_sex_level_2,citizenship_ethnicity_race_and_sex_level_3,citizenship_ethnicity_race_and_sex_level_4,citizenship_ethnicity_race_and_sex_level_5,citizenship_ethnicity_race_and_sex_hierarchy_depth,field_all_fields,field_s_e,field_science_all_sciences,field_science_agricultural_sciences,field_science_biological_sciences,field_science_computer_sciences,field_science_earth_atmospheric_and_ocean_sciences,field_science_mathematics_and_statistics,field_science_physical_sciences,field_science_psychology,field_science_social_sciences,field_engineering,field_non_s_e
1150,r001,Number ,Number ,,,,,1,,,,,,,,,,,,,
1150,r002,All recipients,All recipients,,,,,1,1942140,666157,557181,30540,119073,65186,7283,24293,22746,118646,169414,108976,1275983
1150,r003,All recipients -> U.S. citizen and permanent resident,All recipients,U.S. citizen and permanent resident,,,,2,1857833,629003,530144,29877,115673,61100,7040,20525,21429,115750,158750,98859,1228830
1150,r004,All recipients -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,All recipients,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,3,245081,86279,74942,2570,14571,6612,640,2166,2138,20321,25924,11337,158802
1150,r005,All recipients -> U.S. citizen and permanent resident -> Non-Hispanic or Latino  ,All recipients,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,,,3,1612752,542724,455202,27307,101102,54488,6400,18359,19291,95429,132826,87522,1070028
1150,r006,All recipients -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> American Indian or Alaska Native,All recipients,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,American Indian or Alaska Native,,4,9316,2930,2616,182,473,229,36,51,91,629,925,314,6386
1150,r007,All recipients -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Asian,All recipients,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Asian,,4,128048,62101,50280,1121,17142,7933,256,2490,2493,7082,11763,11821,65947
1150,r008,All recipients -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Black or African American ,All recipients,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Black or African American ,,4,185880,54432,50226,932,8804,5658,155,1007,1239,14187,18244,4206,131448
1150,r009,All recipients -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> Native Hawaiian or Other Pacific Islander  ,All recipients,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,Native Hawaiian or Other Pacific Islander  ,,4,4732,1436,1276,51,244,194,7,31,40,266,443,160,3296
1150,r010,All recipients -> U.S. citizen and permanent resident -> Non-Hispanic or Latino   -> White,All recipients,U.S. citizen and permanent resident,Non-Hispanic or Latino  ,White,,4,1145220,374883,310307,23022,66726,34904,5493,13310,13850,64829,88173,64576,770337
