table_id,row_id,_b_institution_status_b_full_path,_b_institution_status_b_level_1,_b_institution_status_b_level_2,_b_institution_status_b_hierarchy_depth
6032,r001,New institutions (0),New institutions (0),,1
6032,r002,Became ineligible for the survey (2),Became ineligible for the survey (2),,1
6032,r003,"Became ineligible for the survey (2) -> U. Alaska, Southeast",Became ineligible for the survey (2),"U. Alaska, Southeast",2
6032,r004,"Became ineligible for the survey (2) -> U. South Florida, Saint Petersburg",Became ineligible for the survey (2),"U. South Florida, Saint Petersburg",2
6032,r005,Merged Institutions (0),Merged Institutions (0),,1
6032,r006,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,,1
6032,r007,"Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> California State U., Northridge",Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,"California State U., Northridge",2
6032,r008,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> East Stroudsburg U. Pennsylvania,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,East Stroudsburg U. Pennsylvania,2
6032,r009,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> Eastern Michigan U.,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,Eastern Michigan U.,2
6032,r010,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> Eastern Virginia Medical School,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,Eastern Virginia Medical School,2
6032,r011,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> Roosevelt U.,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,Roosevelt U.,2
6032,r012,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> Southern Connecticut State U.,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,Southern Connecticut State U.,2
6032,r013,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> Troy U.,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,Troy U.,2
6032,r014,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> U. New Haven,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,U. New Haven,2
6032,r015,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup> -> Winston-Salem State U.,Changed from a doctorate-granting to master's-granting institution (9)<sup>a</sup>,Winston-Salem State U.,2
6032,r016,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup>,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup>,,1
6032,r017,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup> -> A. T. Still U.,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup>,A. T. Still U.,2
6032,r018,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup> -> Rivier U.,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup>,Rivier U.,2
6032,r019,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup> -> U. Indianapolis,Changed from a master's-granting to doctorate-granting institution (3)<sup>a</sup>,U. Indianapolis,2
