table_id,row_id,_b_time_to_degree_and_demographic_characteristic_b_full_path,_b_time_to_degree_and_demographic_characteristic_b_level_1,_b_time_to_degree_and_demographic_characteristic_b_level_2,_b_time_to_degree_and_demographic_characteristic_b_level_3,_b_time_to_degree_and_demographic_characteristic_b_level_4,_b_time_to_degree_and_demographic_characteristic_b_hierarchy_depth,field_all_fields_median,field_all_fields_number,field_life_sciencesa_median,field_life_sciencesa_number,field_physical_sciences_and_earth_sciences_median,field_physical_sciences_and_earth_sciences_number,field_mathematics_and_computer_sciences_median,field_mathematics_and_computer_sciences_number,field_psychology_and_social_sciences_median,field_psychology_and_social_sciences_number,field_engineering_median,field_engineering_number,field_education_median,field_education_number,field_humanities_and_arts_median,field_humanities_and_arts_number,field_otherb_median,field_otherb_number
4669,r001,Years since bachelor's,Years since bachelor's,,,,1,,,,,,,,,,,,,,,,,,
4669,r002,All doctorate recipients<sup>c</sup>,All doctorate recipients<sup>c</sup>,,,,1,8.7,52403,8.3,11993,7.0,6002,7.9,4181,9.3,8384,7.5,10005,15.0,4486,11.1,4593,11.3,2759
4669,r003,All doctorate recipients<sup>c</sup> -> Sex,All doctorate recipients<sup>c</sup>,Sex,,,2,,,,,,,,,,,,,,,,,,
4669,r004,All doctorate recipients<sup>c</sup> -> Sex -> Male,All doctorate recipients<sup>c</sup>,Sex,Male,,3,8.3,28332,8.2,5283,7.0,3998,7.9,3138,9.4,3384,7.6,7528,14.6,1380,11.1,2325,11.0,1296
4669,r005,All doctorate recipients<sup>c</sup> -> Sex -> Female,All doctorate recipients<sup>c</sup>,Sex,Female,,3,9.2,24071,8.3,6710,6.7,2004,7.8,1043,9.3,5000,7.3,2477,15.0,3106,11.0,2268,11.5,1463
4669,r006,All doctorate recipients<sup>c</sup> -> Citizenship status,All doctorate recipients<sup>c</sup>,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
4669,r007,All doctorate recipients<sup>c</sup> -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients<sup>c</sup>,Citizenship status,U.S. citizen or permanent resident,,3,9.0,33943,8.0,8563,6.6,3699,7.6,1721,9.3,6508,7.0,4108,15.3,3816,11.0,3841,13.0,1687
4669,r008,All doctorate recipients<sup>c</sup> -> Citizenship status -> Temporary visa holder,All doctorate recipients<sup>c</sup>,Citizenship status,Temporary visa holder,,3,8.4,17938,8.7,3312,7.4,2253,8.0,2409,9.5,1782,7.9,5809,12.4,630,11.2,705,9.5,1038
4669,r009,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
4669,r010,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,9.0,2796,8.0,695,6.4,242,8.2,100,9.2,639,6.7,287,14.3,368,11.3,340,12.0,125
4669,r011,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
4669,r012,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,11.1,94,10.0,21,,,,,,,7.1,5,16.6,14,11.3,16,12.6,11
4669,r013,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,8.5,3160,8.4,937,6.8,309,7.5,259,9.3,433,7.3,662,14.3,196,12.9,204,10.7,160
4669,r014,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,12.1,2404,10.3,545,7.6,77,8.3,56,11.4,525,9.1,176,15.3,611,12.0,173,16.2,241
4669,r015,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> White,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,White,4,8.8,23699,8.0,5925,6.6,2870,7.4,1189,9.3,4510,7.0,2780,15.6,2440,11.0,2913,12.7,1072
4669,r016,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> More than one race,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,More than one race,4,8.3,1129,7.7,310,6.3,140,7.0,77,9.2,235,6.4,126,14.5,99,11.8,105,11.0,37
4669,r017,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Other race or race not reported,4,9.7,327,8.3,68,,,,,,,7.6,41,13.1,40,10.6,45,15.5,16
4669,r018,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Ethnicity not reported,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Ethnicity not reported,,3,10.1,334,8.3,62,6.8,27,9.7,17,10.0,79,8.6,31,14.3,48,11.0,45,13.6,25
4669,r019,Years since entering graduate school,Years since entering graduate school,,,,1,,,,,,,,,,,,,,,,,,
4669,r020,All doctorate recipients<sup>d</sup>,All doctorate recipients<sup>d</sup>,,,,1,7.5,50873,6.9,11780,6.3,5844,7.0,4072,7.9,8077,6.8,9738,12.0,4319,9.6,4417,9.3,2626
4669,r021,All doctorate recipients<sup>d</sup> -> Sex,All doctorate recipients<sup>d</sup>,Sex,,,2,,,,,,,,,,,,,,,,,,
4669,r022,All doctorate recipients<sup>d</sup> -> Sex -> Male,All doctorate recipients<sup>d</sup>,Sex,Male,,3,7.3,27546,6.9,5218,6.3,3896,7.0,3053,7.9,3261,6.9,7331,12.0,1318,9.7,2238,9.0,1231
4669,r023,All doctorate recipients<sup>d</sup> -> Sex -> Female,All doctorate recipients<sup>d</sup>,Sex,Female,,3,7.8,23327,7.0,6562,6.0,1948,6.9,1019,7.9,4816,6.6,2407,12.0,3001,9.6,2179,9.8,1395
4669,r024,All doctorate recipients<sup>d</sup> -> Citizenship status,All doctorate recipients<sup>d</sup>,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
4669,r025,All doctorate recipients<sup>d</sup> -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients<sup>d</sup>,Citizenship status,U.S. citizen or permanent resident,,3,7.3,32912,6.8,8412,6.0,3595,6.8,1679,7.8,6257,6.3,4001,12.5,3680,9.3,3695,10.3,1593
4669,r026,All doctorate recipients<sup>d</sup> -> Citizenship status -> Temporary visa holder,All doctorate recipients<sup>d</sup>,Citizenship status,Temporary visa holder,,3,7.7,17497,7.8,3281,7.0,2211,7.0,2343,8.8,1733,7.1,5647,9.8,598,10.3,686,8.5,998
4669,r027,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
4669,r028,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,7.6,2721,6.8,696,5.8,234,7.3,99,7.7,611,6.2,278,12.0,352,9.3,328,10.0,123
4669,r029,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,,3,,,,,,,,,,,,,,,,,,
4669,r030,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> American Indian or Alaska Native,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,American Indian or Alaska Native,4,9.7,85,7.8,19,,,,,9.7,21,,,12.5,13,10.8,14,14.8,9
4669,r031,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Asian,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Asian,4,7.3,3107,7.0,935,6.0,305,7.0,257,7.9,419,6.6,644,11.0,196,10.3,198,9.0,153
4669,r032,All doctorate recipients<sup>d</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Not Hispanic or Latino -> Black or African American,All doctorate recipients<sup>d</sup>,Ethnicity and race (U.S. citizens and permanent residents),Not Hispanic or Latino,Black or African American,4,10.2,2317,8.6,536,6.8,73,7.8,56,9.8,509,7.8,171,12.8,580,9.8,165,13.4,227
