table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_frequency,field__n_78_286_
9163,r001,Gender,Gender,,1,,
9163,r002,Gender -> Male,Gender,Male,2,47071,60.1
9163,r003,Gender -> Female,Gender,Female,2,31215,39.9
9163,r004,Physical disability,Physical disability,,1,,
9163,r005,Physical disability -> No,Physical disability,No,2,70842,90.5
9163,r006,Physical disability -> Yes,Physical disability,Yes,2,7444,9.5
9163,r007,Race or ethnicity,Race or ethnicity,,1,,
9163,r008,Race or ethnicity -> Asian,Race or ethnicity,Asian,2,16473,21.0
9163,r009,Race or ethnicity -> Black,Race or ethnicity,Black,2,4345,5.6
9163,r010,Race or ethnicity -> Hispanic,Race or ethnicity,Hispanic,2,6424,8.2
9163,r011,Race or ethnicity -> White,Race or ethnicity,White,2,49353,63.0
9163,r012,Race or ethnicity -> Other,Race or ethnicity,Other,2,1691,2.2
9163,r013,Age,Age,,1,,
9163,r014,Age -> Under 30,Age,Under 30,2,807,1.0
9163,r015,Age -> 30&#8211;39 ,Age,30&#8211;39 ,2,19743,25.2
9163,r016,Age -> 40&#8211;49 ,Age,40&#8211;49 ,2,18725,23.9
9163,r017,Age -> 50&#8211;59 ,Age,50&#8211;59 ,2,17687,22.6
9163,r018,Age -> 60&#8211;69 ,Age,60&#8211;69 ,2,14934,19.1
9163,r019,Age -> Over 70 ,Age,Over 70 ,2,6390,8.2
9163,r020,Degree focus,Degree focus,,1,,
9163,r021,Degree focus -> Science ,Degree focus,Science ,2,61423,78.5
9163,r022,Degree focus -> Engineering ,Degree focus,Engineering ,2,13240,16.9
9163,r023,Degree focus -> Health ,Degree focus,Health ,2,3623,4.6
9163,r024,Living in the United States,Living in the United States,,1,,
9163,r025,Living in the United States -> No,Living in the United States,No,2,10392,13.3
9163,r026,Living in the United States -> Yes,Living in the United States,Yes,2,67894,86.7
9163,r027,Workforce status,Workforce status,,1,,
9163,r028,Workforce status -> Employed,Workforce status,Employed,2,68572,87.6
9163,r029,Workforce status -> Unemployed,Workforce status,Unemployed,2,1281,1.6
9163,r030,Workforce status -> Not in the workforce,Workforce status,Not in the workforce,2,8433,10.8
9163,r031,Employment sector,Employment sector,,1,,
9163,r032,Employment sector -> Education,Employment sector,Education,2,35009,51.0
9163,r033,Employment sector -> Government,Employment sector,Government,2,7043,10.3
9163,r034,Employment sector -> Business and industry,Employment sector,Business and industry,2,26520,38.7
