table_id,row_id,time_period,sdr_field_of_study_aggregations_aligned_with_tod_level_1,sdr_field_of_study_aggregations_aligned_with_tod_level_2,sdr_field_of_study_aggregations_aligned_with_tod_level_3,sdr_field_of_study_aggregations_aligned_with_tod_hierarchy_depth,value
8140,r001_1,Science,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Code,3,1
8140,r001_2,Science,SDR field of study aggregations aligned with ToD,Broad field (NSDRMEMTOD),Label,3,"Biological, agricultural, and environmental life sciences"
8140,r001_3,Science,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,11
8140,r001_4,Science,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Agricultural and food sciences
8140,r001_5,Science,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1101
8140,r001_6,Science,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Agricultural sciences
8140,r001_7,Science,SED field of study information,Fine field (PHDFIELD)a,Code,3,98
8140,r001_8,Science,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Agriculture, general"
8140,r001_9,Science,SED field of study information,Start year,,2,1958
8140,r001_10,Science,SED field of study information,End year,,2,Present
8140,r002_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,99
8140,r002_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Agricultural science, other"
8140,r002_9,,SED field of study information,Start year,,2,1958
8140,r002_10,,SED field of study information,End year,,2,Present
8140,r003_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1102
8140,r003_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Animal sciences
8140,r003_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,5
8140,r003_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural animal breeding
8140,r003_9,,SED field of study information,Start year,,2,1983
8140,r003_10,,SED field of study information,End year,,2,2013
8140,r004_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,7
8140,r004_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Animal husbandry
8140,r004_9,,SED field of study information,Start year,,2,1958
8140,r004_10,,SED field of study information,End year,,2,1982
8140,r005_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,10
8140,r005_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Animal nutrition
8140,r005_9,,SED field of study information,Start year,,2,1969
8140,r005_10,,SED field of study information,End year,,2,Present
8140,r006_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,12
8140,r006_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Dairy science
8140,r006_9,,SED field of study information,Start year,,2,1988
8140,r006_10,,SED field of study information,End year,,2,2003
8140,r007_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,14
8140,r007_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Animal science, poultry (or avian)"
8140,r007_9,,SED field of study information,Start year,,2,1988
8140,r007_10,,SED field of study information,End year,,2,Present
8140,r008_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,19
8140,r008_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Animal science, other"
8140,r008_9,,SED field of study information,Start year,,2,1983
8140,r008_10,,SED field of study information,End year,,2,Present
8140,r009_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1103
8140,r009_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Food sciences and technology
8140,r009_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,40
8140,r009_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Food sciences
8140,r009_9,,SED field of study information,Start year,,2,1969
8140,r009_10,,SED field of study information,End year,,2,1989
8140,r010_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,43
8140,r010_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Food science
8140,r010_9,,SED field of study information,Start year,,2,1988
8140,r010_10,,SED field of study information,End year,,2,Present
8140,r011_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,44
8140,r011_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Food science and technology, other"
8140,r011_9,,SED field of study information,Start year,,2,1988
8140,r011_10,,SED field of study information,End year,,2,Present
8140,r012_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1104
8140,r012_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Plant sciences
8140,r012_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,20
8140,r012_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agronomy and crop science
8140,r012_9,,SED field of study information,Start year,,2,1958
8140,r012_10,,SED field of study information,End year,,2,Present
8140,r013_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,25
8140,r013_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Agricultural and horticultural plant breeding/ genetics
8140,r013_9,,SED field of study information,Start year,,2,1983
8140,r013_10,,SED field of study information,End year,,2,Present
8140,r014_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,32
8140,r014_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Plant protection/ pest management
8140,r014_9,,SED field of study information,Start year,,2,1988
8140,r014_10,,SED field of study information,End year,,2,1991
8140,r015_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,39
8140,r015_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Plant sciences, other"
8140,r015_9,,SED field of study information,Start year,,2,1983
8140,r015_10,,SED field of study information,End year,,2,Present
8140,r016_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,50
8140,r016_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Horticulture science
8140,r016_9,,SED field of study information,Start year,,2,1958
8140,r016_10,,SED field of study information,End year,,2,Present
8140,r017_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1105
8140,r017_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Soil sciences
8140,r017_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,45
8140,r017_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Soil sciences
8140,r017_9,,SED field of study information,Start year,,2,1968
8140,r017_10,,SED field of study information,End year,,2,1988
8140,r018_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,46
8140,r018_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Soil chemistry/ microbiology
8140,r018_9,,SED field of study information,Start year,,2,1988
8140,r018_10,,SED field of study information,End year,,2,Present
8140,r019_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,49
8140,r019_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,"Soil sciences, other"
8140,r019_9,,SED field of study information,Start year,,2,1988
8140,r019_10,,SED field of study information,End year,,2,Present
8140,r020_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,12
8140,r020_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Biochemistry and biophysics
8140,r020_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1201
8140,r020_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Biochemistry
8140,r020_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,100
8140,r020_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biochemistry
8140,r020_9,,SED field of study information,Start year,,2,1958
8140,r020_10,,SED field of study information,End year,,2,Present
8140,r021_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1202
8140,r021_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Biophysics
8140,r021_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,105
8140,r021_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Biophysics
8140,r021_9,,SED field of study information,Start year,,2,1958
8140,r021_10,,SED field of study information,End year,,2,Present
8140,r022_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,155
8140,r022_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Structural biology
8140,r022_9,,SED field of study information,Start year,,2,2010
8140,r022_10,,SED field of study information,End year,,2,Present
8140,r023_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,13
8140,r023_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,"Cell, cellular biology, and molecular biology"
8140,r023_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1301
8140,r023_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,"Cell, cellular biology, and molecular biology"
8140,r023_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,130
8140,r023_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Anatomy
8140,r023_9,,SED field of study information,Start year,,2,1958
8140,r023_10,,SED field of study information,End year,,2,Present
8140,r024_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,136
8140,r024_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Cell/ cellular biology and histology
8140,r024_9,,SED field of study information,Start year,,2,1959
8140,r024_10,,SED field of study information,End year,,2,Present
8140,r025_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,142
8140,r025_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Developmental biology/ embryology
8140,r025_9,,SED field of study information,Start year,,2,1960
8140,r025_10,,SED field of study information,End year,,2,Present
8140,r026_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,154
8140,r026_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Molecular biology
8140,r026_9,,SED field of study information,Start year,,2,1965
8140,r026_10,,SED field of study information,End year,,2,Present
8140,r027_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,159
8140,r027_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Molecular medicine
8140,r027_9,,SED field of study information,Start year,,2,2016
8140,r027_10,,SED field of study information,End year,,2,Present
8140,r028_3,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Code,3,14
8140,r028_4,,SDR field of study aggregations aligned with ToD,Minor field (NSDRMENTOD),Label,3,Microbiological sciences and Immunology
8140,r028_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1401
8140,r028_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Immunology
8140,r028_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,151
8140,r028_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Immunology
8140,r028_9,,SED field of study information,Start year,,2,1972
8140,r028_10,,SED field of study information,End year,,2,Present
8140,r029_5,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Code,3,1402
8140,r029_6,,SDR field of study aggregations aligned with ToD,Detailed field (NSDRMEDTOD)a,Label,3,Microbiological sciences
8140,r029_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,110
8140,r029_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Bacteriology
8140,r029_9,,SED field of study information,Start year,,2,1983
8140,r029_10,,SED field of study information,End year,,2,Present
8140,r030_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,156
8140,r030_8,,SED field of study information,Fine field (PHDFIELD)a,Label,3,Microbiology/ bacteriology
8140,r030_9,,SED field of study information,Start year,,2,1958
8140,r030_10,,SED field of study information,End year,,2,1982
8140,r031_7,,SED field of study information,Fine field (PHDFIELD)a,Code,3,157
