table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_level_5,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_primary_work_activitya_any_r_db_number,field_primary_work_activitya_any_r_db_se,field_primary_work_activitya_otherc_number,field_primary_work_activitya_otherc_se
9240,r046,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Organic chemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",Organic chemistry,5,1550,275,700,175,800,200
9240,r047,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry -> Chemistry, other, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry","Chemistry, other, except biochemistry",5,4300,350,2400,325,1850,275
9240,r048,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",,4,4000,225,2150,175,1850,200
9240,r049,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric sciences and meteorology",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Atmospheric sciences and meteorology,5,800,75,450,75,300,50
9240,r050,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences, geosciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Geological and earth sciences, geosciences",5,2350,225,1150,150,1150,175
9240,r051,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,5,350,75,150,50,200,50
9240,r052,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Oceanography, chemical and physical",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences","Oceanography, chemical and physical",5,550,125,350,100,200,100
9240,r053,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,,4,8700,525,5550,475,3200,375
9240,r054,All fields -> Science -> Psychology,All fields,Science,Psychology,,,3,5400,350,1700,200,3650,325
9240,r055,All fields -> Science -> Psychology -> Clinical psychology,All fields,Science,Psychology,Clinical psychology,,4,900,175,S,S,800,175
9240,r056,All fields -> Science -> Psychology -> Counseling and applied psychology,All fields,Science,Psychology,Counseling and applied psychology,,4,400,125,0.05,0.05,350,125
9240,r057,All fields -> Science -> Psychology -> Educational and school psychology,All fields,Science,Psychology,Educational and school psychology,,4,850,200,350,125,500,175
9240,r058,All fields -> Science -> Psychology -> Industrial and organizational psychology,All fields,Science,Psychology,Industrial and organizational psychology,,4,350,125,100,50,250,125
9240,r059,All fields -> Science -> Psychology -> Research and experimental psychology,All fields,Science,Psychology,Research and experimental psychology,,4,2300,225,850,125,1450,200
9240,r060,"All fields -> Science -> Psychology -> Psychology, general",All fields,Science,Psychology,"Psychology, general",,4,250,100,100,75,150,75
9240,r061,"All fields -> Science -> Psychology -> Psychology, other",All fields,Science,Psychology,"Psychology, other",,4,350,75,200,50,150,50
9240,r062,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,,3,26050,775,11900,600,14150,700
9240,r063,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,,4,12200,500,6150,450,6000,425
9240,r064,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,,4,3250,325,1400,225,1800,250
9240,r065,All fields -> Science -> Social sciences -> Political science and government -> Political science and government,All fields,Science,Social sciences,Political science and government,Political science and government,5,2500,275,1100,200,1400,225
9240,r066,All fields -> Science -> Social sciences -> Political science and government -> Public policy analysis,All fields,Science,Social sciences,Political science and government,Public policy analysis,5,750,150,300,125,450,125
9240,r067,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",,4,2250,250,950,175,1300,225
9240,r068,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,,4,8400,425,3350,275,5050,375
9240,r069,All fields -> Science -> Social sciences -> Other social sciences -> Anthropology,All fields,Science,Social sciences,Other social sciences,Anthropology,5,1700,200,650,125,1000,175
9240,r070,"All fields -> Science -> Social sciences -> Other social sciences -> Area, ethnic, cultural, gender, and group studies",All fields,Science,Social sciences,Other social sciences,"Area, ethnic, cultural, gender, and group studies",5,350,75,50,50,250,75
9240,r071,All fields -> Science -> Social sciences -> Other social sciences -> Geography and cartography,All fields,Science,Social sciences,Other social sciences,Geography and cartography,5,1000,150,450,125,500,125
9240,r072,All fields -> Science -> Social sciences -> Other social sciences -> International relations and national security studies,All fields,Science,Social sciences,Other social sciences,International relations and national security studies,5,850,125,200,75,650,125
9240,r073,All fields -> Science -> Social sciences -> Other social sciences -> Linguistics,All fields,Science,Social sciences,Other social sciences,Linguistics,5,2100,250,700,150,1400,225
9240,r074,"All fields -> Science -> Social sciences -> Other social sciences -> Urban studies, affairs",All fields,Science,Social sciences,Other social sciences,"Urban studies, affairs",5,350,75,200,75,150,50
9240,r075,"All fields -> Science -> Social sciences -> Other social sciences -> Social sciences, other",All fields,Science,Social sciences,Other social sciences,"Social sciences, other",5,2150,225,1100,175,1100,150
9240,r076,All fields -> Engineering,All fields,Engineering,,,,2,32450,900,15600,725,16850,750
9240,r077,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,3,1100,200,600,150,500,175
9240,r078,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,,3,3700,375,2050,300,1650,250
9240,r079,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,,3,5400,400,2550,325,2850,375
9240,r080,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,,3,8200,500,3800,375,4400,425
9240,r081,All fields -> Engineering -> Electrical and computer engineering -> Computer engineering,All fields,Engineering,Electrical and computer engineering,Computer engineering,,4,1100,150,550,150,550,125
9240,r082,"All fields -> Engineering -> Electrical and computer engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,Electrical and computer engineering,"Electrical, electronics, and communications engineering",,4,7100,500,3250,350,3800,425
9240,r083,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,,3,3700,375,1750,275,1900,300
9240,r084,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,,3,2900,275,1450,225,1450,200
9240,r085,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,,3,7450,400,3350,350,4100,325
9240,r086,All fields -> Engineering -> Other engineering -> Agricultural engineering,All fields,Engineering,Other engineering,Agricultural engineering,,4,300,50,150,50,150,50
9240,r087,All fields -> Engineering -> Other engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Other engineering,Bioengineering and biomedical engineering,,4,1050,175,600,175,450,125
9240,r088,"All fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",,4,950,150,450,100,500,125
9240,r089,All fields -> Engineering -> Other engineering -> Industrial and manufacturing engineering,All fields,Engineering,Other engineering,Industrial and manufacturing engineering,,4,2800,250,1100,200,1700,225
9240,r090,All fields -> Engineering -> Other engineering -> Nuclear engineering,All fields,Engineering,Other engineering,Nuclear engineering,,4,550,125,300,100,250,75
9240,r091,"All fields -> Engineering -> Other engineering -> Engineering, other",All fields,Engineering,Other engineering,"Engineering, other",,4,1750,175,700,125,1050,150
9240,r092,All fields -> Health,All fields,Health,,,,2,4350,350,1300,200,3000,300
9240,r093,All fields -> Health -> Communication disorders sciences and services,All fields,Health,Communication disorders sciences and services,,,3,200,75,,,200,75
9240,r094,All fields -> Health -> Hospital and medical administration services,All fields,Health,Hospital and medical administration services,,,3,200,75,150,75,50,25
9240,r095,"All fields -> Health -> Pharmacy, pharmaceutical sciences, and administration",All fields,Health,"Pharmacy, pharmaceutical sciences, and administration",,,3,550,125,250,100,300,100
9240,r096,All fields -> Health -> Public health,All fields,Health,Public health,,,3,1150,175,350,100,750,150
9240,r097,"All fields -> Health -> Registered nursing, nursing administration, nursing research",All fields,Health,"Registered nursing, nursing administration, nursing research",,,3,700,175,S,S,550,175
9240,r098,"All fields -> Health -> Health sciences, other",All fields,Health,"Health sciences, other",,,3,1550,175,400,100,1150,150
