table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_level_5,occupation_hierarchy_depth,field_all_degreesa_both_sexes,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_both_sexes,field_bachelor_s_female,field_bachelor_s_male,field_master_s_both_sexes,field_master_s_female,field_master_s_male,field_doctorate_both_sexes,field_doctorate_female,field_doctorate_male
3312,r001,All occupations,All occupations,,,,,1,28627000,13720000,14907000,16042000,7460000,8581000,8624000,4537000,4087000,1761000,742000,1019000
3312,r002,All occupations -> S&E occupations,All occupations,S&E occupations,,,,2,7466000,2193000,5274000,4176000,1034000,3142000,2286000,757000,1529000,938000,365000,573000
3312,r003,All occupations -> S&E occupations -> Science occupations,All occupations,S&E occupations,Science occupations,,,3,5545000,1883000,3662000,3017000,870000,2147000,1667000,631000,1036000,799000,345000,454000
3312,r004,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",,4,698000,337000,361000,277000,129000,148000,152000,83000,69000,254000,118000,137000
3312,r005,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Agricultural/ food scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Agricultural/ food scientist,5,58000,20000,38000,29000,9000,20000,15000,7000,8000,13000,4000,9000
3312,r006,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Biological and medical scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Biological and medical scientist,5,500000,249000,251000,206000,105000,101000,111000,62000,49000,174000,78000,96000
3312,r007,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Environmental life scientist",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Environmental life scientist,5,39000,13000,27000,28000,7000,21000,8000,5000,3000,3000,S,S
3312,r008,"All occupations -> S&E occupations -> Science occupations -> Biological, agricultural, and other life scientist -> Postsecondary teacher",All occupations,S&E occupations,Science occupations,"Biological, agricultural, and other life scientist",Postsecondary teacher,5,101000,55000,46000,15000,S,6000,19000,10000,9000,64000,34000,30000
3312,r009,All occupations -> S&E occupations -> Science occupations -> Computer and information scientist,All occupations,S&E occupations,Science occupations,Computer and information scientist,,4,3409000,820000,2589000,2277000,522000,1755000,1014000,269000,745000,107000,24000,82000
3312,r010,All occupations -> S&E occupations -> Science occupations -> Computer and information scientist -> Computer/ information scientist,All occupations,S&E occupations,Science occupations,Computer and information scientist,Computer/ information scientist,5,3379000,810000,2569000,2271000,520000,1751000,1001000,264000,737000,95000,21000,74000
3312,r011,All occupations -> S&E occupations -> Science occupations -> Computer and information scientist -> Postsecondary teacher,All occupations,S&E occupations,Science occupations,Computer and information scientist,Postsecondary teacher,5,30000,10000,20000,6000,2000,4000,13000,5000,8000,11000,3000,8000
3312,r012,All occupations -> S&E occupations -> Science occupations -> Mathematical scientist,All occupations,S&E occupations,Science occupations,Mathematical scientist,,4,365000,155000,210000,126000,46000,80000,154000,71000,84000,82000,36000,46000
