table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_hierarchy_depth,field_all_early_career_doctorates,field_position_type_faculty_total,field_position_type_faculty_tenured_faculty,field_position_type_faculty_tenure_track_faculty,field_position_type_faculty_non_tenure_track_faculty_with_rank,field_position_type_faculty_other_faculty_no_rank_or_tenurea,field_position_type_postdoctoral_scholarb,field_position_type_other_position_total,field_position_type_other_position_research_scientist_or_nonfaculty_researcher,field_position_type_other_position_all_other_positionsc
3656,r001,Number of early career doctorates,Number of early career doctorates,,,,1,186700,125600,27300,58500,13000,26800,36400,24700,10900,13800
3656,r002,Number of early career doctorates -> Origin of doctoral degree,Number of early career doctorates,Origin of doctoral degree,,,2,,,,,,,,,,
3656,r003,Number of early career doctorates -> Origin of doctoral degree -> U.S. degree,Number of early career doctorates,Origin of doctoral degree,U.S. degree,,3,86.6,93.5,95.7,92.7,89.9,94.5,62.1,88.3,77.5,96.9
3656,r004,Number of early career doctorates -> Origin of doctoral degree -> Non-U.S. degree,Number of early career doctorates,Origin of doctoral degree,Non-U.S. degree,,3,13.4,6.5,4.3,7.3,10.1,5.5,37.9,11.7,22.5,3.1
3656,r005,Number of early career doctorates -> Doctoral degree type,Number of early career doctorates,Doctoral degree type,,,2,,,,,,,,,,
3656,r006,Number of early career doctorates -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>d</sup>,Number of early career doctorates,Doctoral degree type,Professional degree or doctoral equivalent<sup>d</sup>,,3,8.4,8.3,3.6,3.4,22.2,16.9,1.9,18.6,1.4,32.2
3656,r007,Number of early career doctorates -> Doctoral degree type -> Research degree,Number of early career doctorates,Doctoral degree type,Research degree,,3,91.6,91.7,96.4,96.6,77.8,83.1,98.1,81.4,98.6,67.8
3656,r008,Number of early career doctorates -> Years since doctoral degree,Number of early career doctorates,Years since doctoral degree,,,2,,,,,,,,,,
3656,r009,Number of early career doctorates -> Years since doctoral degree -> Less than 2 years,Number of early career doctorates,Years since doctoral degree,Less than 2 years,,3,19.8,14.0,1.5,16.5,14.4,20.8,43.4,14.5,11.2,17.1
3656,r010,Number of early career doctorates -> Years since doctoral degree -> 2&#8211;5 years,Number of early career doctorates,Years since doctoral degree,2&#8211;5 years,,3,44.3,43.4,17.0,54.5,45.9,44.7,48.6,42.9,44.1,42.0
3656,r011,Number of early career doctorates -> Years since doctoral degree -> 6&#8211;10 years,Number of early career doctorates,Years since doctoral degree,6&#8211;10 years,,3,35.9,42.7,81.5,28.9,39.7,34.5,8.0,42.6,44.7,41.0
3656,r012,Number of early career doctorates -> Sex,Number of early career doctorates,Sex,,,2,,,,,,,,,,
3656,r013,Number of early career doctorates -> Sex -> Female,Number of early career doctorates,Sex,Female,,3,47.9,51.2,46.4,48.6,60.8,57.0,36.3,48.4,33.2,60.4
3656,r014,Number of early career doctorates -> Sex -> Male,Number of early career doctorates,Sex,Male,,3,52.1,48.8,53.6,51.4,39.2,43.0,63.7,51.6,66.8,39.6
3656,r015,Number of early career doctorates -> Citizenship and sex,Number of early career doctorates,Citizenship and sex,,,2,,,,,,,,,,
3656,r016,Number of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident,Number of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,,3,83.6,92.4,98.0,88.9,92.6,94.2,48.8,90.4,82.6,96.6
3656,r017,Number of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Female,Number of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Female,4,42.8,48.3,45.7,44.4,58.6,54.6,22.0,45.1,27.0,59.6
3656,r018,Number of early career doctorates -> Citizenship and sex -> U.S. citizen or permanent resident -> Male,Number of early career doctorates,Citizenship and sex,U.S. citizen or permanent resident,Male,4,40.8,44.1,52.3,44.5,33.9,39.6,26.8,45.3,55.6,37.1
3656,r019,Number of early career doctorates -> Citizenship and sex -> Temporary visa holder,Number of early career doctorates,Citizenship and sex,Temporary visa holder,,3,16.4,7.6,2.0,11.1,7.4,5.8,51.2,9.6,17.4,3.4
3656,r020,Number of early career doctorates -> Citizenship and sex -> Temporary visa holder -> Female,Number of early career doctorates,Citizenship and sex,Temporary visa holder,Female,4,5.1,2.8,0.7,4.2,2.1,2.4,14.3,3.2,6.3,0.8
3656,r021,Number of early career doctorates -> Citizenship and sex -> Temporary visa holder -> Male,Number of early career doctorates,Citizenship and sex,Temporary visa holder,Male,4,11.3,4.8,1.3,6.9,5.3,3.4,36.9,6.4,11.2,2.6
3656,r022,Number of early career doctorates -> Ethnicity and race,Number of early career doctorates,Ethnicity and race,,,2,,,,,,,,,,
3656,r023,Number of early career doctorates -> Ethnicity and race -> Hispanic or Latino<sup>e</sup>,Number of early career doctorates,Ethnicity and race,Hispanic or Latino<sup>e</sup>,,3,7.3,7.4,6.4,8.1,7.0,7.2,8.5,4.5,3.0,5.7
3656,r024,Number of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino,Number of early career doctorates,Ethnicity and race,Not Hispanic or Latino,,3,,,,,,,,,,
3656,r025,Number of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Asian,Number of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Asian,4,20.1,15.4,15.1,18.7,14.9,9.0,38.8,16.4,28.2,7.0
3656,r026,Number of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Black or African American,Number of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Black or African American,4,5.4,6.0,4.5,5.5,7.4,7.9,2.2,7.1,2.5,10.8
3656,r027,Number of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> White,Number of early career doctorates,Ethnicity and race,Not Hispanic or Latino,White,4,64.7,68.4,72.1,64.8,69.4,72.2,49.2,68.7,63.8,72.5
3656,r028,Number of early career doctorates -> Ethnicity and race -> Not Hispanic or Latino -> Other ethnicity and race,Number of early career doctorates,Ethnicity and race,Not Hispanic or Latino,Other ethnicity and race,4,2.5,2.7,1.9,2.9,1.3,3.7,1.3,3.3,2.5,3.9
3656,r029,Number of early career doctorates -> Age quartile,Number of early career doctorates,Age quartile,,,2,,,,,,,,,,
3656,r030,Number of early career doctorates -> Age quartile -> 32 years or younger,Number of early career doctorates,Age quartile,32 years or younger,,3,20.6,12.2,1.0,18.2,12.5,10.3,54.0,14.0,19.9,9.3
3656,r031,Number of early career doctorates -> Age quartile -> 33&#8211;35 years,Number of early career doctorates,Age quartile,33&#8211;35 years,,3,27.4,26.9,17.7,35.2,22.8,20.0,30.8,24.7,33.1,17.9
3656,r032,Number of early career doctorates -> Age quartile -> 36&#8211;40 years,Number of early career doctorates,Age quartile,36&#8211;40 years,,3,22.4,25.8,33.2,25.7,21.2,20.5,10.2,23.6,26.8,21.1
3656,r033,Number of early career doctorates -> Age quartile -> 41 years or older,Number of early career doctorates,Age quartile,41 years or older,,3,29.6,35.2,48.2,20.9,43.5,49.1,5.0,37.8,20.2,51.7
