table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_level_5,_b_characteristic_b_hierarchy_depth,field_all_fields,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7655,r001,Doctorate recipients reporting postgraduation status (number),Doctorate recipients reporting postgraduation status (number),,,,,1,47433,9606,1163,3277,2736,690,1740
7655,r002,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans,,,,2,28.9,10.5,6.7,5.8,16.0,11.2,12.9
7655,r003,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans,Doctorate recipients reporting postgraduation status (number),Definite employment plans,,,,2,41.0,55.7,71.5,64.8,44.8,39.9,51.3
7655,r004,Doctorate recipients reporting postgraduation status (number) -> Seeking employment or study,Doctorate recipients reporting postgraduation status (number),Seeking employment or study,,,,2,26.9,30.3,18.1,26.7,34.8,45.7,32.1
7655,r005,Doctorate recipients reporting postgraduation status (number) -> Other status<sup>b</sup>,Doctorate recipients reporting postgraduation status (number),Other status<sup>b</sup>,,,,2,3.1,3.5,3.5,2.7,4.3,3.3,3.7
7655,r006,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,,,,2,,,,,,,
7655,r007,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup> -> Postdoc fellowship or research associateship,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,Postdoc fellowship or research associateship,,,3,94.7,95.8,91.0,94.7,96.8,94.8,96.9
7655,r008,Doctorate recipients reporting postgraduation status (number) -> Definite postdoctoral training plans (%)<sup>c</sup> -> Other training or unknown<sup>d</sup>,Doctorate recipients reporting postgraduation status (number),Definite postdoctoral training plans (%)<sup>c</sup>,Other training or unknown<sup>d</sup>,,,3,5.3,4.2,9.0,5.3,3.2,5.2,3.1
7655,r009,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,,,,2,,,,,,,
7655,r010,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,,,3,38.4,62.2,75.5,54.7,66.3,60.7,62.6
7655,r011,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe -> In tenure track faculty position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,In tenure track faculty position (%),,4,45.4,44.2,80.6,28.3,35.1,35.3,52.3
7655,r012,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Academe -> Not in tenure track position (%),Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Academe,Not in tenure track position (%),,4,50.8,52.8,17.4,68.0,62.0,62.3,44.8
7655,r013,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Government,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Government,,,3,7.9,4.9,,4.3,3.7,,9.8
7655,r014,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Industry or business<sup>f</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Industry or business<sup>f</sup>,,,3,40.9,10.7,16.0,7.8,7.8,14.9,15.1
7655,r015,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Nonprofit organization,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Nonprofit organization,,,3,6.5,7.9,,5.9,12.9,,8.5
7655,r016,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Other or unknown<sup>g</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Other or unknown<sup>g</sup>,,,3,6.2,14.3,1.8,27.3,9.3,8.0,4.0
7655,r017,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,,,3,,,,,,,
7655,r018,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Research and development,,4,44.5,18.8,47.4,11.3,9.6,12.0,24.5
7655,r019,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Teaching,,4,25.5,46.4,31.7,40.2,66.6,62.2,42.3
7655,r020,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Management or administration,,4,9.4,20.7,10.9,34.8,10.2,9.7,14.7
7655,r021,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Primary activity<sup>h</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Primary activity<sup>h</sup>,Professional services and other,,4,20.6,14.0,9.9,13.6,13.6,16.2,18.5
7655,r022,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup>,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,,,3,,,,,,,
7655,r023,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Research and development,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Research and development,,4,24.1,29.9,32.1,24.7,34.2,30.9,34.1
7655,r024,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Teaching,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Teaching,,4,13.6,21.4,46.3,17.4,14.0,13.9,19.9
7655,r025,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Management or administration,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Management or administration,,4,12.1,10.5,5.4,11.4,12.1,8.9,11.1
7655,r026,Doctorate recipients reporting postgraduation status (number) -> Definite employment plans (%)<sup>e</sup> -> Secondary activity<sup>h</sup> -> Professional services and other,Doctorate recipients reporting postgraduation status (number),Definite employment plans (%)<sup>e</sup>,Secondary activity<sup>h</sup>,Professional services and other,,4,12.4,8.3,5.9,9.1,7.5,11.2,9.1
