table_id,row_id,time_to_degree_and_demographic_characteristic_full_path,time_to_degree_and_demographic_characteristic_level_1,time_to_degree_and_demographic_characteristic_level_2,time_to_degree_and_demographic_characteristic_level_3,time_to_degree_and_demographic_characteristic_level_4,time_to_degree_and_demographic_characteristic_hierarchy_depth,field_all_fields_median,field_all_fields_number,field_life_sciencesa_median,field_life_sciencesa_number,field_physical_sciences_and_earth_sciences_median,field_physical_sciences_and_earth_sciences_number,field_mathematics_and_computer_sciences_median,field_mathematics_and_computer_sciences_number,field_psychology_and_social_sciences_median,field_psychology_and_social_sciences_number,field_engineering_median,field_engineering_number,field_education_median,field_education_number,field_humanities_and_arts_median,field_humanities_and_arts_number,field_otherb_median,field_otherb_number
1760,r001,Years since bachelor's,Years since bachelor's,,,,1,,,,,,,,,,,,,,,,,,
1760,r002,All doctorate recipients<sup>c</sup>,All doctorate recipients<sup>c</sup>,,,,1,8.6,52342,8.2,12214,7.0,6072,7.6,3825,9.3,8401,7.3,9666,14.7,4600,11.0,4848,11.2,2716
1760,r003,All doctorate recipients<sup>c</sup> -> Sex,All doctorate recipients<sup>c</sup>,Sex,,,2,,,,,,,,,,,,,,,,,,
1760,r004,All doctorate recipients<sup>c</sup> -> Sex -> Male,All doctorate recipients<sup>c</sup>,Sex,Male,,3,8.3,28276,8.1,5397,7.0,4032,7.6,2896,9.4,3452,7.4,7348,14.4,1416,11.0,2406,11.3,1329
1760,r005,All doctorate recipients<sup>c</sup> -> Sex -> Female,All doctorate recipients<sup>c</sup>,Sex,Female,,3,9.1,24065,8.3,6816,6.7,2040,8.0,929,9.3,4949,7.0,2318,15.0,3184,11.0,2442,11.0,1387
1760,r006,All doctorate recipients<sup>c</sup> -> Citizenship status,All doctorate recipients<sup>c</sup>,Citizenship status,,,2,,,,,,,,,,,,,,,,,,
1760,r007,All doctorate recipients<sup>c</sup> -> Citizenship status -> U.S. citizen or permanent resident,All doctorate recipients<sup>c</sup>,Citizenship status,U.S. citizen or permanent resident,,3,9.0,34813,8.0,8874,6.6,3731,7.3,1710,9.3,6568,7.0,4170,15.3,3975,11.0,4071,12.3,1714
1760,r008,All doctorate recipients<sup>c</sup> -> Citizenship status -> Temporary visa holder,All doctorate recipients<sup>c</sup>,Citizenship status,Temporary visa holder,,3,8.3,17004,8.6,3244,7.3,2305,7.9,2070,9.3,1729,7.6,5420,12.0,581,10.9,692,9.9,963
1760,r009,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents),All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),,,2,,,,,,,,,,,,,,,,,,
1760,r010,All doctorate recipients<sup>c</sup> -> Ethnicity and race (U.S. citizens and permanent residents) -> Hispanic or Latino,All doctorate recipients<sup>c</sup>,Ethnicity and race (U.S. citizens and permanent residents),Hispanic or Latino,,3,8.9,2534,8.0,646,6.5,217,7.1,92,9.3,580,6.7,276,13.7,300,11.0,342,12.0,81
