table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
6115,r001,Institutions,Institutions,,,,1,31,4.4,25,3.5
6115,r002,Schools,Schools,,,,1,31,3.8,25,3.1
6115,r003,Units,Units,,,,1,35,0.2,29,0.1
6115,r004,All individuals,All individuals,,,,1,233,100.0,149,100.0
6115,r005,All individuals -> Male,All individuals,Male,,,2,197,84.5,124,83.2
6115,r006,All individuals -> Female,All individuals,Female,,,2,36,15.5,25,16.8
6115,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,78,33.5,na,na
6115,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,4,1.7,na,na
6115,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,
6115,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,0,0.0,na,na
6115,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,17,7.3,na,na
6115,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,0,0.0,na,na
6115,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,0,0.0,na,na
6115,r014,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,46,19.7,na,na
6115,r015,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,1,0.4,na,na
6115,r016,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,10,4.3,na,na
6115,r017,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,155,66.5,na,na
6115,r018,Primary source of support,Primary source of support,,,,1,,,,
6115,r019,Primary source of support -> Federal,Primary source of support,Federal,,,2,117,50.2,na,na
6115,r020,Primary source of support -> Nonfederal<sup>b</sup>,Primary source of support,Nonfederal<sup>b</sup>,,,2,88,37.8,na,na
6115,r021,Primary source of support -> Personal resources,Primary source of support,Personal resources,,,2,5,2.1,na,na
6115,r022,Primary source of support -> Unknown or not stated,Primary source of support,Unknown or not stated,,,2,23,9.9,na,na
6115,r023,Primary mechanism of support,Primary mechanism of support,,,,1,,,,
6115,r024,Primary mechanism of support -> Fellowships,Primary mechanism of support,Fellowships,,,2,16,6.9,na,na
6115,r025,Primary mechanism of support -> Research grants,Primary mechanism of support,Research grants,,,2,152,65.2,na,na
6115,r026,Primary mechanism of support -> Traineeships,Primary mechanism of support,Traineeships,,,2,1,0.4,na,na
6115,r027,Primary mechanism of support -> Other types of support,Primary mechanism of support,Other types of support,,,2,64,27.5,na,na
6115,r028,Degree type<sup>c</sup>,Degree type<sup>c</sup>,,,,1,,,,
6115,r029,Degree type<sup>c</sup> -> Doctoral degree,Degree type<sup>c</sup>,Doctoral degree,,,2,201,86.3,141,94.6
6115,r030,Degree type<sup>c</sup> -> Professional degree,Degree type<sup>c</sup>,Professional degree,,,2,6,2.6,5,3.4
6115,r031,Degree type<sup>c</sup> -> Dual degree,Degree type<sup>c</sup>,Dual degree,,,2,0,0.0,0,0.0
6115,r032,Degree type<sup>c</sup> -> Doctoral degree type unknown,Degree type<sup>c</sup>,Doctoral degree type unknown,,,2,26,11.2,3,2.0
6115,r033,Degree origin,Degree origin,,,,1,,,,
6115,r034,Degree origin -> United States,Degree origin,United States,,,2,105,45.1,na,na
6115,r035,Degree origin -> Foreign country,Degree origin,Foreign country,,,2,59,25.3,na,na
6115,r036,Degree origin -> Unknown,Degree origin,Unknown,,,2,69,29.6,na,na
