table_id,row_id,_b_field_and_country_or_economy_of_origin_b_full_path,_b_field_and_country_or_economy_of_origin_b_level_1,_b_field_and_country_or_economy_of_origin_b_level_2,_b_field_and_country_or_economy_of_origin_b_hierarchy_depth,field_temporary_residents_doctorate_recipients_number_2010_13,field_temporary_residents_doctorate_recipients_number_2014_17,field_temporary_residents_doctorate_recipients_number_2018_21,field_temporary_residents_plans_to_stay_2010_13,field_temporary_residents_plans_to_stay_2014_17,field_temporary_residents_plans_to_stay_2018_21,field_temporary_residents_definite_commitments_to_stay_2010_13,field_temporary_residents_definite_commitments_to_stay_2014_17,field_temporary_residents_definite_commitments_to_stay_2018_21
11025,r001,All SEH fields,All SEH fields,,1,50024,56170,62197,72.9,74.9,74.6,46.9,45.4,52.6
11025,r002,All SEH fields -> Agricultural sciences and natural resources,All SEH fields,Agricultural sciences and natural resources,2,1929,2227,2429,62.1,62.2,64.3,36.5,34.3,41.5
11025,r003,All SEH fields -> Biological and biomedical sciences,All SEH fields,Biological and biomedical sciences,2,8528,8979,8477,80.5,80.0,80.0,51.8,48.4,55.8
11025,r004,All SEH fields -> Computer and information sciences,All SEH fields,Computer and information sciences,2,3379,4429,5366,78.2,83.5,81.1,53.3,56.8,63.3
11025,r005,All SEH fields -> Engineering,All SEH fields,Engineering,2,17144,19948,22846,77.1,79.3,78.9,47.3,45.7,53.5
11025,r006,"All SEH fields -> Geosciences, atmospheric sciences, and ocean sciences",All SEH fields,"Geosciences, atmospheric sciences, and ocean sciences",2,1068,1355,1555,70.6,69.0,72.5,50.6,46.8,48.4
11025,r007,All SEH fields -> Health sciences,All SEH fields,Health sciences,2,1872,1910,2345,66.9,68.5,64.9,41.1,40.2,44.6
11025,r008,All SEH fields -> Mathematics and statistics,All SEH fields,Mathematics and statistics,2,2966,3317,3990,71.8,74.8,73.6,50.5,51.9,57.4
11025,r009,All SEH fields -> Physical sciences,All SEH fields,Physical sciences,2,6762,7413,7784,76.9,77.8,77.2,51.6,45.2,54.7
11025,r010,All SEH fields -> Psychology,All SEH fields,Psychology,2,1044,1100,1214,60.3,62.7,64.9,39.8,41.0,48.4
11025,r011,All SEH fields -> Social sciences,All SEH fields,Social sciences,2,5332,5492,6191,48.0,50.7,52.9,32.3,33.9,39.1
11025,r012,Country or economy of origin,Country or economy of origin,,1,,,,,,,,,
11025,r013,Country or economy of origin -> China<sup>a</sup>,Country or economy of origin,China<sup>a</sup>,2,15458,19908,22736,83.5,82.6,79.8,52.7,49.9,57.1
11025,r014,Country or economy of origin -> India,Country or economy of origin,India,2,8246,8296,8069,85.4,87.1,87.6,54.9,51.6,61.6
11025,r015,Country or economy of origin -> Iran,Country or economy of origin,Iran,2,995,2463,3382,87.5,90.9,92.3,59.2,53.3,63.0
11025,r016,Country or economy of origin -> South Korea,Country or economy of origin,South Korea,2,4305,3554,3039,63.8,66.6,67.5,41.3,41.6,50.3
11025,r017,Country or economy of origin -> Taiwan,Country or economy of origin,Taiwan,2,2223,2006,1661,69.4,77.3,78.9,40.9,44.5,54.9
11025,r018,Country or economy of origin -> Saudi Arabia,Country or economy of origin,Saudi Arabia,2,154,581,1558,14.3,12.2,13.7,6.5,4.3,4.4
11025,r019,Country or economy of origin -> Bangladesh,Country or economy of origin,Bangladesh,2,302,675,1292,82.1,88.3,87.5,46.7,49.9,60.6
11025,r020,Country or economy of origin -> Canada,Country or economy of origin,Canada,2,1277,1199,1167,60.5,61.4,65.4,44.5,43.0,52.1
11025,r021,Country or economy of origin -> Turkey,Country or economy of origin,Turkey,2,1570,1518,1264,62.7,63.6,67.6,42.4,40.4,48.4
11025,r022,Country or economy of origin -> Nepal,Country or economy of origin,Nepal,2,401,742,912,87.3,88.9,92.1,52.1,50.8,56.6
11025,r023,Country or economy of origin -> Brazil,Country or economy of origin,Brazil,2,525,520,896,47.2,55.4,66.3,31.0,39.8,53.3
11025,r024,Country or economy of origin -> Mexico,Country or economy of origin,Mexico,2,659,652,689,56.1,60.4,70.1,36.3,37.1,49.5
11025,r025,Country or economy of origin -> Colombia,Country or economy of origin,Colombia,2,543,647,650,56.9,62.6,62.2,35.4,41.1,44.0
11025,r026,Country or economy of origin -> Sri Lanka,Country or economy of origin,Sri Lanka,2,387,533,640,79.1,79.7,82.8,45.7,44.5,49.4
11025,r027,Country or economy of origin -> Unknown foreign country,Country or economy of origin,Unknown foreign country,2,368,363,1248,37.8,36.1,51.8,20.1,25.3,35.4
11025,r028,Country or economy of origin -> Other,Country or economy of origin,Other,2,12611,12513,12994,60.2,60.3,63.3,40.3,37.7,44.0
