table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_hhs_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8008,r001,All institutions,All institutions,,1,-,"['27,532,379', '']","['139,417', '']","['53,852', '']","['24,181,089', '']","['68,098', '']","['642,915', '']","['584,427', '']","['407,047', '']","['104,218', '']","['1,028,791', '']","['322,525', '']"
8008,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['722,250', '']","['6,828', '']","['7,474', '']","['652,317', '']","['504', '']","['4,459', '']","['4,476', '']","['8', '']","['501', '']","['45,630', '']","['53', '']"
8008,r003,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,2,"['694,428', '']","['1,712', '']","['1,978', '']","['614,581', '']","['1,492', '']","['12,601', '']","['5,412', '']","['2,760', '']","['0', '']","['27,430', '']","['26,462', '']"
8008,r004,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,3,"['663,458', '']","['836', '']","['0', '']","['621,813', '']","['1,731', '']","['8,756', '']","['4,770', '']","['4,392', '']","['0', '']","['18,376', '']","['2,784', '']"
8008,r005,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,4,"['642,785', '']","['566', '']","['961', '']","['588,392', '']","['97', '']","['7,080', '']","['2,913', '']","['126', '']","['0', '']","['20,836', '']","['21,814', '']"
8008,r006,All institutions -> Duke U.,All institutions,Duke U.,2,5,"['634,171', '']","['686', '']","['0', '']","['573,622', '']","['1,810', '']","['4,863', '']","['4,460', '']","['16,290', '']","['0', '']","['32,012', '']","['428', '']"
8008,r007,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,6,"['630,137', '']","['0', '']","['0', '']","['600,492', '']","['0', '']","['29,288', '']","['0', '']","['0', '']","['357', '']","['0', '']","['0', '']"
8008,r008,"All institutions -> U. Pittsburgh, Pittsburgh",All institutions,"U. Pittsburgh, Pittsburgh",2,7,"['623,521', '']","['2,149', '']","['5,887', '']","['577,410', '']","['567', '']","['3,906', '']","['14,154', '']","['1,529', '']","['1,378', '']","['13,369', '']","['3,172', '']"
8008,r009,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,8,"['608,464', '']","['1,833', '']","['67', '']","['511,610', '']","['748', '']","['9,329', '']","['4,666', '']","['57,801', '']","['41', '']","['20,197', '']","['2,172', '']"
8008,r010,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,9,"['603,949', '']","['12,276', '']","['694', '']","['534,000', '']","['912', '']","['8,157', '']","['11,766', '']","['13,802', '']","['0', '']","['11,974', '']","['10,368', '']"
