table_id,row_id,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_age_disability_status_and_sex_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_4_year_educational_institutiona_tenured,field_4_year_educational_institutiona_not_tenured_on_tenure_track,field_4_year_educational_institutiona_not_tenured_not_on_tenure_track,field_4_year_educational_institutiona_tenure_not_applicable,field_other_employment_sectors_other_educational_institutionb,field_other_employment_sectors_private_sector_for_profitc,field_other_employment_sectors_private_sector_nonprofit,field_other_employment_sectors_federal_government,field_other_employment_sectors_state_or_local_government,field_other_employment_sectors_self_employedd,field_other_employment_sectors_othere
3380,r001,All occupations,All occupations,,,,,,1,857200,160500,50850,52200,80800,30900,307550,55900,50150,18850,40750,8850
3380,r002,All occupations -> Under age 40,All occupations,Under age 40,,,,,2,227850,10300,31550,17600,29900,5050,97500,15300,11550,4450,2850,1800
3380,r003,All occupations -> Under age 40 -> Without disability,All occupations,Under age 40,Without disability,,,,3,216450,9900,29550,16550,27900,4700,93650,14500,11050,4200,2700,1650
3380,r004,All occupations -> Under age 40 -> With disability,All occupations,Under age 40,With disability,,,,3,11400,350,2000,1000,2000,350,3850,800,500,200,200,150
3380,r005,All occupations -> Age 40 and over,All occupations,Age 40 and over,,,,,2,629400,150200,19350,34600,50900,25850,210000,40650,38550,14400,37850,7000
3380,r006,All occupations -> Age 40 and over -> Without disability,All occupations,Age 40 and over,Without disability,,,,3,570450,134200,17550,31400,45950,23300,192950,37300,35000,13000,33450,6350
3380,r007,All occupations -> Age 40 and over -> With disability,All occupations,Age 40 and over,With disability,,,,3,58900,16000,1800,3200,4950,2550,17050,3350,3550,1400,4450,650
3380,r008,All occupations -> Female,All occupations,Female,,,,,2,311200,50350,21600,22500,38050,16600,88250,24800,19000,7900,19000,3200
3380,r009,All occupations -> Female -> Under age 40,All occupations,Female,Under age 40,,,,3,94500,4100,13050,8000,14950,3100,33150,7650,5850,2000,1800,800
3380,r010,All occupations -> Female -> Under age 40 -> Without disability,All occupations,Female,Under age 40,Without disability,,,4,90150,3950,12250,7650,14150,2900,32000,7300,5650,1850,1700,750
3380,r011,All occupations -> Female -> Under age 40 -> With disability,All occupations,Female,Under age 40,With disability,,,4,4350,150,800,350,800,200,1150,350,200,150,100,S
3380,r012,All occupations -> Female -> Age 40 and over,All occupations,Female,Age 40 and over,,,,3,216700,46250,8500,14500,23100,13500,55050,17150,13100,5900,17200,2400
3380,r013,All occupations -> Female -> Age 40 and over -> Without disability,All occupations,Female,Age 40 and over,Without disability,,,4,198300,41450,7450,13250,21350,12400,51200,15750,12150,5450,15600,2250
3380,r014,All occupations -> Female -> Age 40 and over -> With disability,All occupations,Female,Age 40 and over,With disability,,,4,18400,4800,1050,1250,1800,1100,3850,1400,950,450,1600,100
