table_id,row_id,field_and_demographic_characteristic_full_path,field_and_demographic_characteristic_level_1,field_and_demographic_characteristic_level_2,field_and_demographic_characteristic_level_3,field_and_demographic_characteristic_level_4,field_and_demographic_characteristic_level_5,field_and_demographic_characteristic_hierarchy_depth,field_median_age_at_doctorate_years_,field_all_ages,field_25_and_under,field_26_30,field_31_35,field_36_40,field_41_45,field_over_45
7549,r001,Doctorate recipients reporting birth year,Doctorate recipients reporting birth year,,,,,1,31.4,100.0,0.8,44.7,30.9,11.6,5.1,6.9
7549,r002,Doctorate recipients reporting birth year -> Science and engineering ,Doctorate recipients reporting birth year,Science and engineering ,,,,2,30.8,100.0,0.9,51.7,30.3,9.3,3.6,4.2
7549,r003,Doctorate recipients reporting birth year -> Science and engineering  -> Agricultural sciences and natural resources,Doctorate recipients reporting birth year,Science and engineering ,Agricultural sciences and natural resources,,,3,31.7,100.0,0.7,42.5,34.8,11.8,5.8,4.5
7549,r004,Doctorate recipients reporting birth year -> Science and engineering  -> Biological and biomedical sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Biological and biomedical sciences  ,,,3,30.4,100.0,0.7,55.7,31.8,7.9,2.3,1.5
7549,r005,Doctorate recipients reporting birth year -> Science and engineering  -> Computer and information sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Computer and information sciences  ,,,3,31.3,100.0,1.2,45.3,35.2,9.4,4.4,4.6
7549,r006,Doctorate recipients reporting birth year -> Science and engineering  -> Engineering  ,Doctorate recipients reporting birth year,Science and engineering ,Engineering  ,,,3,30.2,100.0,1.3,58.9,28.0,7.4,2.2,2.2
7549,r007,"Doctorate recipients reporting birth year -> Science and engineering  -> Geosciences, atmospheric, and ocean sciences  ",Doctorate recipients reporting birth year,Science and engineering ,"Geosciences, atmospheric, and ocean sciences  ",,,3,30.7,100.0,0.7,53.4,32.1,7.4,4.2,2.2
7549,r008,Doctorate recipients reporting birth year -> Science and engineering  -> Health sciences  ,Doctorate recipients reporting birth year,Science and engineering ,Health sciences  ,,,3,34.5,100.0,0.6,26.4,29.2,15.1,9.6,19.1
7549,r009,Doctorate recipients reporting birth year -> Science and engineering  -> Mathematics and statistics  ,Doctorate recipients reporting birth year,Science and engineering ,Mathematics and statistics  ,,,3,29.4,100.0,1.9,64.2,24.7,6.0,1.8,1.6
7549,r010,Doctorate recipients reporting birth year -> Science and engineering  -> Multidisciplinary/ interdisciplinary sciences,Doctorate recipients reporting birth year,Science and engineering ,Multidisciplinary/ interdisciplinary sciences,,,3,31.6,100.0,1.0,43.2,31.8,12.6,5.6,5.7
