table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_totala,field_u_s_citizen,field_non_u_s_citizen,field_hispanic_or_latino_u_s_citizen,field_hispanic_or_latino_non_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_u_s_citizen,field_not_hispanic_or_latino_american_indian_or_alaska_native_non_u_s_citizen,field_not_hispanic_or_latino_asian_u_s_citizen,field_not_hispanic_or_latino_asian_non_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_u_s_citizen,field_not_hispanic_or_latino_black_or_african_american_non_u_s_citizen,field_not_hispanic_or_latino_white_u_s_citizen,field_not_hispanic_or_latino_white_non_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_u_s_citizen,field_not_hispanic_or_latino_more_than_one_race_non_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_u_s_citizen,field_not_hispanic_or_latino_other_race_or_race_not_reported_non_u_s_citizen,field_ethnicity_not_reported_u_s_citizen,field_ethnicity_not_reported_non_u_s_citizen
9638,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,52232,33465,18521,3202,1240,83,8,3424,12597,2522,721,22561,3475,1191,121,301,218,181,141
9638,r002,All doctorate recipients (number) -> Definite postdoctoral training plans,All doctorate recipients (number),Definite postdoctoral training plans,,,2,28.1,27.0,30.1,28.2,34.4,28.9,,26.0,30.9,18.4,20.9,27.9,28.0,31.5,,21.3,24.3,17.7,24.8
9638,r003,All doctorate recipients (number) -> Definite employment plans,All doctorate recipients (number),Definite employment plans,,,2,44.9,45.4,43.8,43.8,40.1,51.8,,42.3,44.0,52.0,44.8,45.6,43.5,42.1,,40.9,53.2,46.4,51.8
9638,r004,All doctorate recipients (number) -> Seeking employment or study,All doctorate recipients (number),Seeking employment or study,,,2,23.5,23.3,23.9,23.5,23.4,9.6,,25.6,23.3,24.9,32.2,22.9,25.2,20.4,,27.6,16.5,24.9,17.7
9638,r005,All doctorate recipients (number) -> Other status<sup>b</sup>,All doctorate recipients (number),Other status<sup>b</sup>,,,2,3.4,4.1,2.1,4.3,1.9,8.4,0.0,5.9,1.8,4.5,1.8,3.5,3.1,5.6,3.3,9.6,6.0,9.9,5.7
9638,r006,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup>,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,,,2,,,,,,,,,,,,,,,,,,,
9638,r007,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,,3,34.7,37.4,29.6,41.3,46.3,48.8,,26.2,25.8,40.0,31.3,38.3,36.7,34.7,,36.6,,25.0,17.8
9638,r008,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe -> In tenure track faculty position (%),All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,In tenure track faculty position (%),4,43.5,35.2,63.1,39.0,58.3,57.1,,44.2,67.2,41.9,47.5,32.5,57.3,42.5,,33.3,,33.3,53.8
9638,r009,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Academe -> Not in tenure track position (%),All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Academe,Not in tenure track position (%),4,53.6,62.6,32.3,59.4,37.0,38.1,,52.9,29.6,55.2,47.5,65.4,35.5,56.9,17.9,64.4,,52.4,15.4
9638,r010,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Government,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Government,,3,7.0,9.3,2.9,7.7,3.4,,,6.4,2.4,12.7,6.5,9.3,2.9,11.0,,,,10.7,8.2
9638,r011,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Industry or business<sup>d</sup>,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Industry or business<sup>d</sup>,,3,46.0,37.6,61.7,34.6,42.9,16.3,,56.6,67.5,24.4,49.2,37.1,52.3,37.5,38.2,33.3,,41.7,56.2
9638,r012,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Nonprofit organization,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Nonprofit organization,,3,6.5,8.1,3.6,8.8,4.2,,,7.0,2.8,10.5,10.8,7.9,4.4,9.8,,,,4.8,4.1
9638,r013,All doctorate recipients (number) -> Definite employment plans (%)<sup>c</sup> -> Other or unknown<sup>e</sup>,All doctorate recipients (number),Definite employment plans (%)<sup>c</sup>,Other or unknown<sup>e</sup>,,3,5.8,7.6,2.2,7.6,3.2,14.0,0.0,3.8,1.5,12.3,2.2,7.4,3.7,7.2,0.0,6.5,7.8,17.9,13.7
