table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2016,field_2017,field_2018,field_2019_all_social_sciences,field_2019_anthropology,field_2019_economics,field_2019_political_science_and_government,field_2019_sociology_demography_and_population_studies,field_2019_social_sciences_nec
3154,r001,All institutions,All institutions,,1,-,"['899,220', '']","['932,481', '']","['937,744', '']","['936,238', '']","['42,816', '']","['91,072', '']","['86,244', '']","['289,433', '']","['426,673', '']"
3154,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['86,171', '']","['106,574', '']","['100,114', '']","['91,183', '']","['1,009', '']","['24,769', '']","['11,048', '']","['15,616', '']","['38,741', '']"
3154,r003,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,2,"['73,124', '']","['86,345', '']","['91,658', '']","['84,279', '']","['9', '']","['168', '']","['2,276', '']","['76,507', '']","['5,319', '']"
3154,r004,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,3,"['na', '']","['na', '']","['na', '']","['38,235', '']","['848', '']","['343', '']","['2,074', '']","['3,568', '']","['31,402', '']"
3154,r005,All institutions -> U. Southern California,All institutions,U. Southern California,2,4,"['15,888', '']","['18,027', '']","['20,665', '']","['25,317', '']","['0', '']","['381', '']","['15', '']","['7', '']","['24,914', '']"
3154,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['15,823', '']","['23,808', '']","['24,768', '']","['25,188', '']","['43', '']","['1,238', '']","['1,495', '']","['986', '']","['21,426', '']"
3154,r007,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,6,"['17,544', '']","['15,310', '']","['18,301', '']","['22,385', '']","['3,206', '']","['1,101', '']","['1,734', '']","['2,269', '']","['14,075', '']"
3154,r008,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,7,"['19,403', '']","['19,454', '']","['21,506', '']","['19,987', '']","['38', '']","['383', '']","['553', '']","['4,141', '']","['14,872', '']"
3154,r009,All institutions -> Duke U.,All institutions,Duke U.,2,8,"['18,946', '']","['21,311', '']","['20,189', '']","['19,689', '']","['831', '']","['2,167', '']","['6,750', '']","['8,909', '']","['1,032', '']"
3154,r010,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,9,"['12,849', '']","['14,147', '']","['17,953', '']","['18,611', '']","['124', '']","['79', '']","['0', '']","['7,543', '']","['10,865', '']"
3154,r011,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,10,"['19,401', '']","['19,720', '']","['17,575', '']","['17,160', '']","['299', '']","['2,310', '']","['3,224', '']","['10,614', '']","['713', '']"
3154,r012,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,11,"['16,373', '']","['15,142', '']","['15,056', '']","['14,723', '']","['86', '']","['437', '']","['171', '']","['12,814', '']","['1,215', '']"
3154,r013,"All institutions -> U. South Florida, Tampa",All institutions,"U. South Florida, Tampa",2,12,"['20,884', '']","['20,699', '']","['11,837', '']","['14,684', '']","['435', '']","['0', '']","['0', '']","['1,629', '']","['12,620', '']"
3154,r014,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,13,"['7,920', '']","['11,287', '']","['11,913', '']","['13,373', '']","['64', '']","['795', '']","['0', '']","['9,952', '']","['2,562', '']"
3154,r015,All institutions -> Brown U.,All institutions,Brown U.,2,14,"['2,666', '']","['4,463', '']","['7,936', '']","['13,087', '']","['0', '']","['170', '']","['0', '']","['112', '']","['12,805', '']"
3154,r016,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,15,"['20,856', '']","['18,471', '']","['12,966', '']","['11,862', '']","['2,122', '']","['566', '']","['426', '']","['8,748', '']","['0', '']"
3154,r017,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,16,"['13,825', '']","['11,924', '']","['9,557', '']","['10,773', '']","['0', '']","['3,987', '']","['529', '']","['1,349', '']","['4,908', '']"
3154,r018,"All institutions -> Indiana U., Bloomington",All institutions,"Indiana U., Bloomington",2,17,"['7,623', '']","['8,627', '']","['9,127', '']","['10,425', '']","['120', '']","['974', '']","['4,010', '']","['1,091', '']","['4,230', '']"
3154,r019,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,18,"['7,225', '']","['7,242', '']","['7,979', '']","['9,867', '']","['227', '']","['166', '']","['256', '']","['662', '']","['8,556', '']"
3154,r020,All institutions -> Cornell U.,All institutions,Cornell U.,2,19,"['13,647', '']","['13,661', '']","['11,736', '']","['9,839', '']","['90', '']","['2,028', '']","['67', '']","['5,696', '']","['1,958', '']"
3154,r021,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,20,"['8,189', '']","['7,507', '']","['11,416', '']","['9,826', '']","['0', '']","['0', '']","['118', '']","['1,189', '']","['8,519', '']"
3154,r022,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,21,"['6,042', '']","['7,168', '']","['9,652', '']","['9,649', '']","['803', '']","['2,639', '']","['233', '']","['947', '']","['5,027', '']"
3154,r023,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,22,"['7,090', '']","['9,029', '']","['9,066', '']","['9,604', '']","['461', '']","['177', '']","['253', '']","['6,677', '']","['2,036', '']"
3154,r024,"All institutions -> U. Oklahoma, Norman and Health Science Center",All institutions,"U. Oklahoma, Norman and Health Science Center",2,23,"['8,512', '']","['8,134', '']","['8,099', '']","['9,485', '']","['2,820', '']","['32', '']","['849', '']","['0', '']","['5,784', '']"
3154,r025,All institutions -> Brandeis U.,All institutions,Brandeis U.,2,24,"['13,264', '']","['9,821', '']","['7,395', '']","['9,093', '']","['0', '']","['0', '']","['142', '']","['8,951', '']","['0', '']"
3154,r026,All institutions -> U. Chicago,All institutions,U. Chicago,2,25,"['6,963', '']","['8,054', '']","['8,647', '']","['9,073', '']","['79', '']","['2,302', '']","['1,106', '']","['3,001', '']","['2,585', '']"
3154,r027,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,26,"['7,313', '']","['7,533', '']","['7,671', '']","['8,342', '']","['303', '']","['780', '']","['223', '']","['3,602', '']","['3,434', '']"
3154,r028,All institutions -> George Washington U.,All institutions,George Washington U.,2,27,"['8,201', '']","['9,356', '']","['9,194', '']","['8,306', '']","['1,221', '']","['487', '']","['203', '']","['1,860', '']","['4,535', '']"
3154,r029,All institutions -> Johns Hopkins U.<sup>b</sup>,All institutions,Johns Hopkins U.<sup>b</sup>,2,28,"['8,242', '']","['9,345', '']","['6,083', '']","['7,453', '']","['22', '']","['0', '']","['0', '']","['6,888', '']","['543', '']"
3154,r030,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,29,"['4,067', '']","['3,601', '']","['4,918', '']","['7,399', '']","['2,557', '']","['1,011', '']","['229', '']","['2,408', '']","['1,194', '']"
3154,r031,"All institutions -> U. Maryland, Baltimore County",All institutions,"U. Maryland, Baltimore County",2,30,"['7,196', '']","['6,175', '']","['7,698', '']","['7,192', '']","['0', '']","['88', '']","['178', '']","['620', '']","['6,306', '']"
3154,r032,All institutions -> American U.,All institutions,American U.,2,31,"['3,522', '']","['3,492', '']","['4,905', '']","['7,055', '']","['0', '']","['540', '']","['558', '']","['1,731', '']","['4,226', '']"
3154,r033,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,32,"['2,819', '']","['3,821', '']","['5,467', '']","['6,886', '']","['3', '']","['920', '']","['39', '']","['5,623', '']","['301', '']"
3154,r034,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,33,"['12,027', '']","['11,349', '']","['10,318', '']","['6,874', '']","['37', '']","['2', '']","['1,401', '']","['4,584', '']","['850', '']"
3154,r035,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,34,"['5,003', '']","['6,612', '']","['6,057', '']","['6,863', '']","['0', '']","['89', '']","['5,954', '']","['0', '']","['820', '']"
3154,r036,All institutions -> Northwestern U.,All institutions,Northwestern U.,2,35,"['8,892', '']","['7,225', '']","['5,326', '']","['6,433', '']","['62', '']","['405', '']","['0', '']","['1', '']","['5,965', '']"
3154,r037,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,36,"['9,193', '']","['6,402', '']","['5,761', '']","['6,390', '']","['75', '']","['2,841', '']","['662', '']","['355', '']","['2,457', '']"
