table_id,row_id,ranka,budget_function,2017_actualb,2018_actual,2019_actual,2020_actual,2021_preliminary,2022_proposed
5992,r001,,All functions conducting R&D,100.0,100.0,100.0,100.0,100.0,100.0
5992,r002,1,National defense (050),45.2,47.7,48.0,48.2,48.1,43.9
5992,r003,2,Health (550),27.0,25.8,26.0,26.2,26.3,28.5
5992,r004,3,"Space flight, research, and supporting activities (252)",8.0,7.3,6.8,8.4,7.6,7.7
5992,r005,4,General science and basic research (251),8.9,8.7,8.8,8.0,8.3,8.6
5992,r006,5,Energy (270),2.8,2.9,3.0,2.7,2.7,3.6
5992,r007,6,Natural resources and environment (300),2.0,1.8,1.9,1.7,1.8,2.1
5992,r008,7,Agriculture (350),1.8,1.6,1.8,1.6,1.6,1.8
5992,r009,8,Transportation (400),1.2,1.1,1.1,1.0,1.0,1.1
5992,r010,9,Veterans benefits and services (700),1.1,0.9,0.9,0.8,0.9,0.8
5992,r011,10,Commerce and housing credit (370),0.8,0.8,0.6,0.6,0.7,0.7
5992,r012,11,"Education, training, employment, and social services (500) ",0.4,0.4,0.4,0.3,0.5,0.5
5992,r013,12,Administration of justice (750),0.6,0.5,0.4,0.3,0.3,0.3
5992,r014,13,International affairs (150),0.2,0.2,0.2,0.1,0.1,0.1
5992,r015,14,Income security (600),0.1,0.1,0.1,0.1,0.1,0.1
5992,r016,15,Community and regional development (450),0.1,0.1,0.1,0.1,0.1,0.1
5992,r017,16,Medicare (570),0.05,0.05,0.05,0.05,0.05,0.05
