table_id,row_id,education_system_full_path,education_system_level_1,education_system_level_2,education_system_hierarchy_depth,field_average_score,field_percentilea_10th_percentile_score,field_percentilea_90th_percentile_score,field_percentilea_90th_10th_percentile_score_gap,field_oecd_country_and_education_system
4098,r001,<b>OECD average</b>,<b>OECD average</b>,,1,"['489', '<b>*</b>']",365,609,"['244', '<b>*</b>']",na
4098,r002,<b>OECD average</b> -> B-S-J-Z (China),<b>OECD average</b>,B-S-J-Z (China),2,"['590', '*']",482,695,"['213', '*']",No
4098,r003,<b>OECD average</b> -> Singapore,<b>OECD average</b>,Singapore,2,"['551', '*']",416,670,"['254', '&nbsp;']",No
4098,r004,<b>OECD average</b> -> Macau (China),<b>OECD average</b>,Macau (China),2,"['544', '*']",434,648,"['214', '*']",No
4098,r005,<b>OECD average</b> -> Estonia,<b>OECD average</b>,Estonia,2,"['530', '*']",417,644,"['227', '*']",Yes
4098,r006,<b>OECD average</b> -> Japan,<b>OECD average</b>,Japan,2,"['529', '*']",405,646,"['241', '*']",Yes
4098,r007,<b>OECD average</b> -> Finland,<b>OECD average</b>,Finland,2,"['522', '*']",393,643,"['250', '&nbsp;']",Yes
4098,r008,<b>OECD average</b> -> South Korea,<b>OECD average</b>,South Korea,2,"['519', '*']",388,642,"['254', '&nbsp;']",Yes
4098,r009,<b>OECD average</b> -> Canada,<b>OECD average</b>,Canada,2,"['518', '*']",393,640,"['247', '&nbsp;']",Yes
4098,r010,<b>OECD average</b> -> Hong Kong (China),<b>OECD average</b>,Hong Kong (China),2,"['517', '*']",401,623,"['223', '*']",No
4098,r011,<b>OECD average</b> -> Chinese Taipei,<b>OECD average</b>,Chinese Taipei,2,"['516', '*']",382,641,"['259', '&nbsp;']",No
4098,r012,<b>OECD average</b> -> Poland,<b>OECD average</b>,Poland,2,"['511', '*']",392,630,"['238', '*']",Yes
4098,r013,<b>OECD average</b> -> New Zealand,<b>OECD average</b>,New Zealand,2,"['508', '  ']",371,640,"['269', '&nbsp;']",Yes
