table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_fields,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_othera
7653,r001,All doctorate recipients (number)<sup>b</sup>,All doctorate recipients (number)<sup>b</sup>,,,,1,52250,10894,1340,3711,3076,771,1996
7653,r002,All doctorate recipients (number)<sup>b</sup> -> Sex (%),All doctorate recipients (number)<sup>b</sup>,Sex (%),,,2,,,,,,,
7653,r003,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>b</sup>,Sex (%),Male,,3,53.7,42.9,56.4,29.9,52.6,45.3,42.0
7653,r004,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>b</sup>,Sex (%),Female,,3,46.2,57.1,43.6,70.0,47.3,54.7,58.0
7653,r005,All doctorate recipients (number)<sup>b</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Sex (%),Unknown,,3,0.05,0.05,0.0,0.05,0.1,0.0,0.0
7653,r006,All doctorate recipients (number)<sup>b</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>b</sup>,Citizenship status (%),,,2,,,,,,,
7653,r007,All doctorate recipients (number)<sup>b</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,60.6,71.3,44.0,79.8,76.0,74.1,65.4
7653,r008,All doctorate recipients (number)<sup>b</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Citizenship status (%),Temporary visa holder,,3,33.8,21.8,48.1,13.4,17.8,19.1,27.3
7653,r009,All doctorate recipients (number)<sup>b</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Citizenship status (%),Unknown,,3,5.6,6.9,7.9,6.8,6.2,6.9,7.3
7653,r010,All doctorate recipients (number)<sup>b</sup> -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Marital status (%),,,2,,,,,,,
7653,r011,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Never married,,3,35.2,22.8,26.3,17.1,25.2,28.5,24.9
7653,r012,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Married,,3,39.6,48.4,46.8,54.6,45.5,42.2,44.7
7653,r013,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Marriage-like relationship,,3,9.9,8.1,5.2,5.3,11.3,12.3,8.3
7653,r014,"All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Marital status (%),"Separated, divorced, widowed",,3,3.2,5.8,5.1,7.7,4.3,3.8,6.1
7653,r015,All doctorate recipients (number)<sup>b</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Marital status (%),Unknown,,3,12.2,14.9,16.6,15.2,13.6,13.2,16.0
7653,r016,All doctorate recipients (number)<sup>b</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>b</sup>,Has dependent age 18 or younger (%),,,2,21.3,34.2,32.4,44.5,27.0,21.5,32.4
7653,r017,All doctorate recipients (number)<sup>b</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>b</sup>,Has one or more functional limitations (%),,,2,11.3,13.3,9.2,12.2,15.2,15.1,14.6
7653,r018,All doctorate recipients (number)<sup>b</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Age at doctorate (median years),,,2,31.4,35.8,33.9,38.8,34.6,33.9,35.3
7653,r019,All doctorate recipients (number)<sup>b</sup> -> Bachelor's in same field as doctorate (%)<sup>c</sup>,All doctorate recipients (number)<sup>b</sup>,Bachelor's in same field as doctorate (%)<sup>c</sup>,,,2,61.7,45.4,36.5,25.4,73.4,69.1,35.9
7653,r020,All doctorate recipients (number)<sup>b</sup> -> Master's earned (%),All doctorate recipients (number)<sup>b</sup>,Master's earned (%),,,2,75.1,94.3,88.9,96.8,93.3,94.0,94.8
7653,r021,All doctorate recipients (number)<sup>b</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>b</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,45.7,36.2,26.6,34.0,41.5,38.1,37.4
7653,r022,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),,,2,,,,,,,
7653,r023,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,8.7,12.3,10.8,15.0,11.3,11.0,11.7
7653,r024,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From graduate school start,,3,7.3,10.0,8.8,12.0,9.8,9.3,9.5
7653,r025,All doctorate recipients (number)<sup>b</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>d</sup>,All doctorate recipients (number)<sup>b</sup>,Time to doctorate (median years),From doctoral program start<sup>d</sup>,,3,5.7,5.9,5.0,5.7,6.8,6.7,5.8
7653,r026,All doctorate recipients (number)<sup>b</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>b</sup>,Received tuition remission (%),,,2,84.5,77.8,78.1,64.4,89.2,93.4,78.5
7653,r027,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),,,2,28082,4674,756,1111,1619,349,839
7653,r028,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,,,,,
7653,r029,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,54.2,67.4,40.3,77.9,75.2,74.8,59.6
7653,r030,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,40.6,25.9,51.2,15.2,18.8,19.8,33.4
7653,r031,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,5.2,6.8,8.5,6.9,6.1,5.4,7.0
7653,r032,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,,,
7653,r033,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,38.0,22.3,23.4,16.9,22.9,27.5,25.1
7653,r034,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Married,4,39.5,50.8,49.3,57.8,49.8,43.0,47.8
7653,r035,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,9.0,8.0,5.3,4.6,10.7,12.6,7.6
7653,r036,"All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,2.0,3.7,3.7,4.4,3.2,3.4,3.7
7653,r037,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,11.6,15.3,18.3,16.3,13.3,13.5,15.7
7653,r038,All doctorate recipients (number)<sup>b</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>b</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,21.5,36.7,36.9,49.6,31.6,24.1,34.9
