table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
3135,r001,All institutions,All institutions,,1,-,"['83,496,348', '']","['44,455,265', '']","['4,495,452', '']","['21,109,703', '']","['5,053,576', '']","['5,683,937', '']","['2,698,415', '']"
3135,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['2,917,436', '']","['2,482,130', '']","['7,526', '']","['152,043', '']","['105,805', '']","['166,571', '']","['3,361', '']"
3135,r003,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,2,"['1,675,805', '']","['886,851', '']","['2,706', '']","['608,028', '']","['98,997', '']","['68,758', '']","['10,465', '']"
3135,r004,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,3,"['1,595,098', '']","['671,047', '']","['30,392', '']","['394,740', '']","['103,463', '']","['232,094', '']","['163,362', '']"
3135,r005,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,4,"['1,506,285', '']","['717,359', '']","['16,182', '']","['491,734', '']","['158,554', '']","['119,464', '']","['2,992', '']"
3135,r006,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,5,"['1,425,601', '']","['992,643', '']","['27,125', '']","['117,341', '']","['58,211', '']","['194,296', '']","['35,985', '']"
3135,r007,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,6,"['1,353,763', '']","['698,925', '']","['44,786', '']","['301,297', '']","['86,865', '']","['99,338', '']","['122,552', '']"
3135,r008,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,7,"['1,306,376', '']","['600,714', '']","['70,016', '']","['285,010', '']","['76,217', '']","['197,337', '']","['77,082', '']"
3135,r009,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,8,"['1,297,331', '']","['608,925', '']","['94,861', '']","['415,634', '']","['26,518', '']","['115,774', '']","['35,619', '']"
3135,r010,All institutions -> Harvard U.,All institutions,Harvard U.,2,9,"['1,239,736', '']","['618,405', '']","['980', '']","['381,597', '']","['48,168', '']","['166,590', '']","['23,996', '']"
