table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
3501,r001,All graduate students,All graduate students,,,,1,73605,8495,11.5,5119,7.0,21025,28.6,2498,3.4,2057,2.8,21801,29.6,2580,3.5,10030,13.6
3501,r002,All graduate students -> Science,All graduate students,Science,,,2,46450,3392,7.3,2534,5.5,16486,35.5,1491,3.2,1250,2.7,13222,28.5,2168,4.7,5907,12.7
3501,r003,All graduate students -> Science -> Agricultural sciences,All graduate students,Science,Agricultural sciences,,3,1280,9,0.7,28,2.2,45,3.5,75,5.9,3,0.2,120,9.4,808,63.1,192,15.0
3501,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,18553,359,1.9,136,0.7,12999,70.1,737,4.0,59,0.3,2441,13.2,633,3.4,1189,6.4
3501,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,5124,1097,21.4,111,2.2,308,6.0,77,1.5,35,0.7,2776,54.2,32,0.6,688,13.4
3501,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2504,183,7.3,90,3.6,23,0.9,8,0.3,452,18.1,1188,47.4,26,1.0,534,21.3
3501,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,1463,151,10.3,40,2.7,182,12.4,29,2.0,19,1.3,882,60.3,21,1.4,139,9.5
3501,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,497,54,10.9,26,5.2,112,22.5,11,2.2,6,1.2,159,32.0,38,7.6,91,18.3
3501,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,1215,31,2.6,40,3.3,23,1.9,71,5.8,36,3.0,305,25.1,332,27.3,377,31.0
3501,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,10530,813,7.7,2039,19.4,1762,16.7,234,2.2,599,5.7,4213,40.0,31,0.3,839,8.0
3501,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,2469,175,7.1,9,0.4,810,32.8,175,7.1,3,0.1,432,17.5,5,0.2,860,34.8
3501,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,2815,520,18.5,15,0.5,222,7.9,74,2.6,38,1.3,706,25.1,242,8.6,998,35.5
