table_id,row_id,ethnicity_race_and_debt_level_full_path,ethnicity_race_and_debt_level_level_1,ethnicity_race_and_debt_level_level_2,ethnicity_race_and_debt_level_level_3,ethnicity_race_and_debt_level_level_4,ethnicity_race_and_debt_level_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
1769,r001,All U.S. citizen and permanent resident doctorate recipients,All U.S. citizen and permanent resident doctorate recipients,,,,1,,,,,,,,,
1769,r002,All U.S. citizen and permanent resident doctorate recipients -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Total (number)<sup>c</sup>,,,2,33495,8624,3622,1659,6259,4030,3799,3913,1589
1769,r003,"All U.S. citizen and permanent resident doctorate recipients -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,"Debt > $30,000 (%)",,,2,23.3,17.5,7.4,9.3,36.4,8.0,40.3,27.9,39.5
1769,r004,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,,,2,,,,,,,,,
1769,r005,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,Total (number)<sup>c</sup>,,3,2435,636,212,90,535,272,290,326,74
1769,r006,"All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,"Debt > $30,000 (%)",,3,30.1,20.4,11.3,14.4,44.7,11.8,51.4,32.2,54.1
1769,r007,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,
1769,r008,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,,,,,,,,,
1769,r009,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Total (number)<sup>c</sup>,4,100,20,7,,28,6,20,11,
1769,r010,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $30,000 (%)",4,45.0,65.0,0.0,,42.9,,40.0,45.5,
1769,r011,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,,3,,,,,,,,,
1769,r012,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,Total (number)<sup>c</sup>,4,3166,962,347,224,452,654,192,188,147
1769,r013,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,"Debt > $30,000 (%)",4,10.1,8.2,2.6,3.6,22.8,4.9,24.0,11.7,13.6
1769,r014,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,,3,,,,,,,,,
1769,r015,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,Total (number)<sup>c</sup>,4,2309,557,95,63,496,161,551,190,196
1769,r016,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,"Debt > $30,000 (%)",4,54.0,46.1,18.9,30.2,66.3,18.6,67.9,47.4,66.8
1769,r017,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,,3,,,,,,,,,
1769,r018,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,Total (number)<sup>c</sup>,4,23945,6048,2829,1194,4408,2743,2585,3049,1089
1769,r019,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,"Debt > $30,000 (%)",4,21.0,15.7,7.1,9.0,33.2,7.7,34.1,27.0,36.2
1769,r020,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,,3,,,,,,,,,
1769,r021,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,Total (number)<sup>c</sup>,4,1092,284,99,58,251,126,115,112,47
1769,r022,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,"Debt > $30,000 (%)",4,28.6,20.8,12.1,8.6,42.2,7.1,53.0,32.1,51.1
1769,r023,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,,,,,,,,,
1769,r024,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Total (number)<sup>c</sup>,4,287,82,19,,61,42,25,23,
1769,r025,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,"Debt > $30,000 (%)",4,21.3,20.7,10.5,,26.2,,28.0,30.4,
1769,r026,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,,,2,,,,,,,,,
1769,r027,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,Total (number)<sup>c</sup>,,3,161,35,14,9,28,26,21,14,14
1769,r028,"All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,"Debt > $30,000 (%)",,3,26.7,25.7,7.1,0.0,50.0,15.4,23.8,21.4,50.0
