table_id,row_id,_b_sex_and_field_b_full_path,_b_sex_and_field_b_level_1,_b_sex_and_field_b_level_2,_b_sex_and_field_b_level_3,_b_sex_and_field_b_level_4,_b_sex_and_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field__change_2010_20
4652,r001,All doctorate recipients<sup>a</sup>,All doctorate recipients<sup>a</sup>,,,,1,48028,48909,50943,52703,53986,54886,54809,54552,55085,55614,55283,15.1
4652,r002,All doctorate recipients<sup>a</sup> -> Life sciences,All doctorate recipients<sup>a</sup>,Life sciences,,,2,11319,11535,11964,12207,12484,12493,12539,12554,12755,12753,12561,11.0
4652,r003,All doctorate recipients<sup>a</sup> -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,Life sciences,Agricultural sciences and natural resources,,3,1100,1206,1255,1324,1338,1434,1379,1493,1442,1488,1472,33.8
4652,r004,All doctorate recipients<sup>a</sup> -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,Life sciences,Biological and biomedical sciences,,3,8046,8152,8322,8354,8868,8783,8863,8566,8782,8681,8418,4.6
4652,r005,All doctorate recipients<sup>a</sup> -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,Life sciences,Health sciences,,3,2173,2177,2387,2529,2278,2276,2297,2495,2531,2584,2671,22.9
4652,r006,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,,,2,4995,5271,5419,5584,5910,5916,6251,6082,6331,6579,6247,25.1
4652,r007,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Chemistry,,3,2304,2432,2416,2484,2673,2666,2703,2699,2808,2939,2763,19.9
4652,r008,"All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,3,862,852,941,989,1098,1057,1227,1169,1185,1272,1243,44.2
4652,r009,All doctorate recipients<sup>a</sup> -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,Physical sciences and earth sciences,Physics and astronomy,,3,1829,1987,2062,2111,2139,2193,2321,2214,2338,2368,2241,22.5
4652,r010,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,,,2,3223,3273,3496,3660,3862,3818,3954,3842,4022,4231,4392,36.3
4652,r011,All doctorate recipients<sup>a</sup> -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,Mathematics and computer sciences,Computer and information sciences,,3,1633,1667,1793,1843,1988,2003,2082,1998,2000,2221,2361,44.6
