table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_education_fields,field_education_leadership_and_administration,field_education_research,field_teacher_education,field_education_other
9623,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,3919,1167,1189,1099,464
9623,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,
9623,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,29.4,32.4,29.3,26.9,28.4
9623,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,70.6,67.6,70.7,73.1,71.6
9623,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.0,0.0,0.0,0.0,0.0
9623,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),,,2,,,,,
9623,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,81.8,90.0,77.7,78.5,79.3
9623,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Temporary visa holder,,3,12.7,6.1,16.6,15.8,11.9
9623,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Unknown,,3,5.5,3.9,5.7,5.6,8.8
9623,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,
9623,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,17.8,16.9,18.7,17.7,18.1
9623,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,54.3,55.4,51.6,58.8,48.1
9623,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,5.7,5.2,6.2,5.7,5.6
9623,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,7.1,8.5,6.6,6.7,5.8
9623,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,15.1,14.0,17.0,11.0,22.4
9623,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,42.8,45.0,40.5,44.2,39.2
9623,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,14.2,13.4,14.1,15.0,14.0
9623,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,38.9,40.6,37.8,38.7,37.9
9623,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,25.6,20.1,20.9,37.7,21.5
9623,r020,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,96.3,97.9,95.7,96.2,94.2
9623,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,32.4,31.2,34.2,31.5,33.8
9623,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,
9623,r023,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,15.5,17.3,14.6,15.0,14.6
9623,r024,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,12.3,13.9,11.3,12.0,11.5
9623,r025,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,5.6,5.7,5.6,5.3,5.6
9623,r026,All doctorate recipients (number)<sup>a</sup> -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Received tuition remission (%),,,2,64.8,56.4,68.0,69.7,66.5
9623,r027,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),,,2,1154,378,348,296,132
9623,r028,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),,3,,,,,
9623,r029,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,81.5,92.6,76.1,76.0,76.5
9623,r030,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,13.5,5.3,17.8,19.6,12.1
9623,r031,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Citizenship status (%),Unknown,4,4.9,2.1,6.0,4.4,11.4
9623,r032,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),,3,,,,,
9623,r033,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Never married,4,16.4,16.7,15.8,15.5,18.9
9623,r034,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Married,4,58.4,61.4,55.2,63.5,47.0
9623,r035,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Marriage-like relationship,4,6.6,5.3,8.6,6.4,5.3
9623,r036,"All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),"Separated, divorced, widowed",4,4.0,4.2,4.3,,
9623,r037,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Marital status (%),Unknown,4,14.6,12.4,16.1,,
9623,r038,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has dependent age 18 or younger (%),,3,45.9,48.3,41.9,48.5,42.4
9623,r039,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Has one or more functional limitations (%),,3,14.6,13.6,14.5,16.4,13.4
9623,r040,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Age at doctorate (median years),,3,38.8,40.5,37.6,38.1,38.9
9623,r041,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Bachelor's in same field as doctorate (%)<sup>b</sup>,,3,23.0,19.0,17.0,36.2,18.6
9623,r042,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),,3,96.3,98.8,95.1,94.9,95.1
9623,r043,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Master's earned (%),Master's earned at same doctorate institution (%),4,31.6,30.6,36.5,28.2,30.2
9623,r044,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),,3,,,,,
9623,r045,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),Years since earning bachelor's degree,4,14.7,16.6,14.0,14.0,14.6
9623,r046,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From graduate school start,4,11.8,13.4,10.4,11.5,11.5
9623,r047,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Time to doctorate (median years),From doctoral program start<sup>c</sup>,4,5.3,5.6,5.8,5.1,5.5
9623,r048,All doctorate recipients (number)<sup>a</sup> -> Male doctorate recipients (number) -> Received tuition remission (%),All doctorate recipients (number)<sup>a</sup>,Male doctorate recipients (number),Received tuition remission (%),,3,64.7,54.0,73.5,69.9,60.4
9623,r049,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),,,2,2765,789,841,803,332
9623,r050,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),,3,,,,,
9623,r051,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),U.S. citizen or permanent resident,4,81.9,88.7,78.4,79.5,80.4
9623,r052,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Temporary visa holder,4,12.3,6.5,16.1,14.4,11.7
9623,r053,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Citizenship status (%),Unknown,4,5.8,4.8,5.6,6.1,7.8
9623,r054,All doctorate recipients (number)<sup>a</sup> -> Female doctorate recipients (number) -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Female doctorate recipients (number),Marital status (%),,3,,,,,
