table_id,row_id,_b_ethnicity_race_and_debt_level_b_full_path,_b_ethnicity_race_and_debt_level_b_level_1,_b_ethnicity_race_and_debt_level_b_level_2,_b_ethnicity_race_and_debt_level_b_level_3,_b_ethnicity_race_and_debt_level_b_level_4,_b_ethnicity_race_and_debt_level_b_hierarchy_depth,field_all_fields,field_life_sciencesa,field_physical_sciences_and_earth_sciences,field_mathematics_and_computer_sciences,field_psychology_and_social_sciences,field_engineering,field_education,field_humanities_and_arts,field_otherb
4678,r001,All U.S. citizen and permanent resident doctorate recipients,All U.S. citizen and permanent resident doctorate recipients,,,,1,,,,,,,,,
4678,r002,All U.S. citizen and permanent resident doctorate recipients -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Total (number)<sup>c</sup>,,,2,32803,8384,3587,1677,6228,3989,3665,3682,1591
4678,r003,"All U.S. citizen and permanent resident doctorate recipients -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,"Debt > $30,000 (%)",,,2,23.0,18.3,6.7,9.1,34.4,8.3,39.9,28.5,38.5
4678,r004,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,,,2,,,,,,,,,
4678,r005,All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,Total (number)<sup>c</sup>,,3,2706,692,233,98,607,274,352,327,123
4678,r006,"All U.S. citizen and permanent resident doctorate recipients -> Hispanic or Latino -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Hispanic or Latino,"Debt > $30,000 (%)",,3,28.6,19.8,10.3,7.1,42.2,9.9,46.9,32.1,43.1
4678,r007,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,,,2,,,,,,,,,
4678,r008,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,,3,,,,,,,,,
4678,r009,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,Total (number)<sup>c</sup>,4,84,18,,,21,,13,14,9
4678,r010,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> American Indian or Alaska Native -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,American Indian or Alaska Native,"Debt > $30,000 (%)",4,36.9,,0.0,0.0,52.4,0.0,,50.0,
4678,r011,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,,3,,,,,,,,,
4678,r012,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,Total (number)<sup>c</sup>,4,3099,933,304,258,415,643,195,197,154
4678,r013,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Asian -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Asian,"Debt > $30,000 (%)",4,10.8,10.5,3.9,3.5,19.8,5.3,23.6,17.8,11.7
4678,r014,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,,3,,,,,,,,,
4678,r015,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,Total (number)<sup>c</sup>,4,2295,529,72,56,506,171,573,162,226
4678,r016,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Black or African American,"Debt > $30,000 (%)",4,55.9,49.3,23.6,26.8,62.3,29.8,66.8,53.1,68.1
4678,r017,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,,3,,,,,,,,,
4678,r018,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,Total (number)<sup>c</sup>,4,23095,5819,2798,1157,4372,2727,2378,2825,1019
4678,r019,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> White -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,White,"Debt > $30,000 (%)",4,20.5,16.5,6.4,9.2,31.3,7.3,33.2,27.2,34.8
4678,r020,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,,3,,,,,,,,,
4678,r021,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,Total (number)<sup>c</sup>,4,1123,308,139,77,231,127,97,106,38
4678,r022,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> More than one race -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,More than one race,"Debt > $30,000 (%)",4,24.2,18.2,6.5,15.6,37.2,8.7,45.4,32.1,52.6
4678,r023,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,,,,,,,,,
4678,r024,All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Total (number)<sup>c</sup>,4,262,59,,,47,,37,35,12
4678,r025,"All U.S. citizen and permanent resident doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Not Hispanic or Latino,Other race or race not reported,"Debt > $30,000 (%)",4,25.2,,0.0,5.6,25.5,17.9,,31.4,
4678,r026,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,,,2,,,,,,,,,
4678,r027,All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Total (number)<sup>c</sup>,All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,Total (number)<sup>c</sup>,,3,139,26,11,12,29,15,20,16,10
4678,r028,"All U.S. citizen and permanent resident doctorate recipients -> Ethnicity not reported -> Debt > $30,000 (%)",All U.S. citizen and permanent resident doctorate recipients,Ethnicity not reported,"Debt > $30,000 (%)",,3,33.8,34.6,9.1,16.7,55.2,20.0,50.0,18.8,30.0
