table_id,row_id,time_period,2017_satisfaction_class_level_1,2017_satisfaction_class_level_2,2017_satisfaction_class_hierarchy_depth,value
9170,r001_1,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.715
9170,r001_2,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.078
9170,r001_3,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.023
9170,r001_4,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.064
9170,r001_5,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.12
9170,r001_6,"Very Satisfied with Independence, Challenge, and Responsibility (Class 1)",2015 employment sector,,1,Education
9170,r002_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.664
9170,r002_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.091
9170,r002_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.067
9170,r002_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.059
9170,r002_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.119
9170,r002_6,,2015 employment sector,,1,Government
9170,r003_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.697
9170,r003_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.096
9170,r003_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.026
9170,r003_4,,2017 satisfaction class,Dissatisfied with Advancement (Class 4),2,0.075
9170,r003_5,,2017 satisfaction class,Somewhat Satisfied with Everything (Class 5),2,0.106
9170,r003_6,,2015 employment sector,,1,Business and industry
9170,r004_1,,2017 satisfaction class,Very Satisfied with Independence (Class 1),2,0.705
9170,r004_2,,2017 satisfaction class,Very Satisfied with Everything (Class 2),2,0.085
9170,r004_3,,2017 satisfaction class,Very Satisfied with Benefits (Class 3),2,0.031
